ZAVSIFMAT,ZAVMATNAZ,ZAVSIF,ZAVNAZ,KAT_MAT,KATEGORIJA,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBD_SIF,OBDOBJE,STEV_UCENCEV,DOG_SIF,DOGODEK,VZROK_SIF,VZROK
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,15.09.2020,24.09.2020,22.09.2020,1058,1. letnik,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,15.09.2020,24.09.2020,22.09.2020,1058,1. letnik,6,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,17.09.2020,26.09.2020,23.09.2020,1061,4. letnik,6,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3063,Okužba s Covid-19 pri drugem delavcu
10048,Vrtec Galjevica,14650,"Vrtec Galjevica, Enota Orlova",1010,1010,Osrednjeslovenska,Ljubljana,08.10.2020,18.10.2020,12.10.2020,1002,2. star. obd.,19,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10048,Vrtec Galjevica,14650,"Vrtec Galjevica, Enota Orlova",1010,1010,Osrednjeslovenska,Ljubljana,12.10.2020,21.10.2020,19.10.2020,1001,1. star. obd.,14,2002,Otroci oddelka so v domači karanteni,3002,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
10048,Vrtec Galjevica,14650,"Vrtec Galjevica, Enota Orlova",1010,1010,Osrednjeslovenska,Ljubljana,13.10.2020,22.10.2020,19.10.2020,1002,2. star. obd.,23,2002,Otroci oddelka so v domači karanteni,3006,Okužba s Covid-19 pri drugem strokovnem delavcu
10048,Vrtec Galjevica,14650,"Vrtec Galjevica, Enota Orlova",1010,1010,Osrednjeslovenska,Ljubljana,13.10.2020,22.10.2020,19.10.2020,1002,2. star. obd.,24,2002,Otroci oddelka so v domači karanteni,3006,Okužba s Covid-19 pri drugem strokovnem delavcu
10048,Vrtec Galjevica,14650,"Vrtec Galjevica, Enota Orlova",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,28.10.2020,24.10.2020,1001,1. star. obd.,14,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10048,Vrtec Galjevica,14651,"Vrtec Galjevica, Lokacija pot k ribniku",1010,1010,Osrednjeslovenska,Ljubljana,13.10.2020,22.10.2020,19.10.2020,1002,2. star. obd.,21,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10048,Vrtec Galjevica,14651,"Vrtec Galjevica, Lokacija pot k ribniku",1010,1010,Osrednjeslovenska,Ljubljana,15.10.2020,24.10.2020,19.10.2020,1001,1. star. obd.,9,2001,Vzgojno delo poteka po prilagojenem načinu,3005,Okužba s Covid-19 pri vzgojitelju
10048,Vrtec Galjevica,14652,"Vrtec Galjevica, Lokacija Dolenjska cesta",1010,1010,Osrednjeslovenska,Ljubljana,20.10.2020,29.10.2020,24.10.2020,1003,Komb. 1. in 2. star. obd.,13,2002,Otroci oddelka so v domači karanteni,3006,Okužba s Covid-19 pri drugem strokovnem delavcu
10049,Vrtec Trnovo,10049,Vrtec Trnovo,1010,1010,Osrednjeslovenska,Ljubljana,22.10.2020,31.10.2020,22.10.2020,1001,1. star. obd.,14,2002,Otroci oddelka so v domači karanteni,3008,Okužba s Covid-19 pri otroku ali več otrocih skupine
10049,Vrtec Trnovo,10049,Vrtec Trnovo,1010,1010,Osrednjeslovenska,Ljubljana,24.10.2020,02.11.2020,28.10.2020,1002,2. star. obd.,23,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10049,Vrtec Trnovo,18770,"Vrtec Trnovo, enota Karunova",1010,1010,Osrednjeslovenska,Ljubljana,16.10.2020,26.10.2020,28.10.2020,1002,2. star. obd.,18,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10049,Vrtec Trnovo,18770,"Vrtec Trnovo, enota Karunova",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,23.10.2020,19.10.2020,1001,1. star. obd.,9,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10049,Vrtec Trnovo,18770,"Vrtec Trnovo, enota Karunova",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,23.10.2020,19.10.2020,1001,1. star. obd.,14,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10049,Vrtec Trnovo,18770,"Vrtec Trnovo, enota Karunova",1010,1010,Osrednjeslovenska,Ljubljana,21.10.2020,31.10.2020,28.10.2020,1001,1. star. obd.,11,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10049,Vrtec Trnovo,18771,"Vrtec Trnovo, enota Trnovski pristan",1010,1010,Osrednjeslovenska,Ljubljana,28.01.2021,06.02.2021,28.01.2021,1001,1. star. obd.,11,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10049,Vrtec Trnovo,18771,"Vrtec Trnovo, enota Trnovski pristan",1010,1010,Osrednjeslovenska,Ljubljana,29.01.2021,07.02.2021,29.01.2021,1001,1. star. obd.,12,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",4010,4010,Goriška,Vipava,07.01.2021,17.01.2021,07.01.2021,1052,I. stopnja,4,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",4010,4010,Goriška,Vipava,21.10.2020,30.10.2020,04.11.2020,1046,4. razred,5,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3058,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",4010,4010,Goriška,Vipava,21.10.2020,30.10.2020,04.11.2020,1055,IV. stopnja,6,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3058,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",4010,4010,Goriška,Vipava,21.10.2020,30.10.2020,04.11.2020,1057,VI. stopnja,7,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3058,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",4010,4010,Goriška,Vipava,21.10.2020,31.10.2020,21.10.2020,1056,V. stopnja,6,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",4010,4010,Goriška,Vipava,22.10.2020,31.10.2020,04.11.2020,1054,III. stopnja,7,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3058,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",1004,"Center za izobraževanje, rehabilitacijo in usposabljanje Vipava",4010,4010,Goriška,Vipava,22.10.2020,31.10.2020,04.11.2020,1057,VI. stopnja,7,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3058,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
10050,Vrtec Vodmat,10050,Vrtec Vodmat,1010,1010,Osrednjeslovenska,Ljubljana,23.10.2020,02.11.2020,23.10.2020,1002,2. star. obd.,17,2002,Otroci oddelka so v domači karanteni,3006,Okužba s Covid-19 pri drugem strokovnem delavcu
10050,Vrtec Vodmat,10050,Vrtec Vodmat,1010,1010,Osrednjeslovenska,Ljubljana,26.10.2020,04.11.2020,26.10.2020,1002,2. star. obd.,19,2002,Otroci oddelka so v domači karanteni,3004,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine
10050,Vrtec Vodmat,11909,"Vrtec Vodmat, enota KLINIČNI CENTER",1010,1010,Osrednjeslovenska,Ljubljana,12.01.2021,21.01.2021,15.01.2021,1002,2. star. obd.,4,2002,Otroci oddelka so v domači karanteni,3008,Okužba s Covid-19 pri otroku ali več otrocih skupine
10050,Vrtec Vodmat,11909,"Vrtec Vodmat, enota KLINIČNI CENTER",1010,1010,Osrednjeslovenska,Ljubljana,18.12.2020,27.12.2020,22.12.2020,1002,2. star. obd.,6,2002,Otroci oddelka so v domači karanteni,3007,Okužba s Covid-19 pri drugem delavcu
10050,Vrtec Vodmat,11909,"Vrtec Vodmat, enota KLINIČNI CENTER",1010,1010,Osrednjeslovenska,Ljubljana,19.01.2021,28.01.2021,23.01.2021,1001,1. star. obd.,8,2002,Otroci oddelka so v domači karanteni,3008,Okužba s Covid-19 pri otroku ali več otrocih skupine
10050,Vrtec Vodmat,11909,"Vrtec Vodmat, enota KLINIČNI CENTER",1010,1010,Osrednjeslovenska,Ljubljana,23.10.2020,01.11.2020,28.10.2020,1001,1. star. obd.,12,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10050,Vrtec Vodmat,11909,"Vrtec Vodmat, enota KLINIČNI CENTER",1010,1010,Osrednjeslovenska,Ljubljana,23.12.2020,01.01.2021,23.12.2020,1001,1. star. obd.,4,2002,Otroci oddelka so v domači karanteni,3008,Okužba s Covid-19 pri otroku ali več otrocih skupine
10050,Vrtec Vodmat,11909,"Vrtec Vodmat, enota KLINIČNI CENTER",1010,1010,Osrednjeslovenska,Ljubljana,24.12.2020,02.01.2021,27.12.2020,1002,2. star. obd.,8,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12889,"VRTEC VIŠKI GAJ, ENOTA ZARJA",1010,1010,Osrednjeslovenska,Ljubljana,21.10.2020,02.11.2020,28.10.2020,1002,2. star. obd.,19,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12889,"VRTEC VIŠKI GAJ, ENOTA ZARJA",1010,1010,Osrednjeslovenska,Ljubljana,23.10.2020,02.11.2020,26.10.2020,1001,1. star. obd.,13,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12909,"VRTEC VIŠKI GAJ, ENOTA KOZARJE",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,23.10.2020,19.10.2020,1001,1. star. obd.,14,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12909,"VRTEC VIŠKI GAJ, ENOTA KOZARJE",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,26.10.2020,19.10.2020,1002,2. star. obd.,19,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12909,"VRTEC VIŠKI GAJ, ENOTA KOZARJE",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,29.10.2020,21.10.2020,1001,1. star. obd.,14,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12909,"VRTEC VIŠKI GAJ, ENOTA KOZARJE",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,29.10.2020,22.10.2020,1002,2. star. obd.,20,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12909,"VRTEC VIŠKI GAJ, ENOTA KOZARJE",1010,1010,Osrednjeslovenska,Ljubljana,19.10.2020,29.10.2020,23.10.2020,1002,2. star. obd.,19,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12909,"VRTEC VIŠKI GAJ, ENOTA KOZARJE",1010,1010,Osrednjeslovenska,Ljubljana,22.10.2020,01.11.2020,26.10.2020,1001,1. star. obd.,13,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
10052,VRTEC VIŠKI GAJ,12909,"VRTEC VIŠKI GAJ, ENOTA KOZARJE",1010,1010,Osrednjeslovenska,Ljubljana,22.10.2020,01.11.2020,26.10.2020,1002,2. star. obd.,21,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
