Datum,Pridobivanje uporabnikov
29.07.2021,80
30.07.2021,156
31.07.2021,111
01.08.2021,110
02.08.2021,134
03.08.2021,106
04.08.2021,81
05.08.2021,125
06.08.2021,146
07.08.2021,75
08.08.2021,101
09.08.2021,69
10.08.2021,96
11.08.2021,76
12.08.2021,118
13.08.2021,114
14.08.2021,76
15.08.2021,76
16.08.2021,75
17.08.2021,92
18.08.2021,84
19.08.2021,75
20.08.2021,106
21.08.2021,80
22.08.2021,89
23.08.2021,98
24.08.2021,90
25.08.2021,79
26.08.2021,99
27.08.2021,119
28.08.2021,108
29.08.2021,125
30.08.2021,91
31.08.2021,119
01.09.2021,85
02.09.2021,101
03.09.2021,73
04.09.2021,82
05.09.2021,102
06.09.2021,213
07.09.2021,225
08.09.2021,200
09.09.2021,220
10.09.2021,228
11.09.2021,176
12.09.2021,263
13.09.2021,527
14.09.2021,889
15.09.2021,1003
16.09.2021,676
17.09.2021,546
18.09.2021,344
19.09.2021,291
20.09.2021,325
21.09.2021,300
22.09.2021,287
23.09.2021,221
24.09.2021,263
25.09.2021,188
26.09.2021,160
27.09.2021,243
28.09.2021,192
29.09.2021,169
30.09.2021,154
01.10.2021,161
02.10.2021,129
03.10.2021,139
04.10.2021,154
05.10.2021,138
06.10.2021,148
07.10.2021,173
08.10.2021,132
09.10.2021,109
10.10.2021,95
11.10.2021,121
12.10.2021,114
13.10.2021,118
14.10.2021,128
15.10.2021,127
16.10.2021,92
17.10.2021,100
18.10.2021,118
19.10.2021,101
20.10.2021,156
21.10.2021,106
22.10.2021,149
23.10.2021,125
24.10.2021,110
25.10.2021,111
