Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Cubot,MAX  2,MAX_2,4096MB,Phone,Mediatek MT6762,640x1352,240,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,NOTE 20,NOTE_20,2823MB,Phone,Mediatek MT6761D,720x1600,320,arm64-v8a;armeabi;armeabi-v7a,29,"3,2"
Cubot,NOTE 20 PRO,NOTE_20_PRO,5784MB,Phone,Mediatek MT6771,720x1600,320,arm64-v8a;armeabi;armeabi-v7a,29,"3,2"
Cubot,NOTE 7,NOTE_7,1929MB,Phone,Mediatek MT6737,442x960,240,armeabi;armeabi-v7a,29,"3,1"
Cubot,P30,P30,3834MB,Phone,Mediatek MT6763,1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,P40,P40,3831MB,Phone,Mediatek MT6761,720x1520,320,arm64-v8a;armeabi;armeabi-v7a,29,"3,2"
Cubot,QUEST,QUEST,3766MB,Phone,Mediatek MT6762,720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,QUEST LITE,QUEST_LITE,3072MB,Phone,Mediatek MT6762,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,R15,R15,1950MB,Phone,Mediatek MT6580,720x1520,320,armeabi;armeabi-v7a,28,"2,0"
Cubot,R15_PRO,R15_PRO,2857MB,Phone,Mediatek MT6761,720x1520,320,armeabi;armeabi-v7a,28,"3,2"
Cubot,R19,R19,3072MB,Phone,Mediatek MT6761,720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,Rainbow,RAINBOW,959MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,23,"2,0"
Cubot,RAINBOW 2,RAINBOW_2,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
Cubot,X19,X19,3835-3838MB,Phone,Mediatek MT6763,1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,27;28,"3,2"
Cubot,X19_S,X19_S,3838MB,Phone,Mediatek MT6763,1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,X20,X20,4096MB,Phone,Mediatek MT6763,1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,X20_PRO,X20_PRO,5765MB,Phone,Mediatek MT6737,1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cubot,X30,X30,5766MB,Phone,Mediatek MT6771,1080x2310,480,arm64-v8a;armeabi;armeabi-v7a,29,"3,2"
Cubot,DINOSAUR,x5623_h6013_cubot,2933MB,Phone,Mediatek MT6735,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,23,"3,0"
Cubot,MAX,x6069_cubot_5365u,2933MB,Phone,Mediatek MT6735,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,23,"3,0"
Custom,Ares,Ares,2901MB,Phone,Mediatek MT6739WW,720x1560,320,armeabi;armeabi-v7a,28,"3,2"
Custom,K-Ranger,K-Ranger,1815MB,Phone,Qualcomm SDM450,480x800,240,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Custom,P-Ranger ,P-Ranger,1831MB,Phone,Mediatek MT6762,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cutepad,Tab_4_M7078,Tab_4_M7078,955MB,Tablet,Mediatek MT8321,600x1024,160,armeabi;armeabi-v7a,27,"2,0"
Cyrus,CM17,CM17,910MB,Phone,Mediatek MT6737,320x480,120,armeabi;armeabi-v7a,24,"3,1"
Cyrus,CM17XA_EEA,CM17XA,1929-1941MB,Phone,Mediatek MT6739WW,320x480,160,armeabi;armeabi-v7a,29,"3,2"
Cyrus,CS22,CS22,1918-1942MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,24,"3,1"
Cyrus,CS22XA,CS22XA,1871MB,Phone,Mediatek MT6761,720x1280,320,armeabi;armeabi-v7a,28,"3,2"
Cyrus,CS22XA_EEA,CS22XA_EEA,1871MB,Phone,Mediatek MT6761,720x1280,320,armeabi;armeabi-v7a,28,"3,2"
Cyrus,CS24,CS24,1931MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,24,"3,1"
Cyrus,CS40,CS40,3834MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,24,"3,2"
Cyrus,CS45XA,CS45XA,3762MB,Phone,Mediatek MT6765,1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cyrus,CS45XA_EEA,CS45XA_EEA,3762MB,Phone,Mediatek MT6765,1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
D-Tech,D5L,D5-L,1884MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi;armeabi-v7a,27,"3,2"
D-Tech,DT07,DT07,878MB,Phone,Spreadtrum SC9832E,600x1024,213,armeabi;armeabi-v7a,28,"3,2"
D-Tech,DT08-TAB4G,DT08-TAB4G,1796MB,Tablet,Spreadtrum SC9832E,800x1280,213,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
D-Tech,DT10-TAB4G,DT10-TAB4G,1796MB,Tablet,Spreadtrum SC9832E,1280x800,213,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
D-Tech,LM-01,LM_01,889MB,Tablet,Mediatek MT8321,800x1280,160,armeabi;armeabi-v7a,27,"2,0"
DBM Maroc,FAST7 4G,FAST7_4G,921MB,Tablet,Mediatek MT8735M,600x1024,160,arm64-v8a;armeabi;armeabi-v7a,23,"3,0"
DBM Maroc,FAST A6,FAST_A6,917MB,Phone,Mediatek MT8735,720x1280,213,arm64-v8a;armeabi;armeabi-v7a,23,"3,0"
DBM Maroc,Pearl A2,PEARL_A2,927MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,23,"3,0"
DBM Maroc,ACCENT SURF 1000,SURF1000,980MB,Tablet,Mediatek MT8127,1024x600,160,armeabi;armeabi-v7a,23,"2,0"
DBM Maroc,Speed X2,Speed-X2,1944MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,23,"3,0"
DBM Maroc,Accent Speed Y2,Speed-Y2,927MB,Phone,Mediatek MT6735P,720x1280,320,armeabi;armeabi-v7a,23,"3,0"
DBM Maroc,Accent Speed Y3,Speed-Y3,928MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,23,"3,0"
DCG-INSPIRATECH,DCG-N10,DCG-N10,1969MB,Tablet,Mediatek MT8163,800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,"3,1"
DEXP,A150,A150,451MB,Phone,Mediatek MT6580M,480x854,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,A160,A160,1959MB,Phone,Mediatek MT6580,480x960,213,armeabi;armeabi-v7a,28,"2,0"
DEXP,A240,A240,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi;armeabi-v7a,27,"3,2"
DEXP,A250,A250,1963MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,28,"2,0"
DEXP,A340,A340,944MB,Phone,Mediatek MT6580,480x800,240,armeabi;armeabi-v7a,29,"2,0"
DEXP,A.350,A350,957MB,Phone,Mediatek MT6580M,480x854,213,armeabi;armeabi-v7a,28,"2,0"
DEXP,AL140,AL140,451MB,Phone,Mediatek MT6580,480x800,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,AL240,AL240,451MB,Phone,Mediatek MT6580M,480x800,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,AL250,AL250,1900MB,Phone,Mediatek MT6739WW,480x960,240,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
DEXP,AL350,AL350,1894MB,Phone,Mediatek MT6739WA,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
DEXP,AS155,AS155,1814MB,Phone,Mediatek MT6762,720x1440,320,arm64-v8a;armeabi;armeabi-v7a,29,"3,2"
DEXP,AS160,AS160,3762MB,Phone,Mediatek MT6570,720x1512,320,arm64-v8a;armeabi;armeabi-v7a,26,"3,2"
DEXP,AS260,AS260,2897MB,Phone,Mediatek MT6739WA,720x1512,320,armeabi;armeabi-v7a,27,"3,2"
DEXP,B11,B11,922MB,Tablet,Spreadtrum SC7731,1280x800,213,armeabi;armeabi-v7a,28,"3,2"
DEXP,DEXP B145,B145,909MB,Phone,Mediatek MT6737M,480x854,240,armeabi;armeabi-v7a,24,"3,1"
DEXP,B155,B155,942MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,DEXP_B160,B160,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,B245,B245,904MB,Phone,Spreadtrum SC7731,480x854,240,armeabi;armeabi-v7a,27,"3,2"
DEXP,DEXP B255,B255,896MB,Phone,Spreadtrum SC9832,640x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,B260,B260,920MB,Phone,Mediatek MT6580,720x1440,320,armeabi;armeabi-v7a,27,"2,0"
DEXP,B340,B340,958MB,Phone,Mediatek MT6580M,480x800,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,B350,B350,908MB,Phone,Mediatek MT6737M,480x854,240,armeabi;armeabi-v7a,24,"3,1"
DEXP,B355,B355,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,B450,B450,958MB,Phone,Mediatek MT6580M,480x854,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,BL150,BL150,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,27,"2,0"
DEXP,BL155,BL155,1973MB,Phone,Mediatek MT6580M,480x960,213,armeabi;armeabi-v7a,28,"2,0"
DEXP,BL160,BL160,1920MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi;armeabi-v7a,29,"3,2"
DEXP,BL250,BL250,922MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,27,"3,1"
DEXP,BL350,BL350,922MB,Phone,Spreadtrum SC7731,480x854,240,armeabi;armeabi-v7a,28,"3,2"
DEXP,BS150,BS150,895MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,BS155,BS155,927MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,BS160,BS160,904MB,Phone,Spreadtrum SC7731E,480x960,213,armeabi;armeabi-v7a,27,"3,2"
DEXP,BS550,BS550,943MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,BS650,BS650,957MB,Phone,Spreadtrum SC7731C,480x960,240,armeabi;armeabi-v7a,27,"3,2"
DEXP,E110,E110,1929MB,Tablet,Mediatek MT8321,1280x800,160,armeabi;armeabi-v7a,28,"2,0"
DEXP,E170,E170,1796MB,Phone,Spreadtrum SC9832E,800x1280,240,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
DEXP,E180,E180,1879MB,Tablet,Mediatek MT8765A,800x1280,160,armeabi;armeabi-v7a,28,"3,2"
DEXP,E210,E210,1879MB,Tablet,Mediatek MT8765A,1280x800,160,armeabi;armeabi-v7a,28,"3,2"
DEXP,EL450,EL450,942MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,DEXP Ixion_ES1050,ES1050,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,ES750,ES750,877MB,Phone,Spreadtrum SC9832,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,ES850,ES850,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,EX111,EX111,3778MB,Tablet,Spreadtrum SC9863A,1920x1080,240,arm64-v8a;armeabi;armeabi-v7a,29,"3,2"
DEXP,DEXP G150,G150,853MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,24,"3,1"
DEXP,G250,G250,896MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,G253,G253,951MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,27,"2,0"
DEXP,G255,G255,947MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,27,"2,0"
DEXP,G355,G355,890MB,Phone,Mediatek MT6739CH,480x960,240,armeabi;armeabi-v7a,27,"3,2"
DEXP,G450,G450,958MB,Phone,Mediatek MT6580,480x854,240,armeabi;armeabi-v7a,29,"2,0"
DEXP,G550,G550,907MB,Phone,Mediatek MT6739CH,480x960,240,armeabi;armeabi-v7a,27,"3,2"
