174711189	https://4d.rtvslo.si/arhiv/tv-informativni/174711189	 Tiskovna konferenca ameriškega državnega... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174711189/174711189_wide2.jpg	48:03	13. avg. 2020
174710884	https://4d.rtvslo.si/arhiv/tv-informativni/174710884	 Novinarska konferenca o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174710884/slovenijapoosamosvojitvi_wide2.jpg	51:58	11. avg. 2020
174708710	https://4d.rtvslo.si/arhiv/tv-informativni/174708710	 Novinarska konferenca o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/2020/07/28/2020-07-28-112841-SLO3_wide2.jpg	39:46	30. jul. 2020
174707939	https://4d.rtvslo.si/arhiv/tv-informativni/174707939	 Novinarska konferenca o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/2020/07/23/2020-07-23-022943-SLO3_wide2.jpg	54:51	28. jul. 2020
174707507	https://4d.rtvslo.si/arhiv/tv-informativni/174707507	 Novinarska konferenca o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174707507/174707507_wide2.jpg	33:12	23. jul. 2020
174706091	https://4d.rtvslo.si/arhiv/tv-informativni/174706091	 Novinarska konferenca o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/2020/07/13/2020-07-13-091113-SLO1_part1_wide2.jpg	56:00	21. jul. 2020
174706659	https://4d.rtvslo.si/arhiv/tv-informativni/174706659	 Novinarska konferenca o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/2020/07/16/2020-07-16-024402-SLO2_part1_wide2.jpg	20:08	17. jul. 2020
174706473	https://4d.rtvslo.si/arhiv/tv-informativni/174706473	 Najnovejše o koronavirusu, prenos... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174706473/174706473_wide2.jpg	32:21	16. jul. 2020
174705469	https://4d.rtvslo.si/arhiv/tv-informativni/174705469	 Najnovejše o koronavirusu 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/2020/07/10/2020-07-10-115936-SLO2_part1_wide2.jpg	48:10	
174705028	https://4d.rtvslo.si/arhiv/tv-informativni/174705028	 Najnovejše o koronavirusu, prenos... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174705028/174705028_wide2.jpg	56:53	10. jul. 2020
174704642	https://4d.rtvslo.si/arhiv/tv-informativni/174704642	 Novinarska konferenca vlade o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174704642/174704642_wide2.jpg	24:15	7. jul. 2020
174704192	https://4d.rtvslo.si/arhiv/tv-informativni/174704192	 Novinarska konferenca vlade o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/2020/07/03/2020-07-03-020850-SLO3_part1_wide2.jpg	1:21:25	6. jul. 2020
174704012	https://4d.rtvslo.si/arhiv/tv-informativni/174704012	 Novinarska konferenca vlade o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174704012/174704012_wide2.jpg	21:15	3. jul. 2020
174703730	https://4d.rtvslo.si/arhiv/tv-informativni/174703730	 Novinarska konferenca vladnega govorca... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174703730/174703730_wide2.jpg	56:04	2. jul. 2020
174703527	https://4d.rtvslo.si/arhiv/tv-informativni/174703527	 Novinarska konferenca vlade o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/2020/06/30/2020-06-30-015506-SLO3_part1_wide2.jpg	1:01:39	1. jul. 2020
174703280	https://4d.rtvslo.si/arhiv/tv-informativni/174703280	 Novinarska konferenca vlade o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174703280/174703280_wide2.jpg	50:23	30. jun. 2020
174702276	https://4d.rtvslo.si/arhiv/tv-informativni/174702276	 Novinarska konferenca vlade o aktualnem... 	http://img.rtvslo.si/_up/ava/ava_archive06/Content/thumbnail/174702276/174702276_1_wide2.jpg	58:47	29. jun. 2020
174698525	https://4d.rtvslo.si/arhiv/tv-informativni/174698525	 Najnovejše o ukrepih, povezanih s... 	http://img.rtvslo.si/_up/ava/ava_archive04/Content/2020/06/06/2020-06-06-043435-SLO3_wide2.jpg	22:02	18. jun. 2020
174698229	https://4d.rtvslo.si/arhiv/tv-informativni/174698229	 Govora predsednika republike Boruta... 	http://img.rtvslo.si/_up/ava/ava_archive04/Content/2020/06/05/2020-06-05-120920-SLO2_part1_wide2.jpg	35:11	6. jun. 2020
174698035	https://4d.rtvslo.si/arhiv/tv-informativni/174698035	 Najnovejše o koronavirusu, prenos... 	http://img.rtvslo.si/_up/ava/ava_archive04/Content/thumbnail/174698035/174698035_wide2.jpg	11:37	5. jun. 2020
174697419	https://4d.rtvslo.si/arhiv/tv-informativni/174697419	 Najnovejše o koronavirusu, prenos... 	http://img.rtvslo.si/_up/ava/ava_archive04/Content/2020/06/02/2020-06-02-120539-SLO3_part1_wide2.jpg	56:53	4. jun. 2020
174697161	https://4d.rtvslo.si/arhiv/tv-informativni/174697161	 Novinarska konferenca vlade 	http://img.rtvslo.si/_up/ava/ava_archive04/Content/2020/06/01/2020-06-01-122436-SLO3_part1_wide2.jpg	1:36:31	2. jun. 2020
174696605	https://4d.rtvslo.si/arhiv/tv-informativni/174696605	 Novinarska konferenca vlade ob koncu... 	http://img.rtvslo.si/_up/ava/ava_archive04/Content/2020/05/29/2020-05-29-015038-SLO2_part1_wide2.jpg	35:31	1. jun. 2020
