leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;Cepstatus_PC_zadnjiodm_6mes;Cepstatus_Ostali;Cepstatus_PC_zadnjiodm_6mes_vec65_let;SARI_covid_vsi_np_cepstatus;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_covid_vsi;smrt_SARI_covid;odpust_covid_vsi;odpust_SARI_covid;SARI_sprejeti_EIZ;SARI_testirani_EIZ;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let;Stbolnisnic
2024_25;152;129;7;;;;;4;0;3;2;1;11;7;4;3;0;29;59;;3;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;27
2024_26;196;159;2;;;;;2;0;0;0;0;4;1;6;5;0;1;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
2024_27;151;128;4;;;;;4;2;7;0;0;4;1;3;3;2;67;;44;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
2024_28;165;141;10;;;;;6;3;6;1;0;16;6;8;8;1;55;;73;2;0;0;0;1;0;1;4;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;27
2024_29;156;146;15;;;;;9;12;7;1;1;23;10;3;2;0;59;81;;1;1;1;0;1;1;1;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;27
2024_30;181;171;13;;;;;9;17;6;3;3;23;10;5;4;0;51;86;;4;1;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;27
2024_31;184;166;13;;;;;14;7;7;1;0;27;7;6;4;0;59;;;2;1;0;0;1;0;0;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
2024_32;177;168;21;;;;;14;14;33;4;1;45;14;9;9;1;65;74;67;3;0;0;0;1;0;1;5;7;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;27
2024_33;173;161;19;;;;;19;21;21;4;1;51;17;2;2;0;55;85;;4;1;0;0;0;2;0;4;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27
2024_34;175;164;29;;;;;25;15;28;4;1;57;16;6;6;3;65;90;74;5;1;0;0;0;0;0;6;7;10;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;27
