leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;Cepstatus_PC_zadnjiodm_6mes;Cepstatus_Ostali;Cepstatus_PC_zadnjiodm_6mes_vec65_let;SARI_covid_vsi_np_cepstatus;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_covid_vsi;smrt_SARI_covid;odpust_covid_vsi;odpust_SARI_covid;SARI_sprejeti_EIZ;SARI_testirani_EIZ;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let;Stbolnisnic
2021_41;487;486;185;;;;1;43;9;19;24;21;194;145;67;67;46;65;82;63;1;1;0;0;19;37;32;34;38;23;0;0;0;0;3;11;9;13;9;1;0;0;0;0;0;1;1;3;4;12;29
2021_42;568;564;272;;;;0;70;8;27;50;40;239;173;72;72;58;68;76;68;2;0;0;7;18;30;44;59;68;44;0;0;0;1;1;5;13;19;17;2;0;0;0;0;1;0;7;7;13;12;29
2021_43;660;659;403;;;;3;66;5;32;65;53;322;236;110;110;94;66;78;61;6;1;2;7;33;45;68;98;84;59;0;0;1;1;12;16;24;28;11;1;0;0;0;0;0;1;7;8;22;15;29
2021_44;765;765;533;;;;4;93;22;33;84;67;320;242;106;106;99;67;81;63;5;0;3;20;31;66;92;120;109;87;0;0;0;3;5;16;25;30;18;2;0;0;0;0;0;0;5;12;24;26;29
2021_45;817;816;600;;;;6;85;39;70;109;94;448;358;137;137;126;66;79;62;6;0;5;16;35;67;104;156;144;67;0;0;0;4;8;26;25;43;20;0;0;0;0;0;1;2;9;18;28;36;29
2021_46;805;803;607;;;;1;95;44;50;124;106;465;357;128;128;121;66;79;63;2;1;8;12;38;57;135;159;129;66;0;0;0;1;8;20;32;44;16;0;0;0;0;0;0;1;11;20;41;33;29
2021_47;790;789;557;;;;0;80;16;50;125;106;555;435;136;136;122;66;77;64;1;2;1;14;35;76;99;143;117;69;0;0;0;3;4;17;27;53;17;1;0;0;0;0;0;1;14;29;36;26;29
2021_48;654;654;469;;;;2;75;28;29;119;89;548;429;110;109;101;65;77;62;3;2;2;8;38;55;95;120;92;54;0;0;0;1;10;16;20;40;10;4;0;0;0;0;1;3;9;20;31;25;29
2021_49;541;536;346;;;;3;63;3;30;108;82;474;385;88;88;77;65;77;62;1;0;3;7;25;56;74;67;60;53;0;0;1;1;7;8;27;22;11;0;0;0;0;0;0;2;9;26;21;24;29
2021_50;469;468;283;;;;2;50;5;21;84;67;397;319;86;86;76;64;76;61;2;2;2;4;22;38;67;65;47;34;0;0;0;3;9;11;18;19;16;0;0;0;0;1;0;2;10;15;14;25;29
2021_51;454;452;250;;;;0;41;7;12;61;48;325;256;75;75;65;66;78;62;1;2;1;4;15;32;55;55;44;41;0;0;0;2;2;10;22;20;8;1;0;0;0;0;1;2;5;9;16;15;29
2021_52;443;442;259;;;;1;44;4;22;68;55;273;212;61;61;53;68;77;66;2;2;0;5;9;21;60;61;62;37;0;0;0;0;2;7;15;17;11;1;0;0;0;0;0;1;6;12;21;15;29
2022_01;482;481;259;;;;1;57;6;34;57;42;256;200;71;71;57;65;78;63;2;1;4;4;17;33;60;59;42;37;0;0;1;0;3;8;20;13;11;1;0;0;0;0;0;0;4;14;11;13;29
2022_02;419;419;249;;;;1;78;25;52;52;40;334;248;66;66;51;65;76;60;6;4;0;6;13;33;47;49;54;37;0;0;0;4;1;8;20;12;5;1;0;0;0;0;1;3;2;12;8;14;29
2022_03;481;481;273;;;;2;150;45;99;72;52;377;210;43;43;32;68;78;65;9;2;3;3;18;21;41;55;65;56;0;0;0;1;2;2;10;8;8;1;0;0;0;1;0;0;8;8;15;20;29
2022_04;515;514;364;;;;2;186;89;135;88;59;478;234;80;80;63;69;79;66;20;3;2;3;11;20;43;78;97;87;0;0;2;1;1;6;10;30;11;2;0;0;0;0;0;1;6;12;18;22;29
2022_05;625;625;426;;;;6;174;73;168;122;84;534;252;76;76;62;71;83;68;13;2;3;2;9;25;63;88;112;109;0;0;0;0;1;7;15;20;16;3;0;0;0;0;0;1;7;7;28;41;29
2022_06;509;509;347;;;;0;187;70;110;107;72;528;264;56;56;48;72;79;69;10;2;1;1;9;17;44;72;112;79;0;0;0;0;1;4;9;21;11;2;0;0;0;0;3;1;3;12;27;26;29
2022_07;496;496;345;;;;0;103;51;72;124;83;510;263;51;51;46;74;80;69;8;1;1;1;4;13;39;88;94;96;0;0;0;0;1;3;8;20;13;1;0;0;0;0;0;3;6;13;28;33;29
2022_08;348;348;196;;;;0;77;26;32;99;66;381;220;45;45;36;74;82;70;2;0;0;3;2;4;28;55;58;44;0;0;0;0;1;0;5;20;10;0;0;0;0;0;0;0;3;11;26;26;29
2022_09;333;332;141;;;;0;49;39;38;63;47;296;184;30;30;21;76;82;69;4;0;0;0;2;3;18;23;43;48;0;0;0;0;0;1;3;10;7;0;0;0;0;0;0;0;5;7;10;25;29
2022_10;271;271;109;;;;0;72;40;44;55;35;203;110;31;30;18;75;85;73;3;0;0;0;0;4;10;30;33;29;0;0;0;0;0;1;1;9;7;0;0;0;0;0;0;0;0;5;12;18;29
2022_11;302;302;94;;;;0;92;31;54;34;25;228;117;18;18;9;72;82;69;3;1;1;1;0;2;10;22;33;21;0;0;0;0;0;0;2;5;2;0;0;0;0;0;0;0;1;5;9;10;29
2022_12;326;323;112;;;;2;101;25;37;36;26;201;75;25;22;18;75;78;72;2;1;0;1;1;4;11;23;28;41;0;0;0;0;0;0;3;7;7;1;0;0;0;0;0;2;2;5;7;10;29
2022_13;329;329;112;;;;0;96;28;37;37;23;239;97;25;25;11;75;77;68;3;0;0;0;3;0;14;25;35;32;0;0;0;0;0;0;4;5;2;0;0;0;0;0;0;0;5;4;6;8;29
2022_14;313;310;119;;;;0;67;24;30;42;27;182;79;19;19;10;76;84;77;2;0;0;1;0;4;16;23;32;41;0;0;0;0;0;0;0;5;2;3;0;0;0;0;0;0;1;1;13;12;29
2022_15;247;245;68;;;;2;62;27;40;27;13;219;91;16;16;6;76;81;78;1;0;1;0;1;1;6;17;21;20;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;1;1;0;4;7;29
2022_16;233;233;59;;;;1;60;21;47;29;22;145;74;16;16;8;74;81;71;3;0;0;0;0;3;4;11;18;20;0;0;0;0;0;0;1;5;1;1;0;0;0;0;0;0;1;4;7;10;29
2022_17;245;244;71;;;;0;62;30;51;18;7;158;78;21;21;10;74;72;60;3;0;0;2;2;3;3;17;14;27;0;0;0;0;3;0;1;5;1;0;0;0;0;0;0;0;0;5;1;1;29
2022_18;191;190;36;;;;0;52;13;54;32;15;132;41;13;13;3;73;86;74;0;0;1;0;0;1;5;10;14;5;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;5;10;29
2022_19;210;207;25;;;;0;42;7;21;26;8;152;44;10;10;2;73;79;76;2;0;0;0;0;0;0;6;10;7;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;2;4;29
2022_20;174;173;17;;;;0;18;8;10;8;3;89;24;11;11;2;70;85;70;2;0;0;0;0;1;2;2;2;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;29
2022_21;186;183;17;;;;0;21;5;10;10;3;55;22;9;9;0;67;89;;1;1;0;1;0;0;2;3;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;29
2022_22;181;176;12;;;;0;19;5;9;7;2;45;14;10;9;2;73;72;63;0;0;0;0;1;1;2;1;4;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;29
2022_23;164;159;7;;;;0;15;6;10;6;2;49;18;6;6;0;71;86;;1;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;29
2022_24;195;193;18;;;;0;18;5;15;6;2;39;11;12;12;0;69;82;;2;0;0;0;0;0;1;4;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;29
2022_25;183;179;28;;;;0;39;5;14;4;3;59;20;11;11;3;62;81;82;4;2;0;0;0;0;3;6;8;5;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;29
2022_26;222;221;49;;;;1;46;11;24;7;5;83;25;9;9;3;63;75;75;6;3;1;0;0;3;4;6;11;15;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3;2;0;29
2022_27;247;247;52;;;;1;62;39;39;12;5;111;33;8;8;4;71;89;73;3;2;0;0;0;1;7;7;16;16;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;4;29
2022_28;239;239;77;;;;1;81;40;53;12;4;119;37;16;16;8;74;87;75;4;1;1;0;0;0;2;22;18;29;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;2;2;29
2022_29;264;258;103;;;;0;99;26;33;27;12;175;68;11;11;7;76;86;72;4;0;1;1;0;1;5;24;30;37;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0;0;1;4;7;29
2022_30;224;224;95;;;;2;76;28;44;28;13;223;78;6;6;2;71;88;47;7;1;0;2;1;3;4;21;23;33;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;11;29
2022_31;206;205;77;2;73;2;2;67;20;59;27;12;157;61;16;15;9;70;82;76;6;0;1;0;1;2;6;18;23;20;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;1;0;1;4;6;29
2022_32;209;209;78;0;78;0;0;90;15;41;29;16;179;70;13;13;7;74;84;64;3;0;0;2;2;3;5;12;26;25;0;0;0;0;1;2;0;2;2;0;0;0;0;0;0;0;0;1;7;8;29
2022_33;194;193;71;0;71;0;0;83;11;16;16;9;164;78;12;12;7;73;86;69;4;0;0;0;1;2;5;14;26;19;0;0;0;0;0;1;1;2;3;0;0;0;0;0;0;0;0;0;4;5;29
2022_34;166;166;75;0;73;0;2;73;11;33;29;22;163;61;11;11;7;74;78;67;2;0;0;0;0;4;5;23;19;22;0;0;0;0;1;1;0;2;3;0;0;0;0;0;0;2;0;3;10;7;29
2022_35;178;176;53;1;51;1;1;65;8;45;17;4;152;61;8;8;4;70;89;64;3;1;0;1;1;3;5;8;17;14;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;3;29
2022_36;187;184;50;1;48;1;1;75;17;16;14;7;131;35;12;12;5;72;75;70;3;1;0;0;0;0;6;9;13;18;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;1;3;2;1;29
2022_37;232;230;64;1;63;1;0;56;25;27;18;9;129;47;9;9;4;74;80;76;3;0;0;0;0;1;6;18;21;15;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;3;2;4;29
2022_38;206;206;54;2;51;2;1;78;31;37;14;9;131;46;8;8;4;76;81;68;1;0;0;1;2;0;4;13;12;21;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;1;1;2;5;29
2022_39;273;271;106;1;105;1;0;114;24;77;21;12;157;56;23;23;16;72;87;75;5;2;2;3;1;2;3;17;37;34;0;0;0;0;0;1;0;6;8;1;0;0;0;0;0;0;0;0;4;8;29
2022_40;285;283;90;2;87;2;1;103;34;67;33;13;190;61;25;25;17;72;82;70;3;2;0;0;4;1;13;15;30;22;0;0;0;0;1;1;3;5;6;1;0;0;0;0;0;0;0;6;0;7;29
2022_41;237;236;82;3;79;2;0;92;31;47;24;13;226;61;25;20;7;76;82;72;3;0;0;0;0;3;3;23;24;26;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;1;1;2;0;9;29
2022_42;291;289;74;8;66;7;0;71;18;48;27;16;204;63;14;14;8;75;84;69;2;0;0;0;0;2;6;20;24;20;0;0;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;1;9;6;29
2022_43;243;243;66;5;60;5;1;70;13;44;20;2;191;85;11;11;6;72;85;75;5;0;0;0;0;3;5;12;24;17;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;1;1;29
2022_44;272;271;50;3;46;3;1;70;10;38;28;13;135;36;12;12;4;74;83;69;4;0;1;0;0;0;3;7;15;20;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;1;4;7;29
2022_45;270;269;38;1;37;0;0;46;20;6;17;9;120;38;17;17;7;68;81;70;4;1;0;0;0;2;2;5;11;13;0;0;0;0;0;0;2;3;1;1;0;0;0;0;0;0;0;3;1;5;29
2022_46;284;284;36;2;34;2;0;53;21;23;17;10;111;32;16;16;4;74;85;72;1;1;0;0;0;1;2;8;12;11;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;2;1;7;29
2022_47;277;276;54;2;52;2;0;57;13;56;18;12;99;28;11;11;4;73;87;69;2;0;0;0;0;4;6;12;16;14;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;5;7;29
2022_48;285;283;52;1;51;1;0;88;26;65;20;7;143;43;15;15;5;64;86;73;7;0;1;1;0;3;4;9;14;13;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;1;0;1;5;29
2022_49;325;325;67;12;54;12;1;98;26;90;17;4;198;47;19;19;8;79;80;76;0;0;0;0;0;1;5;13;27;21;0;0;0;0;0;0;0;4;3;1;0;0;0;0;0;0;0;1;1;2;29
2022_50;367;367;92;6;84;6;2;106;38;104;39;14;206;64;22;22;9;76;82;76;2;0;1;0;1;2;5;21;30;30;0;0;0;0;0;0;1;2;5;1;0;0;0;0;0;0;0;3;6;5;29
2022_51;372;371;85;7;78;7;0;99;37;68;45;20;214;59;24;24;12;74;80;64;2;1;0;0;2;1;9;21;24;25;0;0;0;0;1;1;4;3;3;0;0;0;0;0;1;0;0;4;8;7;29
2022_52;435;434;86;6;79;6;1;101;22;38;34;15;181;57;28;27;17;72;82;71;2;1;1;2;1;1;8;23;27;20;0;0;0;0;1;0;3;7;5;1;0;0;0;0;0;0;2;1;3;9;29
2023_01;422;419;71;4;67;4;0;89;23;33;38;17;152;44;28;25;13;74;84;72;3;0;0;0;0;3;8;8;31;18;0;0;0;0;1;0;2;2;8;0;0;0;0;0;0;0;0;3;4;10;29
2023_02;313;313;44;5;39;5;0;58;23;35;23;9;149;59;22;22;8;77;79;77;0;0;0;1;0;1;5;7;17;13;0;0;0;0;0;0;0;3;4;1;0;0;0;0;0;0;0;2;4;3;29
2023_03;307;306;40;5;34;5;1;39;18;14;24;9;94;34;18;18;8;75;83;69;2;0;0;0;0;0;4;8;16;10;0;0;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;1;4;4;29
2023_04;290;287;24;3;21;2;0;23;8;30;16;8;93;37;13;13;6;58;76;65;3;1;1;0;0;2;5;2;5;5;0;0;0;0;0;1;2;2;1;0;0;0;0;0;0;0;1;2;4;1;29
2023_05;234;234;18;1;17;1;0;22;10;21;9;3;72;28;9;6;2;63;72;63;2;0;0;0;2;0;3;2;5;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;1;29
2023_06;238;238;17;0;17;0;0;21;15;21;13;1;60;19;6;6;1;59;71;73;3;0;1;0;0;0;1;5;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;29
2023_07;278;278;24;4;20;4;0;14;10;13;6;1;47;14;9;9;2;78;80;81;1;0;0;0;0;0;3;2;9;9;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;29
2023_08;264;264;28;2;26;2;0;31;7;22;11;6;60;23;13;13;3;75;85;71;1;0;0;0;0;1;1;8;7;10;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;4;29
2023_09;231;231;22;0;22;0;0;33;6;14;6;5;70;25;8;8;0;73;80;;2;0;0;0;0;1;1;3;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;29
2023_10;239;239;38;4;34;4;0;34;8;20;11;6;63;14;12;12;4;71;81;77;2;1;0;0;1;0;3;10;9;12;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;1;1;0;4;29
2023_11;236;236;42;5;37;5;0;34;14;15;10;2;70;39;11;11;4;73;81;73;0;0;1;2;2;0;3;9;15;10;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;1;29
2023_12;278;278;47;6;41;5;0;38;26;29;12;7;84;29;19;19;8;75;87;69;1;0;0;1;1;1;2;13;17;11;0;0;0;1;0;0;0;3;4;0;0;0;0;0;0;0;0;0;3;4;29
2023_13;226;226;43;4;39;4;0;36;13;26;5;2;80;29;7;7;3;77;79;56;1;0;1;0;0;2;1;9;11;18;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;29
2023_14;163;160;17;1;16;1;0;33;23;18;15;7;102;26;7;7;3;76;88;71;1;0;0;0;0;0;1;3;5;7;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;5;29
2023_15;211;210;27;0;26;0;1;31;21;21;6;1;60;22;11;11;5;71;92;69;2;0;1;0;1;1;1;5;5;11;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;29
2023_16;201;200;31;0;31;0;0;29;25;10;9;5;49;13;15;14;5;74;87;73;1;0;0;1;0;1;0;7;16;5;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;2;3;29
2023_17;197;196;31;2;29;2;0;32;14;23;9;2;81;34;9;9;6;71;89;74;2;0;0;1;0;0;3;5;13;7;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;1;1;29
2023_18;179;179;20;0;20;0;0;15;4;15;8;5;51;17;6;6;4;75;79;64;1;0;0;0;0;0;1;6;7;5;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;1;3;1;29
2023_19;192;189;25;0;25;0;0;14;6;12;8;7;41;17;11;11;3;76;82;69;1;0;0;0;0;1;1;7;4;11;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;4;2;29
2023_20;186;183;11;0;11;0;0;16;1;14;2;2;41;16;9;9;1;76;82;79;0;0;0;0;0;1;0;3;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;29
2023_21;180;178;8;0;8;0;0;16;8;22;8;4;30;7;9;9;2;73;76;75;0;0;0;0;0;1;0;3;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;2;29
2023_22;163;161;6;0;6;0;0;12;6;8;2;0;17;2;10;10;4;71;;77;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;29
2023_23;170;170;5;0;5;0;0;12;3;12;4;2;28;2;9;9;0;87;85;;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;29
2023_24;150;150;3;0;3;0;0;6;2;5;4;2;27;4;10;10;2;78;87;65;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;29
2023_25;162;162;3;0;3;0;0;6;3;2;5;0;12;3;6;6;1;55;;82;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;29
2023_26;116;115;1;0;1;0;0;5;0;0;2;0;12;4;4;4;0;86;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
2023_27;135;134;3;0;3;0;0;5;1;9;1;0;8;2;8;8;2;79;;73;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;29
2023_28;148;136;1;0;1;0;0;3;0;13;3;1;14;5;11;11;0;77;77;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;29
2023_29;132;124;1;0;1;0;0;3;0;6;2;1;9;0;10;9;1;86;84;74;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;29
2023_30;142;126;1;0;1;0;0;6;1;3;1;0;8;0;5;5;1;64;;64;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;29
2023_31;135;116;3;0;3;0;0;3;0;4;1;0;10;3;7;7;1;48;;64;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;29
2023_32;139;124;5;0;5;0;0;5;5;12;4;0;11;2;12;12;0;65;;;0;0;0;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
2023_33;153;134;8;0;8;0;0;6;4;5;4;0;11;2;11;11;1;77;;79;0;0;0;0;0;0;1;3;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;29
2023_34;141;131;9;0;9;0;0;12;2;35;5;3;32;3;10;9;0;65;82;;2;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;29
2023_35;153;133;6;0;6;0;0;16;6;6;3;0;20;4;8;8;1;60;;79;1;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;29
2023_36;192;174;20;0;20;0;0;20;5;7;1;1;26;10;10;10;1;77;83;88;1;0;0;0;0;0;1;5;3;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;29
2023_37;208;190;21;0;19;0;2;18;6;5;1;1;34;12;7;7;2;70;83;79;2;0;0;0;0;0;0;9;7;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;29
2023_38;225;180;25;0;24;0;1;29;14;10;6;4;37;18;12;9;2;77;76;79;1;1;0;0;0;0;0;2;12;9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;1;29
2023_39;220;192;24;0;24;0;0;22;11;17;4;2;38;10;13;11;3;74;89;76;0;1;0;1;0;1;2;3;8;8;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;29
2023_40;187;178;20;0;20;0;0;23;22;33;5;5;47;11;10;10;3;67;72;68;1;0;0;1;1;1;2;6;5;3;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;2;1;28
2023_41;230;221;34;0;34;0;0;33;10;53;16;5;83;20;15;15;3;75;87;74;2;0;0;0;0;1;0;5;16;10;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;3;28
2023_42;243;228;49;0;47;0;2;29;10;23;9;6;76;22;12;12;2;74;82;74;4;0;0;0;0;0;2;6;21;16;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;2;28
2023_43;228;220;41;0;41;0;0;48;33;19;13;6;86;24;11;11;3;73;85;59;2;0;0;0;2;3;1;6;19;8;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;4;28
2023_44;216;203;32;1;31;1;0;47;21;17;16;7;75;28;10;10;4;68;85;75;4;1;1;0;0;0;0;4;8;14;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;5;28
2023_45;220;216;31;0;30;0;1;49;30;25;9;3;96;23;10;10;3;74;61;83;2;0;0;0;0;0;1;10;9;9;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1;0;28
2023_46;231;224;44;0;44;0;0;39;34;100;8;2;111;31;19;19;8;72;91;74;3;0;0;1;2;1;1;7;11;18;0;0;0;0;0;0;1;3;3;1;0;0;0;0;0;0;0;0;0;2;28
2023_47;263;253;60;1;59;1;0;65;55;73;15;4;122;38;12;12;5;59;79;68;10;3;1;2;0;0;5;8;22;9;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;1;0;1;2;28
2023_48;280;272;77;0;76;0;1;76;67;55;20;8;161;41;10;10;6;69;75;74;9;1;1;0;1;0;2;14;22;27;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;2;1;3;28
2023_49;292;285;88;0;88;0;0;99;58;48;20;9;150;44;14;14;8;75;81;69;4;0;0;0;0;1;4;28;23;28;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;3;2;4;29
2023_50;301;291;81;0;81;0;0;95;52;43;15;7;185;62;15;15;6;71;78;74;4;2;0;0;2;2;6;16;27;22;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;1;2;1;3;29
2023_51;318;299;74;0;73;0;1;93;23;32;18;5;233;61;22;22;11;67;82;70;8;1;1;0;1;1;6;14;26;16;0;0;0;0;0;1;2;5;2;1;0;0;0;0;0;0;0;2;0;3;29
2023_52;356;350;70;0;69;0;1;80;27;18;29;14;132;46;20;18;10;66;78;69;11;0;0;0;0;4;5;8;19;23;0;0;0;0;0;2;0;5;2;1;0;0;0;0;0;1;1;3;3;6;29
2024_01;391;377;50;0;50;0;0;58;25;12;20;10;101;34;19;19;10;72;83;74;3;1;0;0;1;0;3;14;17;11;0;0;0;0;0;0;2;3;4;1;0;0;0;0;0;1;0;0;3;6;29
2024_02;406;397;33;0;33;0;0;30;17;17;18;10;100;31;18;18;5;74;82;67;2;0;0;0;0;1;2;7;9;12;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;3;1;6;29
