week,date,date.to,week.hospitalized.vaccinated,week.hospitalized.other,week.icu.vaccinated,week.icu.vaccinatedpartially,week.icu.recovered,week.icu.other,week.confirmed,week.investigated,week.healthcare,week.healthcare.male,week.healthcare.female,week.rhoccupant,week.loc.family,week.loc.work,week.loc.school,week.loc.hospital,week.loc.otherhc,week.loc.rh,week.loc.prison,week.loc.transport,week.loc.shop,week.loc.restaurant,week.loc.sport,week.loc.gathering_private,week.loc.gathering_organized,week.loc.other,week.loc.unknown,week.sent_to.quarantine,week.src.quarantine,week.src.import,week.src.import-related,week.src.local,week.src.unknown,week.from.aus,week.from.aut,week.from.aze,week.from.bel,week.from.bgr,week.from.bih,week.from.cze,week.from.mne,week.from.dnk,week.from.dom,week.from.est,week.from.fra,week.from.grc,week.from.hrv,week.from.irn,week.from.ita,week.from.kaz,week.from.xkx,week.from.hun,week.from.mkd,week.from.mlt,week.from.mar,week.from.fsm,week.from.deu,week.from.pak,week.from.pol,week.from.rou,week.from.rus,week.from.svk,week.from.srb,week.from.esp,week.from.swe,week.from.che,week.from.tur,week.from.ukr,week.from.gbr,week.from.usa,week.from.are,week.from.nld,week.from.prt,week.from.lva,week.from.alb,week.from.cub,week.from.mli,week.from.egy,week.from.tza,week.from.fin,week.from.nam,week.from.jib,week.from.mdv,week.from.qat,week.from.afg,week.from.npl,week.from.cyp,week.from.mus,week.from.tun,week.from.kgz,week.from.irl,week.from.rwa,week.from.zaf,week.from.uzb,week.from.bwa,week.from.gnq,week.from.gmb,week.from.ala,week.from.lux,week.from.abw,week.from.wlf,week.from.sur,week.from.isr,week.from.nor,week.from.pyf,week.from.pan,week.from.per,week.from.zwe,week.from.jor,week.from.ltu,week.from.syc,week.from.ecu,week.from.ven,week.from.smr,week.from.cod,week.from.ken,week.from.sau,week.from.swz,week.from.isl,week.from.caf,week.from.tha,week.from.bra,week.from.civ,week.from.col,week.from.geo,week.from.ind
2022-37,2022-09-12,2022-09-18,,,9,,1,,14452,125,416,71,345,111,1,5,,,,105,2,,,,,,,2,9,,,,3,102,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-38,2022-09-19,2022-09-25,,,9,1,,3,13998,180,412,65,347,168,1,5,,1,2,154,,,,,,,,,17,,,,1,155,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-39,2022-09-26,2022-10-02,,,15,1,1,4,15883,221,559,89,470,202,1,6,,2,2,189,,,,,,,,1,20,,,,1,196,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-40,2022-10-03,2022-10-09,,,10,4,,6,15702,341,521,92,429,298,,20,,1,17,276,,,,,,1,,,25,,,,1,288,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-41,2022-10-10,2022-10-16,,,10,2,,3,12981,292,424,65,359,257,,12,,2,23,237,,,,,,,,,17,,,,,242,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-42,2022-10-17,2022-10-23,,,1,1,,4,9799,149,324,64,260,136,,7,,,9,120,,,,,,,,,5,,,,,122,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-43,2022-10-24,2022-10-30,,,10,1,,1,7441,168,313,38,275,151,,,,1,4,138,2,,,,,,,5,10,,,,,148,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-44,2022-10-31,2022-11-06,,,5,,1,1,4565,85,183,38,145,76,,,,,,75,,,,,,,,3,7,,,,1,68,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-45,2022-11-07,2022-11-13,,,6,,,3,4352,41,178,38,140,28,,4,,,1,26,,,,,,,,5,2,,,,,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-46,2022-11-14,2022-11-20,,,7,1,,4,5382,57,200,35,165,54,,1,,2,,32,,,,,,,1,,4,,,,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
