TheISOYearWeek,TheDate,st_test_PCR,st_test_HAGT,st_potrjenih_primerov
2020-26,2020-06-26,878,0,14
2020-26,2020-06-27,625,0,9
2020-26,2020-06-28,300,0,4
2020-27,2020-06-29,1085,0,15
2020-27,2020-06-30,1399,0,13
2020-27,2020-07-01,1198,0,21
2020-27,2020-07-02,1274,0,16
2020-27,2020-07-03,1456,0,30
2020-27,2020-07-04,716,0,21
2020-27,2020-07-05,530,0,16
2020-28,2020-07-06,1325,0,23
2020-28,2020-07-07,1607,0,24
2020-28,2020-07-08,1271,0,13
2020-28,2020-07-09,1390,0,17
2020-28,2020-07-10,1159,0,34
2020-28,2020-07-11,560,0,15
2020-28,2020-07-12,440,0,8
2020-29,2020-07-13,1218,0,10
2020-29,2020-07-14,1112,0,19
2020-29,2020-07-15,1032,0,19
2020-29,2020-07-16,1012,0,19
2020-29,2020-07-17,1027,0,24
2020-29,2020-07-18,480,0,6
2020-29,2020-07-19,371,0,7
2020-30,2020-07-20,914,0,24
2020-30,2020-07-21,1150,0,29
2020-30,2020-07-22,935,0,27
2020-30,2020-07-23,848,0,19
2020-30,2020-07-24,918,0,14
2020-30,2020-07-25,565,0,16
2020-30,2020-07-26,335,0,5
2020-31,2020-07-27,874,0,14
2020-31,2020-07-28,919,0,14
2020-31,2020-07-29,879,0,24
2020-31,2020-07-30,917,0,17
2020-31,2020-07-31,892,0,15
2020-31,2020-08-01,374,0,9
2020-31,2020-08-02,272,0,1
2020-32,2020-08-03,890,0,9
2020-32,2020-08-04,974,0,18
2020-32,2020-08-05,771,0,15
2020-32,2020-08-06,753,0,10
2020-32,2020-08-07,829,0,14
2020-32,2020-08-08,304,0,2
2020-32,2020-08-09,322,0,6
2020-33,2020-08-10,1058,0,17
2020-33,2020-08-11,1118,0,31
2020-33,2020-08-12,856,0,29
2020-33,2020-08-13,937,0,37
2020-33,2020-08-14,1034,0,32
2020-33,2020-08-15,382,0,15
2020-33,2020-08-16,393,0,13
2020-34,2020-08-17,1143,0,27
2020-34,2020-08-18,1092,0,37
2020-34,2020-08-19,1168,0,43
2020-34,2020-08-20,1096,0,38
2020-34,2020-08-21,1203,0,43
2020-34,2020-08-22,760,0,34
2020-34,2020-08-23,543,0,14
2020-35,2020-08-24,1370,0,21
2020-35,2020-08-25,1439,0,36
2020-35,2020-08-26,1299,0,33
2020-35,2020-08-27,1338,0,42
2020-35,2020-08-28,1328,0,37
2020-35,2020-08-29,769,0,31
2020-35,2020-08-30,588,0,18
2020-36,2020-08-31,1415,0,41
2020-36,2020-09-01,1608,0,55
2020-36,2020-09-02,1653,0,53
2020-36,2020-09-03,1733,0,47
2020-36,2020-09-04,1708,0,43
2020-36,2020-09-05,1212,0,43
2020-36,2020-09-06,706,0,25
2020-37,2020-09-07,1581,0,43
2020-37,2020-09-08,2560,0,79
2020-37,2020-09-09,2489,0,78
2020-37,2020-09-10,2758,0,108
2020-37,2020-09-11,3191,0,105
2020-37,2020-09-12,1793,0,99
2020-37,2020-09-13,1110,0,47
2020-38,2020-09-14,2247,0,83
2020-38,2020-09-15,3123,0,123
2020-38,2020-09-16,3070,0,104
2020-38,2020-09-17,3557,0,137
2020-38,2020-09-18,3070,0,113
2020-38,2020-09-19,2288,0,111
2020-38,2020-09-20,984,0,50
2020-39,2020-09-21,2335,0,88
2020-39,2020-09-22,2616,0,136
2020-39,2020-09-23,2848,0,121
2020-39,2020-09-24,3645,0,193
2020-39,2020-09-25,2775,0,184
2020-39,2020-09-26,1917,0,158
