date,deceased
2010-12-21,64
2010-12-22,66
2010-12-23,70
2010-12-24,77
2010-12-25,54
2010-12-26,53
2010-12-27,47
2010-12-28,57
2010-12-29,42
2010-12-30,58
2010-12-31,61
2011-01-01,45
2011-01-02,61
2011-01-03,62
2011-01-04,71
2011-01-05,70
2011-01-06,48
2011-01-07,45
2011-01-08,58
2011-01-09,59
2011-01-10,68
2011-01-11,75
2011-01-12,69
2011-01-13,53
2011-01-14,72
2011-01-15,64
2011-01-16,53
2011-01-17,51
2011-01-18,58
2011-01-19,60
2011-01-20,56
2011-01-21,57
2011-01-22,81
2011-01-23,63
2011-01-24,60
2011-01-25,61
2011-01-26,51
2011-01-27,70
2011-01-28,57
2011-01-29,65
2011-01-30,69
2011-01-31,58
2011-02-01,67
2011-02-02,62
2011-02-03,54
2011-02-04,70
2011-02-05,50
2011-02-06,58
2011-02-07,63
2011-02-08,53
2011-02-09,58
2011-02-10,51
2011-02-11,65
2011-02-12,53
2011-02-13,53
2011-02-14,69
2011-02-15,69
2011-02-16,51
2011-02-17,61
2011-02-18,62
2011-02-19,67
2011-02-20,55
2011-02-21,56
2011-02-22,60
2011-02-23,45
2011-02-24,61
2011-02-25,68
2011-02-26,63
2011-02-27,53
2011-02-28,61
2011-03-01,55
2011-03-02,62
2011-03-03,53
2011-03-04,54
2011-03-05,62
2011-03-06,46
2011-03-07,65
2011-03-08,76
2011-03-09,58
2011-03-10,54
2011-03-11,61
2011-03-12,53
2011-03-13,59
2011-03-14,57
2011-03-15,66
2011-03-16,50
2011-03-17,58
2011-03-18,49
2011-03-19,59
2011-03-20,58
2011-03-21,55
2011-03-22,48
2011-03-23,62
2011-03-24,52
2011-03-25,60
2011-03-26,61
2011-03-27,56
2011-03-28,48
2011-03-29,49
2011-03-30,72
2011-03-31,54
2011-04-01,56
2011-04-02,46
2011-04-03,54
2011-04-04,47
2011-04-05,60
2011-04-06,42
2011-04-07,49
2011-04-08,62
2011-04-09,54
2011-04-10,53
2011-04-11,52
2011-04-12,54
2011-04-13,47
2011-04-14,49
2011-04-15,55
2011-04-16,59
2011-04-17,45
2011-04-18,55
2011-04-19,53
2011-04-20,67
2011-04-21,55
2011-04-22,60
2011-04-23,37
2011-04-24,70
2011-04-25,59
2011-04-26,57
2011-04-27,57
2011-04-28,48
2011-04-29,55
2011-04-30,53
2011-05-01,50
2011-05-02,58
2011-05-03,61
2011-05-04,63
2011-05-05,57
2011-05-06,44
2011-05-07,47
2011-05-08,61
2011-05-09,49
2011-05-10,55
2011-05-11,50
2011-05-12,61
2011-05-13,45
2011-05-14,52
2011-05-15,57
2011-05-16,40
2011-05-17,45
2011-05-18,55
2011-05-19,49
2011-05-20,50
2011-05-21,46
2011-05-22,45
2011-05-23,41
2011-05-24,47
2011-05-25,56
2011-05-26,61
2011-05-27,47
2011-05-28,40
2011-05-29,47
2011-05-30,40
2011-05-31,53
2011-06-01,61
2011-06-02,51
2011-06-03,53
2011-06-04,48
2011-06-05,61
2011-06-06,45
2011-06-07,49
2011-06-08,37
2011-06-09,48
2011-06-10,47
2011-06-11,57
2011-06-12,46
2011-06-13,47
2011-06-14,48
2011-06-15,56
2011-06-16,52
2011-06-17,46
2011-06-18,44
2011-06-19,61
2011-06-20,43
2011-06-21,56
2011-06-22,46
2011-06-23,47
2011-06-24,56
2011-06-25,44
2011-06-26,44
2011-06-27,44
2011-06-28,54
2011-06-29,48
2011-06-30,55
2011-07-01,44
2011-07-02,48
2011-07-03,66
2011-07-04,58
2011-07-05,42
2011-07-06,46
2011-07-07,50
2011-07-08,43
2011-07-09,46
2011-07-10,47
2011-07-11,60
2011-07-12,52
2011-07-13,47
2011-07-14,49
2011-07-15,55
2011-07-16,50
2011-07-17,55
2011-07-18,54
2011-07-19,46
2011-07-20,58
2011-07-21,53
2011-07-22,58
2011-07-23,50
2011-07-24,43
2011-07-25,50
2011-07-26,44
2011-07-27,43
2011-07-28,53
2011-07-29,48
2011-07-30,35
2011-07-31,45
2011-08-01,50
2011-08-02,47
2011-08-03,47
2011-08-04,50
2011-08-05,67
2011-08-06,47
2011-08-07,46
2011-08-08,51
2011-08-09,55
2011-08-10,49
2011-08-11,38
2011-08-12,49
2011-08-13,44
2011-08-14,51
2011-08-15,55
2011-08-16,57
2011-08-17,49
2011-08-18,60
2011-08-19,54
2011-08-20,56
2011-08-21,56
2011-08-22,60
2011-08-23,46
2011-08-24,59
2011-08-25,63
2011-08-26,49
2011-08-27,47
2011-08-28,58
2011-08-29,52
2011-08-30,52
2011-08-31,54
2011-09-01,62
2011-09-02,53
2011-09-03,38
2011-09-04,51
2011-09-05,52
2011-09-06,38
2011-09-07,48
2011-09-08,49
2011-09-09,45
2011-09-10,55
2011-09-11,56
2011-09-12,46
2011-09-13,57
2011-09-14,55
2011-09-15,50
2011-09-16,58
2011-09-17,55
2011-09-18,54
2011-09-19,44
2011-09-20,45
2011-09-21,50
2011-09-22,58
2011-09-23,51
2011-09-24,55
2011-09-25,44
2011-09-26,50
2011-09-27,47
2011-09-28,53
2011-09-29,47
2011-09-30,47
2011-10-01,48
2011-10-02,43
2011-10-03,53
2011-10-04,51
2011-10-05,48
2011-10-06,53
2011-10-07,66
2011-10-08,52
2011-10-09,50
2011-10-10,53
2011-10-11,52
2011-10-12,61
2011-10-13,46
2011-10-14,62
2011-10-15,40
2011-10-16,49
2011-10-17,63
2011-10-18,44
2011-10-19,56
2011-10-20,64
2011-10-21,61
2011-10-22,49
2011-10-23,55
2011-10-24,52
2011-10-25,53
2011-10-26,48
2011-10-27,58
2011-10-28,54
2011-10-29,56
2011-10-30,52
2011-10-31,70
2011-11-01,46
2011-11-02,56
2011-11-03,51
2011-11-04,53
2011-11-05,55
2011-11-06,68
2011-11-07,55
2011-11-08,67
2011-11-09,45
2011-11-10,50
2011-11-11,40
2011-11-12,59
2011-11-13,58
2011-11-14,55
2011-11-15,67
2011-11-16,44
2011-11-17,46
2011-11-18,55
2011-11-19,52
2011-11-20,57
2011-11-21,55
2011-11-22,58
2011-11-23,64
2011-11-24,51
2011-11-25,49
2011-11-26,50
2011-11-27,61
2011-11-28,62
2011-11-29,43
2011-11-30,43
2011-12-01,66
2011-12-02,53
2011-12-03,49
2011-12-04,55
2011-12-05,64
2011-12-06,57
2011-12-07,66
2011-12-08,54
2011-12-09,52
2011-12-10,64
2011-12-11,46
2011-12-12,55
2011-12-13,57
2011-12-14,58
2011-12-15,63
2011-12-16,61
2011-12-17,47
2011-12-18,48
2011-12-19,57
2011-12-20,49
2011-12-21,51
2011-12-22,69
2011-12-23,62
2011-12-24,52
2011-12-25,53
2011-12-26,44
2011-12-27,54
2011-12-28,63
2011-12-29,65
2011-12-30,73
2011-12-31,67
2012-01-01,73
2012-01-02,57
2012-01-03,64
2012-01-04,51
2012-01-05,55
2012-01-06,54
2012-01-07,50
2012-01-08,45
2012-01-09,66
2012-01-10,47
2012-01-11,55
2012-01-12,65
2012-01-13,64
2012-01-14,64
2012-01-15,56
2012-01-16,54
2012-01-17,51
2012-01-18,70
2012-01-19,64
2012-01-20,56
2012-01-21,42
2012-01-22,40
2012-01-23,72
2012-01-24,72
2012-01-25,65
2012-01-26,55
2012-01-27,65
2012-01-28,53
2012-01-29,48
2012-01-30,62
2012-01-31,71
2012-02-01,55
2012-02-02,66
2012-02-03,52
2012-02-04,60
2012-02-05,53
2012-02-06,69
2012-02-07,60
2012-02-08,65
2012-02-09,46
2012-02-10,70
2012-02-11,75
2012-02-12,70
2012-02-13,63
2012-02-14,77
2012-02-15,74
2012-02-16,81
2012-02-17,63
2012-02-18,57
2012-02-19,63
2012-02-20,70
2012-02-21,70
2012-02-22,63
2012-02-23,62
2012-02-24,66
2012-02-25,72
2012-02-26,69
2012-02-27,79
2012-02-28,50
2012-02-29,74
2012-03-01,62
2012-03-02,75
2012-03-03,80
2012-03-04,53
2012-03-05,58
2012-03-06,67
2012-03-07,66
2012-03-08,82
2012-03-09,56
2012-03-10,72
2012-03-11,60
2012-03-12,64
2012-03-13,69
2012-03-14,65
2012-03-15,71
2012-03-16,65
2012-03-17,78
2012-03-18,69
2012-03-19,73
2012-03-20,58
2012-03-21,63
2012-03-22,79
2012-03-23,64
2012-03-24,63
2012-03-25,78
2012-03-26,52
2012-03-27,77
2012-03-28,69
2012-03-29,49
2012-03-30,69
2012-03-31,73
2012-04-01,59
2012-04-02,70
2012-04-03,58
2012-04-04,61
2012-04-05,51
2012-04-06,48
2012-04-07,58
2012-04-08,62
2012-04-09,60
2012-04-10,60
2012-04-11,58
2012-04-12,53
2012-04-13,55
2012-04-14,48
2012-04-15,49
2012-04-16,51
2012-04-17,53
2012-04-18,48
2012-04-19,62
2012-04-20,57
2012-04-21,50
2012-04-22,63
2012-04-23,44
2012-04-24,46
2012-04-25,59
2012-04-26,50
2012-04-27,55
2012-04-28,59
2012-04-29,55
2012-04-30,62
2012-05-01,59
2012-05-02,53
2012-05-03,50
2012-05-04,54
2012-05-05,54
2012-05-06,59
2012-05-07,58
2012-05-08,38
2012-05-09,56
2012-05-10,55
2012-05-11,75
2012-05-12,58
2012-05-13,52
2012-05-14,53
2012-05-15,44
2012-05-16,54
2012-05-17,45
2012-05-18,52
2012-05-19,32
2012-05-20,49
2012-05-21,44
2012-05-22,50
2012-05-23,57
2012-05-24,54
2012-05-25,49
2012-05-26,47
2012-05-27,56
2012-05-28,52
2012-05-29,45
2012-05-30,43
2012-05-31,52
2012-06-01,44
2012-06-02,52
2012-06-03,38
2012-06-04,67
2012-06-05,49
2012-06-06,41
2012-06-07,44
2012-06-08,36
2012-06-09,46
2012-06-10,46
2012-06-11,56
2012-06-12,46
2012-06-13,51
2012-06-14,50
2012-06-15,61
2012-06-16,41
2012-06-17,49
2012-06-18,51
2012-06-19,58
2012-06-20,63
2012-06-21,54
2012-06-22,61
2012-06-23,52
2012-06-24,58
2012-06-25,52
2012-06-26,52
2012-06-27,48
2012-06-28,48
2012-06-29,55
2012-06-30,44
2012-07-01,52
2012-07-02,57
2012-07-03,58
2012-07-04,79
2012-07-05,56
2012-07-06,61
2012-07-07,56
2012-07-08,54
2012-07-09,43
