dict,id,mizs_key,value
event_reason,PVOKUUC,3008,Okužba s Covid-19 pri otroku ali več otrocih skupine
event_reason,OSSUMU,3009,Sum na okužbo s Covid-19 pri učitelju
event_reason,OSSUMDS,3010,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
event_reason,OSSUMDD,3011,Sum na okužbo s Covid-19 pri drugem delavcu
event_reason,OSSUMUC,3012,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka
event_reason,OSOKUU,3013,Okužba s Covid-19 pri učitelju
event_reason,OSOKUDS,3014,Okužba s Covid-19 pri drugem strokovnem delavcu
event_reason,OSOKUDD,3015,Okužba s Covid-19 pri drugem delavcu
event_reason,OSOKUUC,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
event_reason,OSPPSUMU,3017,Sum na okužbo s Covid-19 pri učitelju
event_reason,OSPPSUMDS,3018,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
event_reason,OSPPSUMDD,3019,Sum na okužbo s Covid-19 pri drugem delavcu
event_reason,OSPPSUMUC,3020,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka
event_reason,OSPPOKUU,3021,Okužba s Covid-19 pri učitelju
event_reason,OSPPOKUDS,3022,Okužba s Covid-19 pri drugem strokovnem delavcu
event_reason,OSPPOKUDD,3023,Okužba s Covid-19 pri drugem delavcu
event_reason,OSPPOKUUC,3024,Okužba s Covid-19 pri učencu ali več učencih oddelka
event_reason,SSSUMU,3025,Sum na okužbo s Covid-19 pri učitelju
event_reason,SSSUMDS,3026,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
event_reason,SSSUMDD,3027,Sum na okužbo s Covid-19 pri drugem delavcu
event_reason,SSSUMUC,3028,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka
event_reason,SSOKUU,3029,Okužba s Covid-19 pri učitelju
event_reason,SSOKUDS,3030,Okužba s Covid-19 pri drugem strokovnem delavcu
event_reason,SSOKUDD,3031,Okužba s Covid-19 pri drugem delavcu
event_reason,SSOKUUC,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
event_reason,GSSUMU,3041,Sum na okužbo s Covid-19 pri učitelju
event_reason,GSSUMDS,3042,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
event_reason,GSSUMDD,3043,Sum na okužbo s Covid-19 pri drugem delavcu
event_reason,GSSUMUC,3044,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka
event_reason,GSOKUU,3045,Okužba s Covid-19 pri učitelju
event_reason,GSOKUDS,3046,Okužba s Covid-19 pri drugem strokovnem delavcu
