date,vaccination.age.0-11.1st.todate,vaccination.age.0-11.2nd.todate,vaccination.age.0-11.3rd.todate,vaccination.age.12-17.1st.todate,vaccination.age.12-17.2nd.todate,vaccination.age.12-17.3rd.todate,vaccination.age.18-24.1st.todate,vaccination.age.18-24.2nd.todate,vaccination.age.18-24.3rd.todate,vaccination.age.25-29.1st.todate,vaccination.age.25-29.2nd.todate,vaccination.age.25-29.3rd.todate,vaccination.age.30-34.1st.todate,vaccination.age.30-34.2nd.todate,vaccination.age.30-34.3rd.todate,vaccination.age.35-39.1st.todate,vaccination.age.35-39.2nd.todate,vaccination.age.35-39.3rd.todate,vaccination.age.40-44.1st.todate,vaccination.age.40-44.2nd.todate,vaccination.age.40-44.3rd.todate,vaccination.age.45-49.1st.todate,vaccination.age.45-49.2nd.todate,vaccination.age.45-49.3rd.todate,vaccination.age.50-54.1st.todate,vaccination.age.50-54.2nd.todate,vaccination.age.50-54.3rd.todate,vaccination.age.55-59.1st.todate,vaccination.age.55-59.2nd.todate,vaccination.age.55-59.3rd.todate,vaccination.age.60-64.1st.todate,vaccination.age.60-64.2nd.todate,vaccination.age.60-64.3rd.todate,vaccination.age.65-69.1st.todate,vaccination.age.65-69.2nd.todate,vaccination.age.65-69.3rd.todate,vaccination.age.70-74.1st.todate,vaccination.age.70-74.2nd.todate,vaccination.age.70-74.3rd.todate,vaccination.age.75-79.1st.todate,vaccination.age.75-79.2nd.todate,vaccination.age.75-79.3rd.todate,vaccination.age.80-84.1st.todate,vaccination.age.80-84.2nd.todate,vaccination.age.80-84.3rd.todate,vaccination.age.85-89.1st.todate,vaccination.age.85-89.2nd.todate,vaccination.age.85-89.3rd.todate,vaccination.age.90+.1st.todate,vaccination.age.90+.2nd.todate,vaccination.age.90+.3rd.todate
2021-09-04,13,8,,19366,13192,2,61794,54363,8,45941,41064,10,52272,46369,14,63765,56832,10,78760,70585,15,84379,75973,25,88063,79529,28,98591,89799,25,97672,90848,34,100426,94857,41,87635,83103,24,60889,57697,19,49346,46519,20,29862,27828,17,15522,14139,14
2021-09-05,13,8,,19366,13192,2,61794,54363,8,45941,41064,10,52272,46369,14,63765,56832,10,78760,70585,15,84379,75973,25,88063,79529,28,98591,89799,25,97672,90848,34,100426,94857,41,87635,83103,24,60889,57697,19,49346,46519,20,29862,27828,17,15522,14139,14
2021-09-06,13,8,,19557,13412,2,62068,54657,8,46138,41245,10,52521,46551,14,63996,57041,11,79059,70826,17,84614,76182,27,88280,79707,30,98805,89978,29,97829,91001,38,100576,94998,47,87716,83192,27,60952,57757,25,49391,46568,25,29880,27852,20,15528,14153,16
2021-09-07,13,9,,19784,13616,2,62537,55076,9,46473,41503,22,52920,46828,24,64475,57411,30,79515,71155,28,85070,76517,45,88691,80018,42,99147,90240,60,98125,91212,61,100811,95161,62,87913,83324,38,61076,57829,44,49469,46640,45,29921,27880,40,15543,14174,19
2021-09-08,13,9,,20085,13937,2,62996,55574,15,46864,41786,37,53368,47124,31,64932,57744,44,79975,71527,45,85495,76873,69,89095,80357,65,99538,90614,85,98435,91485,91,101107,95390,83,88123,83495,64,61199,57961,81,49586,46753,197,30004,27951,99,15576,14209,45
2021-09-09,13,9,,20645,14415,3,63621,56201,22,47256,42159,64,53930,47526,60,65509,58176,91,80543,71993,91,86085,77351,126,89576,80788,116,99997,91012,174,98886,91835,137,101493,95685,136,88386,83718,117,61403,58143,146,49722,46916,331,30098,28045,300,15618,14259,177
2021-09-10,15,9,,20890,14784,4,64164,56731,34,47625,42461,86,54417,47891,91,66048,58576,129,81116,72416,138,86610,77774,177,90028,81157,168,100382,91379,245,99239,92153,184,101721,95897,173,88581,83914,161,61515,58256,204,49828,47014,402,30162,28121,352,15642,14288,196
2021-09-11,15,9,,20955,14806,4,64304,56830,34,47727,42539,86,54548,47976,93,66176,58665,135,81262,72504,140,86740,77847,180,90134,81226,172,100467,91422,249,99298,92189,193,101757,95915,194,88609,83926,186,61528,58276,227,49839,47018,444,30163,28124,401,15643,14290,239
2021-09-12,15,9,,20955,14806,4,64304,56830,34,47727,42539,86,54548,47976,93,66177,58666,135,81262,72504,140,86740,77847,180,90134,81226,172,100467,91422,249,99298,92189,193,101757,95915,194,88609,83926,186,61528,58276,227,49839,47018,444,30163,28124,401,15643,14290,239
2021-09-13,15,9,,21346,15090,4,64924,57187,35,48262,42790,90,55087,48276,105,66833,58974,150,81997,72892,158,87409,78229,199,90759,81558,187,101069,91717,272,99768,92415,220,102145,96089,212,88866,84030,216,61686,58352,273,49951,47078,546,30224,28160,466,15667,14299,274
2021-09-14,16,10,,21882,15318,4,66175,57861,41,49207,43273,117,56135,48780,156,67974,59524,194,83314,73437,218,88654,78756,257,91962,82113,253,102196,92240,352,100602,92779,290,102800,96327,272,89382,84202,277,62007,58464,337,50176,47153,709,30332,28200,581,15693,14308,318
2021-09-15,16,10,,22470,15718,4,67486,58601,44,50113,43717,137,57220,49307,185,69077,60119,227,84579,74075,266,89830,79353,310,93008,82632,304,103233,92757,426,101395,93135,362,103552,96639,319,89850,84446,332,62351,58643,576,50425,47269,986,30490,28283,702,15748,14358,371
2021-09-16,17,11,,23637,16339,4,69162,59644,54,51234,44453,186,58499,50075,261,70386,60929,327,86041,74989,372,91214,80218,427,94235,83426,449,104333,93427,580,102319,93703,491,104318,97069,406,90432,84795,440,62712,58887,753,50714,47493,1362,30660,28390,966,15815,14443,536
2021-09-17,17,11,,24310,16735,4,70354,60428,69,52126,44981,277,59544,50716,369,71526,61611,424,87309,75727,540,92403,80928,587,95297,84101,612,105233,93983,798,103043,94161,635,104863,97406,498,90826,85035,529,62948,59053,877,50908,47615,1562,30761,28461,1139,15863,14502,665
2021-09-18,17,11,,24716,16806,4,70951,60629,72,52611,45204,288,60119,50929,383,72135,61876,434,88036,76036,567,93026,81185,624,95869,84312,635,105767,94182,826,103415,94287,667,105171,97500,528,91022,85093,555,63102,59094,961,51027,47640,1729,30809,28473,1226,15882,14505,694
2021-09-19,17,11,,24914,16851,4,71229,60721,73,52795,45254,298,60345,51001,395,72383,61939,444,88308,76110,579,93302,81269,644,96129,84407,649,105995,94242,848,103565,94324,681,105306,97538,544,91131,85120,570,63162,59103,1001,51078,47645,1802,30830,28474,1269,15886,14506,707
2021-09-20,17,11,,25391,17132,4,71848,61033,80,53183,45458,333,60777,51249,442,72818,62201,480,88758,76360,625,93752,81483,696,96520,84627,703,106357,94409,930,103838,94473,742,105519,97647,586,91297,85200,615,63295,59150,1085,51164,47670,1950,30886,28498,1359,15909,14516,736
2021-09-21,17,11,,25711,17380,4,72444,61352,91,53518,45632,366,61197,51466,471,73250,62424,527,89204,76596,674,94180,81701,768,96865,84818,779,106726,94602,1031,104132,94631,809,105793,97777,637,91506,85307,691,63432,59206,1223,51303,47724,2207,30967,28536,1572,15948,14538,885
2021-09-22,17,11,,25982,17618,4,72944,61675,104,53838,45822,402,61540,51674,506,73610,62654,562,89554,76857,712,94526,81925,829,97191,85056,835,107031,94835,1107,104393,94838,866,106057,97967,686,91723,85440,776,63588,59311,1387,51457,47812,2501,31056,28600,1842,15991,14571,1052
2021-09-23,17,11,,26411,18034,4,73732,62301,110,54280,46210,424,62065,52140,535,74171,63137,598,90071,77329,750,95077,82445,883,97667,85500,896,107454,95291,1198,104752,95176,931,106398,98307,749,91990,85686,869,63768,59482,1672,51606,47950,3040,31161,28681,2151,16049,14628,1254
2021-09-24,17,11,,26713,18334,4,74415,62971,121,54759,46682,451,62597,52602,588,74755,63635,644,90690,77918,817,95607,82953,960,98103,85955,977,107861,95727,1313,105115,95531,1014,106670,98565,803,92223,85895,941,63921,59615,1842,51729,48042,3325,31246,28746,2328,16082,14657,1372
2021-09-25,17,11,,26784,18358,4,74556,63090,124,54851,46759,453,62684,52674,593,74878,63731,645,90815,78033,820,95736,83071,965,98221,86057,981,107965,95805,1320,105185,95588,1019,106736,98621,806,92252,85921,950,63949,59634,1905,51748,48054,3421,31261,28758,2389,16084,14661,1393
2021-09-26,17,11,,26800,18366,4,74629,63154,124,54890,46796,455,62720,52710,593,74923,63772,645,90863,78077,821,95793,83122,967,98262,86090,982,108017,95854,1324,105218,95620,1021,106764,98646,806,92267,85935,952,63962,59645,1911,51753,48057,3431,31268,28761,2396,16084,14661,1394
2021-09-27,17,11,,27002,18572,4,75011,63512,129,55114,47007,473,62947,52948,616,75186,63997,665,91130,78363,844,96041,83391,994,98451,86305,1008,108219,96083,1357,105390,95828,1043,106896,98795,836,92365,86046,981,64039,59713,1992,51804,48107,3550,31305,28780,2460,16096,14668,1418
2021-09-28,18,12,,27203,18768,4,75535,64012,133,55424,47312,501,63274,53292,647,75536,64325,700,91516,78754,887,96399,83733,1039,98745,86628,1058,108510,96409,1427,105639,96105,1077,107104,99025,866,92497,86213,1041,64120,59819,2129,51877,48172,3765,31352,28831,2629,16115,14686,1477
2021-09-29,19,13,,27370,19042,4,75802,64331,145,55595,47534,521,63483,53579,668,75762,64622,722,91722,79056,923,96606,84011,1073,98889,86873,1103,108659,96649,1464,105760,96314,1122,107233,99250,913,92600,86371,1120,64201,59934,2321,51965,48266,4360,31410,28894,3079,16152,14714,1655
2021-09-30,19,13,,27616,19517,4,76112,64796,153,55757,47808,529,63698,53943,692,75983,65009,751,91968,79480,953,96804,84444,1107,99074,87219,1151,108860,96999,1528,105887,96675,1158,107366,99578,964,92700,86587,1189,64263,60118,2495,52022,48387,4658,31452,28987,3272,16184,14760,1759
2021-10-01,19,13,,27760,19845,4,76298,65165,160,55893,48070,550,63825,54286,719,76158,65388,789,92169,79863,1001,96956,84863,1152,99212,87536,1218,108967,97290,1600,105972,96937,1224,107439,99811,1016,92743,86764,1247,64295,60227,2620,52057,48508,4874,31490,29060,3406,16194,14787,1818
2021-10-02,19,13,,27803,19890,4,76348,65210,160,55924,48103,551,63871,54334,723,76183,65436,792,92204,79933,1001,96992,84917,1153,99239,87597,1219,108983,97335,1606,105988,96962,1225,107457,99826,1021,92752,86778,1254,64302,60233,2666,52064,48515,4941,31494,29062,3438,16195,14788,1827
2021-10-03,19,13,,27807,19896,4,76353,65213,160,55926,48103,551,63871,54334,723,76183,65437,792,92206,79934,1001,96995,84918,1153,99244,87598,1219,108987,97339,1606,105988,96962,1225,107457,99829,1021,92752,86778,1254,64302,60233,2666,52064,48515,4941,31494,29062,3438,16195,14788,1827
2021-10-04,19,13,,27876,20181,4,76488,65532,165,56016,48374,558,63946,54604,732,76272,65753,799,92304,80278,1008,97096,85196,1160,99314,87904,1230,109062,97656,1618,106054,97227,1239,107499,100070,1033,92785,86962,1280,64319,60348,2730,52093,48583,5023,31502,29111,3507,16203,14805,1851
2021-10-05,19,14,,27952,20545,4,76657,66073,168,56131,48747,567,64059,55014,741,76392,66231,807,92427,80860,1018,97199,85734,1171,99393,88445,1244,109168,98184,1638,106139,97652,1255,107551,100448,1051,92819,87265,1322,64353,60534,2803,52114,48734,5129,31518,29184,3574,16211,14824,1883
2021-10-06,19,14,,28020,20990,4,76827,66680,172,56232,49194,588,64140,55502,760,76482,66734,822,92561,81470,1029,97319,86257,1192,99499,88983,1268,109263,98691,1675,106212,98120,1286,107615,100893,1076,92862,87570,1379,64391,60742,2937,52147,48895,5292,31542,29280,3671,16227,14863,1946
2021-10-07,19,14,,28121,21881,5,77005,67674,178,56365,49840,601,64278,56308,784,76632,67559,844,92696,82352,1063,97430,87140,1233,99604,89778,1329,109374,99482,1729,106313,98819,1348,107702,101499,1134,92912,88038,1469,64450,61033,3141,52189,49180,5577,31569,29425,3862,16247,14934,2076
2021-10-08,19,15,,28191,22580,6,77155,68538,183,56449,50409,616,64358,56939,803,76726,68255,861,92791,83093,1094,97520,87883,1269,99671,90486,1365,109473,100146,1782,106363,99348,1404,107754,101943,1178,92942,88383,1527,64468,61257,3267,52218,49369,5749,31579,29529,3946,16255,14982,2138
2021-10-09,19,15,,28219,22714,6,77192,68701,184,56469,50527,617,64375,57071,806,76748,68411,863,92823,83237,1096,97540,88000,1269,99690,90614,1369,109491,100257,1784,106374,99417,1407,107764,102000,1182,92945,88425,1539,64472,61278,3292,52222,49389,5775,31581,29541,3954,16255,14984,2138
2021-10-10,19,15,,28220,22736,6,77197,68727,184,56473,50541,618,64379,57080,806,76751,68423,863,92829,83254,1096,97544,88026,1270,99693,90627,1370,109494,100271,1784,106375,99432,1407,107764,102009,1182,92948,88433,1541,64472,61287,3293,52222,49396,5777,31582,29547,3954,16255,14985,2138
2021-10-11,19,15,,28272,23214,6,77300,69204,188,56524,50814,627,64449,57449,815,76816,68795,873,92909,83656,1100,97595,88440,1282,99736,90994,1381,109559,100609,1797,106409,99704,1423,107789,102254,1199,92972,88616,1573,64489,61441,3371,52235,49494,5864,31589,29608,4001,16260,15009,2154
2021-10-12,20,15,,28352,23602,6,77428,69676,190,56610,51124,635,64548,57845,823,76908,69161,883,93017,84053,1109,97704,88817,1296,99830,91297,1397,109632,100930,1826,106463,99979,1439,107836,102496,1231,93000,88824,1642,64512,61577,3547,52264,49632,6053,31599,29695,4100,16267,15045,2186
2021-10-13,20,15,,28403,23911,6,77529,70066,191,56675,51398,644,64611,58155,833,76983,69458,897,93089,84347,1128,97772,89130,1319,99913,91598,1416,109682,101263,1864,106519,100238,1475,107870,102753,1275,93045,89016,1755,64531,61718,3725,52295,49781,6251,31622,29776,4254,16276,15081,2272
2021-10-14,20,15,,28464,24460,7,77663,70715,195,56744,51778,662,64707,58590,845,77088,69915,910,93184,84835,1153,97855,89566,1348,99984,92013,1456,109769,101671,1902,106586,100579,1515,107922,103074,1345,93083,89297,1919,64551,61949,4126,52332,49961,6571,31644,29899,4448,16282,15138,2368
2021-10-15,20,15,,28530,24858,7,77752,71166,201,56816,52053,670,64791,58877,865,77187,70232,940,93286,85154,1187,97950,89850,1376,100054,92312,1518,109828,101931,1969,106630,100819,1557,107964,103270,1406,93105,89492,2053,64570,62079,4396,52346,50073,6809,31655,29973,4573,16285,15172,2425
2021-10-16,20,15,,28543,24893,7,77771,71196,201,56828,52085,671,64804,58905,866,77205,70261,940,93303,85187,1187,97962,89875,1377,100069,92332,1518,109843,101948,1970,106633,100829,1557,107968,103279,1410,93105,89496,2055,64574,62083,4406,52348,50074,6815,31656,29977,4576,16285,15172,2425
2021-10-17,20,15,,28544,24895,7,77772,71203,201,56828,52089,671,64805,58905,866,77206,70266,940,93304,85190,1187,97963,89880,1377,100069,92333,1518,109846,101948,1970,106633,100829,1557,107969,103280,1410,93105,89496,2055,64574,62084,4406,52348,50074,6815,31656,29977,4576,16285,15172,2425
2021-10-18,20,15,,28580,25134,7,77839,71449,207,56876,52216,679,64879,59048,873,77276,70416,953,93379,85346,1202,98020,90035,1382,100132,92449,1529,109888,102087,1990,106668,100921,1577,108004,103391,1441,93131,89568,2170,64589,62162,4553,52360,50116,6932,31664,30018,4633,16289,15183,2445
2021-10-19,20,15,,28640,25336,7,77929,71675,211,56927,52400,693,64947,59229,882,77342,70615,966,93447,85548,1211,98090,90222,1397,100198,92611,1551,109934,102235,2012,106710,101041,1592,108038,103502,1497,93152,89643,2296,64598,62212,4772,52383,50159,7110,31672,30049,4719,16293,15195,2493
2021-10-20,20,15,,28702,25530,7,78022,71896,212,56990,52552,699,65008,59392,888,77410,70786,976,93525,85741,1229,98169,90387,1411,100256,92762,1581,109991,102374,2046,106756,101170,1635,108089,103606,1573,93184,89751,2539,64624,62291,5049,52397,50249,7340,31691,30112,4850,16304,15230,2558
2021-10-21,20,15,,28804,25859,7,78136,72265,212,57062,52753,708,65103,59678,904,77511,71064,999,93649,86003,1250,98267,90633,1441,100343,92982,1622,110086,102617,2090,106823,101405,1683,108147,103805,1691,93228,89923,2956,64654,62409,5726,52429,50356,7806,31713,30182,5074,16318,15272,2660
2021-10-22,20,15,,28860,26056,7,78232,72544,225,57143,52908,716,65204,59852,927,77597,71274,1035,93733,86205,1283,98348,90824,1495,100407,93140,1666,110156,102740,2172,106873,101518,1736,108186,103928,1785,93254,90003,3642,64673,62466,6420,52447,50415,8101,31723,30247,5254,16323,15289,2728
2021-10-23,20,15,,28880,26078,7,78247,72580,226,57153,52922,716,65220,59880,929,77613,71290,1035,93755,86232,1285,98363,90839,1499,100426,93150,1668,110162,102752,2175,106875,101524,1738,108187,103936,1791,93258,90012,3657,64673,62467,6432,52448,50418,8111,31723,30248,5263,16323,15290,2729
2021-10-24,20,15,,28880,26078,7,78247,72580,226,57153,52922,716,65220,59880,929,77613,71290,1035,93755,86232,1285,98363,90839,1499,100426,93150,1668,110162,102752,2175,106875,101524,1738,108187,103936,1791,93258,90012,3657,64673,62467,6432,52448,50418,8111,31723,30248,5263,16323,15290,2729
2021-10-25,20,15,,28969,26197,7,78330,72723,232,57228,53007,724,65300,59982,935,77686,71371,1041,93832,86318,1297,98441,90928,1509,100490,93206,1683,110233,102835,2202,106911,101588,1751,108230,103985,1852,93285,90042,3878,64687,62486,6675,52459,50451,8264,31729,30256,5332,16325,15297,2753
2021-10-26,20,15,,29060,26303,7,78421,72909,241,57307,53138,730,65409,60135,951,77805,71543,1054,93949,86492,1316,98536,91057,1537,100596,93312,1703,110298,102945,2242,106978,101684,1793,108268,104036,1951,93319,90080,4171,64713,62530,7016,52479,50476,8495,31736,30272,5462,16327,15302,2791
2021-10-27,20,15,,29146,26400,7,78519,73040,249,57366,53228,740,65515,60230,962,77888,71642,1072,94014,86581,1332,98609,91157,1558,100666,93406,1734,110349,103014,2296,107025,101757,1841,108305,104105,2114,93351,90125,4652,64744,62577,7495,52504,50502,8819,31754,30298,5640,16336,15315,2843
2021-10-28,20,15,,29307,26589,8,78689,73291,256,57490,53382,761,65668,60409,982,78065,71804,1096,94177,86745,1364,98761,91326,1593,100783,93567,1794,110471,103168,2378,107111,101909,1938,108367,104225,2523,93407,90212,5718,64782,62653,8329,52538,50561,9406,31769,30328,5940,16346,15337,2964
2021-10-29,20,15,,29400,26669,8,78779,73448,269,57569,53475,776,65772,60505,994,78166,71911,1122,94300,86856,1392,98850,91411,1617,100879,93648,1845,110538,103254,2445,107160,101967,2016,108413,104293,2744,93433,90262,6260,64795,62680,8773,52553,50592,9723,31780,30349,6079,16351,15350,3044
2021-10-30,20,15,,29424,26680,8,78805,73462,273,57586,53488,783,65800,60516,1000,78202,71933,1127,94322,86874,1397,98864,91420,1623,100894,93659,1854,110546,103263,2453,107168,101973,2025,108419,104299,2774,93437,90263,6295,64797,62680,8811,52554,50593,9743,31780,30350,6086,16352,15350,3046
2021-10-31,20,15,,29424,26680,8,78805,73462,273,57586,53488,783,65800,60516,1000,78202,71933,1128,94322,86874,1397,98864,91420,1623,100894,93659,1854,110546,103263,2453,107168,101973,2025,108419,104299,2776,93437,90263,6296,64797,62680,8811,52554,50593,9743,31780,30350,6086,16352,15350,3046
2021-11-01,20,15,,29424,26680,8,78805,73462,273,57586,53488,783,65800,60516,1000,78202,71933,1128,94322,86874,1397,98864,91420,1623,100894,93659,1854,110546,103263,2453,107168,101973,2025,108419,104299,2776,93437,90263,6296,64797,62680,8811,52554,50593,9743,31780,30350,6086,16352,15350,3046
2021-11-02,20,15,,29548,26790,8,78944,73641,293,57719,53603,816,65957,60634,1031,78342,72060,1181,94476,87009,1452,99007,91541,1686,100990,93770,1919,110640,103375,2540,107247,102049,2126,108478,104356,3243,93474,90312,6958,64831,62709,9306,52575,50633,10048,31794,30365,6239,16353,15357,3079
2021-11-03,20,15,,29632,26848,8,79043,73757,348,57816,53678,896,66076,60706,1113,78465,72172,1307,94592,87094,1643,99108,91634,1891,101092,93854,2169,110717,103470,2986,107324,102133,2935,108543,104425,4514,93520,90381,8546,64861,62749,10293,52603,50673,10758,31814,30388,6563,16364,15367,3163
2021-11-04,21,15,,29768,26945,8,79240,73925,462,57975,53786,1013,66258,60846,1312,78668,72299,1582,94776,87240,1997,99288,91761,2395,101242,93997,2688,110875,103624,3900,107465,102247,4625,108627,104529,6648,93598,90471,11215,64925,62811,12113,52645,50734,11881,31840,30424,7139,16381,15388,3375
2021-11-05,21,16,,29893,27023,10,79417,74069,581,58123,53878,1186,66440,60951,1536,78854,72418,1912,94954,87363,2495,99454,91877,2959,101388,94075,3353,110993,103729,4836,107575,102349,6202,108706,104610,8597,93672,90523,13385,64957,62853,13539,52673,50772,12844,31859,30445,7588,16387,15395,3578
2021-11-06,21,16,,29991,27046,10,79492,74096,644,58189,53892,1274,66527,60969,1642,78937,72444,2083,95028,87394,2729,99525,91906,3244,101446,94104,3700,111039,103760,5313,107605,102366,6763,108727,104627,9243,93686,90532,13926,64962,62856,13866,52677,50777,13058,31862,30447,7677,16387,15395,3608
2021-11-07,21,16,,30026,27051,12,79508,74105,662,58213,53896,1298,66560,60985,1679,78964,72453,2145,95063,87409,2808,99553,91921,3354,101461,94120,3821,111056,103772,5451,107610,102376,6953,108734,104633,9508,93687,90536,14223,64965,62861,14015,52679,50777,13150,31862,30450,7739,16387,15395,3625
2021-11-08,21,16,,30235,27097,13,79679,74197,759,58369,53960,1425,66727,61061,1826,79143,72531,2398,95241,87502,3180,99725,92001,3783,101598,94204,4274,111169,103844,6155,107720,102445,8246,108831,104699,11297,93745,90584,15843,64995,62881,15022,52703,50807,13850,31875,30461,8056,16391,15399,3710
2021-11-09,21,16,,30427,27151,14,79888,74291,860,58580,54022,1562,66947,61134,2003,79366,72618,2649,95458,87586,3602,99904,92074,4224,101728,94277,4829,111304,103929,6970,107840,102509,9697,108921,104776,13323,93801,90642,17989,65059,62916,16490,52736,50835,14790,31890,30474,8494,16399,15412,3864
2021-11-10,21,16,,30672,27226,18,80081,74391,1005,58737,54106,1718,67140,61224,2220,79562,72719,3019,95643,87689,4164,100061,92181,4910,101843,94364,5505,111434,104037,8079,107964,102591,11572,109029,104862,16077,93873,90713,20891,65115,62972,18250,52775,50884,16025,31921,30501,9169,16418,15431,4120
2021-11-11,21,16,,31020,27324,22,80332,74528,1219,58957,54216,2018,67400,61349,2533,79799,72839,3493,95892,87857,4830,100269,92327,5762,102005,94500,6416,111608,104197,9481,108126,102703,13771,109182,104979,19262,93980,90808,24299,65184,63050,20491,52831,50942,17585,31965,30539,9967,16439,15455,4470
2021-11-12,21,16,,31384,27398,24,80565,74651,1575,59128,54320,2335,67653,61472,2931,80021,72978,4102,96127,88008,5702,100511,92464,6935,102160,94621,7522,111754,104356,11056,108270,102818,15876,109293,105076,21804,94059,90879,27019,65234,63097,22180,52875,50987,18833,32008,30577,10663,16463,15467,4725
2021-11-13,21,16,,31548,27437,26,80686,74687,1674,59208,54341,2425,67776,61509,3051,80145,73006,4278,96259,88051,5948,100629,92491,7206,102250,94656,7859,111805,104397,11499,108310,102842,16500,109324,105094,22646,94082,90892,27806,65250,63105,22678,52890,50995,19172,32014,30580,10848,16463,15471,4788
2021-11-14,21,16,,31608,27440,26,80706,74690,1696,59227,54347,2448,67799,61516,3082,80168,73014,4334,96287,88058,6015,100647,92498,7270,102263,94661,7926,111817,104406,11603,108316,102846,16612,109329,105098,22828,94085,90893,27942,65251,63105,22754,52893,50998,19255,32015,30584,10880,16463,15472,4803
2021-11-15,21,16,,31892,27498,29,80907,74764,1780,59390,54428,2575,68018,61583,3259,80374,73076,4579,96471,88134,6399,100812,92576,7693,102399,94734,8360,111924,104485,12215,108423,102913,17769,109436,105157,24404,94148,90952,29392,65289,63127,23634,52925,51017,19858,32028,30597,11199,16466,15479,4905
2021-11-16,21,16,,32230,27552,30,81119,74838,1915,59582,54485,2744,68263,61673,3474,80631,73167,4894,96717,88228,6847,101020,92679,8278,102547,94832,9014,112115,104593,13012,108566,102996,19532,109580,105221,27150,94218,91025,32026,65339,63179,25075,52977,51047,20753,32060,30618,11709,16481,15486,5084
2021-11-17,21,16,,32568,27628,32,81326,74945,2015,59756,54559,2961,68474,61782,3725,80868,73272,5246,96901,88340,7375,101204,92793,8905,102685,94940,9744,112251,104707,14010,108688,103120,21135,109708,105310,29433,94303,91100,34142,65416,63234,26448,53038,51100,21824,32095,30657,12312,16502,15496,5347
2021-11-18,21,16,,32961,27778,36,81568,75081,2144,59952,54677,3114,68719,61929,3985,81095,73436,5579,97131,88488,7888,101399,92949,9593,102852,95131,10471,112413,104858,15085,108857,103273,23085,109857,105457,32611,94413,91204,36669,65503,63310,28152,53110,51170,23106,32133,30689,13018,16525,15509,5647
2021-11-19,21,16,,33308,27878,39,81766,75196,2325,60139,54769,3333,68928,62059,4276,81318,73579,6011,97317,88665,8542,101560,93091,10363,103013,95283,11309,112552,104999,16182,108980,103365,24571,109950,105561,34363,94490,91292,38442,65558,63375,29307,53146,51212,23885,32173,30718,13428,16535,15535,5870
2021-11-20,21,16,,33480,27906,40,81885,75245,2464,60209,54796,3421,69006,62095,4378,81416,73622,6155,97425,88713,8747,101643,93121,10624,103075,95316,11610,112596,105030,16525,109016,103381,25059,109979,105583,34952,94520,91307,38983,65571,63381,29667,53162,51222,24156,32177,30719,13562,16536,15537,5924
2021-11-21,21,16,,33520,27912,41,81901,75251,2490,60233,54803,3451,69032,62102,4412,81439,73628,6209,97445,88720,8804,101655,93136,10684,103091,95323,11681,112611,105040,16605,109022,103386,25162,109988,105589,35073,94525,91310,39099,65577,63382,29739,53163,51226,24220,32178,30719,13594,16537,15537,5930
2021-11-22,22,16,,33687,27936,41,82046,75279,2574,60355,54831,3545,69139,62147,4527,81553,73665,6416,97553,88769,9049,101747,93180,10970,103176,95355,11997,112664,105089,17068,109094,103418,25963,110038,105626,36182,94567,91341,40032,65600,63397,30278,53186,51241,24609,32188,30726,13793,16541,15539,5996
2021-11-23,22,16,,33867,28023,42,82210,75392,2687,60494,54928,3656,69296,62268,4683,81699,73796,6624,97696,88890,9369,101881,93283,11356,103261,95443,12463,112790,105197,17692,109180,103507,26937,110110,105707,37486,94623,91391,41140,65640,63450,30957,53226,51284,25065,32200,30752,14065,16549,15549,6097
2021-11-24,23,17,,34054,28098,45,82344,75484,2774,60632,55019,3805,69412,62378,4900,81839,73899,6894,97834,88999,9808,101977,93410,11829,103357,95564,13055,112877,105325,18577,109262,103620,28372,110195,105810,39422,94674,91479,42887,65684,63501,32051,53266,51332,25861,32222,30778,14513,16570,15565,6283
2021-11-25,23,17,,34272,28209,47,82490,75667,2881,60758,55168,3968,69559,62567,5102,81969,74081,7161,97963,89192,10240,102070,93570,12332,103449,95734,13798,112966,105508,20022,109357,103789,30114,110273,105945,41485,94744,91580,44651,65734,63591,33153,53318,51383,26670,32245,30818,14943,16596,15588,6499
2021-11-26,23,17,,34486,28357,50,82627,75833,3010,60886,55305,4144,69684,62757,5345,82113,74267,7474,98080,89382,10732,102176,93735,12896,103532,95895,14677,113062,105688,21248,109419,103947,31387,110336,106065,42916,94786,91662,45921,65765,63647,33858,53350,51418,27213,32260,30849,15233,16608,15597,6618
2021-11-27,23,17,,34582,28423,50,82694,75884,3076,60945,55349,4209,69731,62824,5417,82168,74325,7572,98139,89445,10885,102233,93796,13059,103578,95941,15092,113096,105741,21801,109448,103971,31748,110362,106080,43287,94805,91676,46213,65776,63658,34048,53354,51426,27358,32261,30853,15314,16608,15597,6645
2021-11-28,23,17,,34595,28436,50,82703,75889,3084,60955,55356,4222,69737,62830,5427,82175,74329,7579,98146,89457,10901,102239,93805,13092,103583,95952,15143,113100,105746,21871,109450,103975,31803,110364,106082,43319,94809,91676,46240,65776,63659,34060,53354,51426,27369,32261,30853,15319,16608,15597,6649
2021-11-29,23,17,,34755,28608,51,82801,76030,3157,61025,55483,4304,69845,62968,5535,82263,74470,7716,98227,89603,11085,102299,93945,13312,103637,96080,15614,113143,105874,22605,109496,104083,32524,110412,106185,44046,94832,91733,46854,65791,63690,34420,53372,51453,27644,32268,30864,15435,16610,15601,6690
