date,municipality,type,school,unit,confirmed,confirmed.attendee,confirmed.employees,description,source,openstreetmap,geo-longitude,geo-latitude
2020-08-28,Krško,SŠ,ŠC Krško - Sevnica,,6,,6,6 zaposlenih,https://www.delo.si/novice/slovenija/krsko-profesorji-v-karanteni-344535.html,,45.945255,15.48604
2020-09-01,Medvode,OŠ,OŠ Preska,,,,,dva 4. razreda,https://www.24ur.com/novice/korona/koronavirus-slovenija_3.html,https://www.openstreetmap.org/way/331456950,46.133002,14.410409
2020-09-01,Kranj,SŠ,Gimnazija Franceta Prešerna,,,,,en oddelek,https://www.24ur.com/novice/korona/potrdili-novih-primerov-v-karanteni-dva-oddelka-os-koseze.html,https://www.openstreetmap.org/relation/6442455,46.252874,14.351175
2020-09-01,Maribor,SŠ,III. gimnazija,,,,,en oddelek,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/102956939,46.560699,15.641085
2020-09-01,Maribor,Vrtec,Vrtec Rače,,,,,zaposleni,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/399305208,46.45427,15.680207
2020-09-02,Celje,Vrtec,Vrtec Zarja,Ringa raja,,,,5 zaposlenih in 12 otrok,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/relation/5758642,46.238609,15.26692
2020-09-03,Rogaška Slatina,OŠ,I. OŠ Rogaška Slatina,,,,,kuharica,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/374766882,46.230937,15.637547
2020-09-03,Ljubljana,OŠ,OŠ Danile Kumar,,,,,5. razred,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/relation/4834980,46.087114,14.510781
2020-09-03,Sevnica,OŠ,OŠ Sava Kladnika,,,,,razred in razredničarka,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/144115451,45.970878,15.349807
2020-09-04,Braslovče,Vrtec,Vrtec Trnava,,,,,"4 primere okužbe, 23 zaposlenim pa so odredili karanteno oz. samoizolacijo",https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/297975039,46.287351,15.040171
2020-09-04,Braslovče,OŠ,POŠ Trnava,,,,,"3 oddelki, 11 zaposlenih, 9 učencev",https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/385559703,46.256283,15.0715
2020-09-04,Črna na Koroškem,OŠ,OŠ Črna na Koroškem,,,,,"6 otrok, 8 zaposlenih",https://www.vecer.com/po-okuzbi-zaposlenega-na-os-crna-delo-vrtca-in-sole-bo-jutri-potekalo-nemoteno-10217349,https://www.openstreetmap.org/way/454495011,46.468317,14.855608
2020-09-04,Slovenska Bistrica,OŠ,OŠ Antona Ingoliča,,,,,en oddelek,https://www.vecer.com/vceraj-potrdili-25-okuzb-z-novim-koronavirusom-umrl-ni-nihce-10217580,https://www.openstreetmap.org/way/782760251,46.413367,15.636306
2020-09-04,Kranj,OŠ,OŠ Matije Čopa,,,,2,samo delavki,https://www.osmatijecopa.si/files/2020/09/Sporo%C4%8Dilo-za-javnost.pdf,https://www.openstreetmap.org/way/445075731,46.237565,14.368005
2020-09-07,Ljubljana,OŠ,OŠ Koseze,,,,,dva oddelka,https://www.24ur.com/novice/korona/potrdili-novih-primerov-v-karanteni-dva-oddelka-os-koseze.html,https://www.openstreetmap.org/way/248791106,46.074331,14.468674
2020-09-07,Celje,SŠ,Srednja zdravstvena šola,,,,,en oddelek,https://www.vecer.com/vceraj-potrdili-25-okuzb-z-novim-koronavirusom-umrl-ni-nihce-10217580,https://www.openstreetmap.org/way/340875952,46.233563,15.259098
2020-09-07,Hoče - Slivnica,OŠ,OŠ Franca Lešnika - Vuka,,,,,9.b razred,https://www.osflv.si/pomembno-obvestilo/,https://www.openstreetmap.org/way/445757857,46.478082,15.652383
2020-09-08,Celje,SŠ,Ekonomska šola Celje,,,,,en 1. razred,https://www.celje.info/aktualno/celje-vceraj-brez-novih-okuzb-v-karanteni-se-en-razred-celjske-sole/,,46.23326,15.265552
2020-09-08,Ljubljana,OŠ,OŠ Maksa Pečarja,,,,,1. razred,https://twitter.com/RajkaPupovac/status/1303370056164954112,https://www.openstreetmap.org/way/112156965,46.105174,14.533827
2020-09-08,Braslovče,OŠ,OŠ Braslovče,,12,4,8,2 oddelka,https://www.celje.info/aktualno/celje-vceraj-brez-novih-okuzb-v-karanteni-se-en-razred-celjske-sole/,,46.281597,15.041009
2020-09-10,Braslovče,OŠ,OŠ Braslovče,,20,9,11,1 oddelek,https://siol.net/novice/slovenija/v-sredo-do-v-sloveniji-potrdili-77-novih-okuzb-533892,,46.281597,15.041009
2020-09-09,Kranj,OŠ,OŠ Matije Čopa,,2,1,1,nekateri učenci 6.a/b/c,https://www.osmatijecopa.si/files/2020/09/Sporo%C4%8Dilo-za-javnost_8_9_2020.pdf,https://www.openstreetmap.org/way/445075731,46.237565,14.368005
