date,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.administered3rd,vaccination.administered3rd.todate,vaccination.used.todate,vaccination.pfizer.used.todate,vaccination.moderna.used.todate,vaccination.az.used.todate,vaccination.janssen.used.todate,vaccination.novavax.used.todate,vaccination.delivered.todate,vaccination.pfizer.delivered,vaccination.pfizer.delivered.todate,vaccination.moderna.delivered,vaccination.moderna.delivered.todate,vaccination.az.delivered,vaccination.az.delivered.todate,vaccination.janssen.delivered,vaccination.janssen.delivered.todate,vaccination.novavax.delivered,vaccination.novavax.delivered.todate,vaccination.age.0-11.1st.todate,vaccination.age.0-11.2nd.todate,vaccination.age.0-11.3rd.todate,vaccination.age.12-17.1st.todate,vaccination.age.12-17.2nd.todate,vaccination.age.12-17.3rd.todate,vaccination.age.18-24.1st.todate,vaccination.age.18-24.2nd.todate,vaccination.age.18-24.3rd.todate,vaccination.age.25-29.1st.todate,vaccination.age.25-29.2nd.todate,vaccination.age.25-29.3rd.todate,vaccination.age.30-34.1st.todate,vaccination.age.30-34.2nd.todate,vaccination.age.30-34.3rd.todate,vaccination.age.35-39.1st.todate,vaccination.age.35-39.2nd.todate,vaccination.age.35-39.3rd.todate,vaccination.age.40-44.1st.todate,vaccination.age.40-44.2nd.todate,vaccination.age.40-44.3rd.todate,vaccination.age.45-49.1st.todate,vaccination.age.45-49.2nd.todate,vaccination.age.45-49.3rd.todate,vaccination.age.50-54.1st.todate,vaccination.age.50-54.2nd.todate,vaccination.age.50-54.3rd.todate,vaccination.age.55-59.1st.todate,vaccination.age.55-59.2nd.todate,vaccination.age.55-59.3rd.todate,vaccination.age.60-64.1st.todate,vaccination.age.60-64.2nd.todate,vaccination.age.60-64.3rd.todate,vaccination.age.65-69.1st.todate,vaccination.age.65-69.2nd.todate,vaccination.age.65-69.3rd.todate,vaccination.age.70-74.1st.todate,vaccination.age.70-74.2nd.todate,vaccination.age.70-74.3rd.todate,vaccination.age.75-79.1st.todate,vaccination.age.75-79.2nd.todate,vaccination.age.75-79.3rd.todate,vaccination.age.80-84.1st.todate,vaccination.age.80-84.2nd.todate,vaccination.age.80-84.3rd.todate,vaccination.age.85-89.1st.todate,vaccination.age.85-89.2nd.todate,vaccination.age.85-89.3rd.todate,vaccination.age.90+.1st.todate,vaccination.age.90+.2nd.todate,vaccination.age.90+.3rd.todate
2020-12-26,,,,,,,,,,,,,11700,11700,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,6199,6199,,,,,6199,6199,,,,,11700,,11700,,,,,,,,,,,,,,,12,,,34,,,76,,,77,,,108,,,165,,,211,,,299,,,237,,,310,,,389,,,474,,,910,,,1230,,,1667,,
2020-12-28,1686,7885,,,,,7885,7885,,,,,11700,,11700,,,,,,,,,,,,,,,22,,,67,,,125,,,154,,,175,,,269,,,321,,,483,,,329,,,382,,,479,,,573,,,1079,,,1480,,,1947,,
2020-12-29,1326,9211,,,,,9211,9211,,,,,11700,,11700,,,,,,,,,,,,,,,34,,,97,,,179,,,230,,,285,,,378,,,462,,,673,,,465,,,490,,,558,,,630,,,1147,,,1553,,,2030,,
2020-12-30,422,9633,,,,,9633,9633,,,,,19890,8190,19890,,,,,,,,,,,,,,,39,,,118,,,211,,,263,,,331,,,424,,,505,,,729,,,517,,,508,,,573,,,647,,,1166,,,1563,,,2039,,
2020-12-31,1857,11490,,,,,11490,11490,,,,,19890,,19890,,,,,,,,,,,,1,,,54,,,201,,,330,,,448,,,556,,,652,,,792,,,1025,,,703,,,584,,,618,,,676,,,1200,,,1581,,,2069,,
2021-01-01,151,11641,,,,,11641,11641,,,,,19890,,19890,,,,,,,,,,,,1,,,57,,,213,,,344,,,466,,,578,,,669,,,812,,,1047,,,712,,,584,,,618,,,678,,,1201,,,1585,,,2076,,
2021-01-02,404,12045,,,,,12045,12045,,,,,19890,,19890,,,,,,,,,,,,1,,,79,,,252,,,388,,,504,,,628,,,726,,,861,,,1114,,,742,,,591,,,618,,,678,,,1202,,,1585,,,2076,,
2021-01-03,556,12601,1,1,,,12601,12601,,,,,19890,,19890,,,,,,,,,,,,1,,,81,,,301,,,458,,,573,,,692,,,803,1,,915,,,1184,,,777,,,607,,,625,,,684,,,1213,,,1594,,,2093,,
2021-01-04,1091,13692,,1,,,13692,13692,,,,,39780,19890,39780,,,,,,,,,,,,1,,,95,,,353,,,539,,,678,,,797,,,909,1,,1045,,,1360,,,890,,,653,,,656,,,696,,,1242,,,1619,,,2159,,
2021-01-05,2546,16238,,1,,,16238,16238,,,,,39780,,39780,,,,,,,,,,,,2,,,131,,,475,,,726,,,936,,,1059,,,1227,1,,1389,,,1785,,,1149,,,752,,,719,,,738,,,1282,,,1651,,,2217,,
2021-01-06,5392,21630,1,2,,,21631,21631,,,,,39780,,39780,,,,,,,,,,,,4,,,210,,,803,,,1193,,,1486,,,1728,,,1916,1,,2038,,,2658,,,1699,,,952,,,851,,,807,,,1319,,,1704,,,2262,1,
2021-01-07,5477,27107,,2,,,27108,27108,,,,,39780,,39780,,,,,,,,,1,,,4,,,333,,,1190,,,1660,,,1989,,,2355,,,2579,1,,2692,,,3473,,,2241,,,1182,,,987,,,918,,,1401,,,1779,,,2323,1,
2021-01-08,3265,30372,1,3,,,30374,30374,,,,,39780,,39780,,,,,,,,,1,,,5,,,399,,,1443,,,1920,,,2239,,,2690,,,2894,1,,3018,,,3874,,,2536,,,1357,,,1124,,,1032,,,1552,,,1901,,,2387,2,
2021-01-09,254,30626,,3,,,30628,30628,,,,,39780,,39780,,,,,,,,,1,,,5,,,401,,,1455,,,1930,,,2258,,,2713,,,2919,1,,3056,,,3915,,,2576,,,1371,,,1132,,,1032,,,1555,,,1908,,,2399,2,
2021-01-10,1,30627,,3,,,30629,30629,,,,,39780,,39780,,,,,,,,,1,,,5,,,401,,,1455,,,1930,,,2258,,,2713,,,2920,1,,3056,,,3915,,,2576,,,1371,,,1132,,,1032,,,1555,,,1908,,,2399,2,
2021-01-11,484,31111,,3,,,31113,31113,,,,,59670,19890,59670,,,,,,,,,1,,,5,,,417,,,1492,,,1973,,,2315,,,2766,,,2973,1,,3111,,,3965,,,2617,,,1388,,,1141,,,1040,,,1567,,,1929,,,2411,2,
2021-01-12,1883,32994,,3,,,32996,32996,,,,,60870,,59670,1200,1200,,,,,,,1,,,5,,,446,,,1579,,,2033,,,2394,,,2833,,,3084,1,,3210,,,4098,,,2710,,,1447,,,1198,,,1090,,,1924,,,2286,,,2656,2,
2021-01-13,4737,37731,2,5,,,37735,37735,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,498,,,1698,,,2160,,,2555,,,3023,,,3294,1,,3417,,,4370,,,2877,,,1556,,,1293,,,1199,,,3089,,,3420,2,,3276,2,
2021-01-14,6747,44478,1,6,,,44483,44483,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,569,,,1828,,,2312,,,2743,,,3212,,,3528,1,,3653,,,4633,,,3045,,,1670,1,,1408,,,1319,,,4882,,,5365,2,,4305,2,
2021-01-15,4743,49221,148,154,,,49374,49374,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,615,2,,1903,12,,2418,18,,2885,11,,3359,9,,3703,14,,3819,19,,4797,25,,3168,19,,1766,10,,1566,4,,1450,3,,6106,3,,6652,3,,5008,2,
2021-01-16,325,49546,,154,,,49699,49699,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,616,2,,1903,12,,2418,18,,2885,11,,3359,9,,3703,14,,3819,19,,4797,25,,3168,19,,1766,10,,1566,4,,1450,3,,6247,3,,6780,3,,5063,2,
2021-01-17,3,49549,1,155,,,49703,49703,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,616,2,,1903,12,,2418,18,,2885,11,,3359,9,,3703,14,,3819,19,,4797,25,,3168,19,,1766,10,,1568,5,,1450,3,,6248,3,,6780,3,,5063,2,
2021-01-18,43,49592,166,321,,,49912,49912,,,,,70230,9360,69030,,1200,,,,,,,1,,,5,,,616,4,,1906,25,,2423,50,,2890,37,,3367,32,,3709,32,,3825,31,,4803,50,,3168,29,,1766,14,,1568,6,,1450,3,,6249,3,,6783,3,,5063,2,
2021-01-19,544,50136,1647,1968,,,52101,52035,66,,,,70230,,69030,,1200,,,,,,,1,,,5,,,632,10,,1942,36,,2440,73,,2924,72,,3411,76,,3763,99,,3870,119,,4866,134,,3215,87,,1788,71,,1582,88,,1461,119,,6276,213,,6843,308,,5117,463,
2021-01-20,1191,51327,3808,5776,,,57096,56777,319,,,,70230,,69030,,1200,,,,,,,1,,,5,,,648,27,,1977,83,,2489,145,,3001,176,,3487,204,,3866,265,,3958,304,,4965,441,,3274,293,,1819,261,,1609,312,,1502,369,,6448,697,,7034,929,,5244,1270,
2021-01-21,1289,52616,3490,9266,,,61874,61358,516,,,,70230,,69030,,1200,,,,,,,1,,,5,1,,668,46,,2029,152,,2538,270,,3074,363,,3565,450,,3953,529,,4055,660,,5069,825,,3316,568,,1839,464,,1637,506,,1532,536,,6611,942,,7274,1260,,5450,1694,
2021-01-22,1188,53804,996,10262,,,64057,63541,516,,,,70230,,69030,,1200,,,,,,,1,,,5,1,,676,53,,2062,192,,2579,320,,3127,419,,3634,531,,4020,624,,4141,755,,5156,970,,3349,650,,1847,515,,1653,546,,1551,570,,6913,1007,,7537,1337,,5553,1772,
2021-01-23,231,54035,490,10752,,,64778,64262,516,,,,70230,,69030,,1200,,,,,,,1,,,5,1,,680,65,,2068,236,,2584,378,,3131,472,,3644,592,,4025,698,,4148,810,,5164,1055,,3352,689,,1847,523,,1653,546,,1554,570,,7022,1008,,7591,1337,,5566,1772,
2021-01-24,17,54052,135,10887,,,64930,64414,516,,,,70230,,69030,,1200,,,,,,,1,,,5,1,,681,65,,2068,236,,2585,378,,3131,472,,3644,594,,4026,698,,4148,810,,5165,1055,,3353,693,,1849,529,,1655,560,,1556,584,,7024,1032,,7591,1364,,5570,1816,
2021-01-25,3,54055,5,10892,,,64938,64422,516,,,,90120,19890,88920,,1200,,,,,,,1,,,5,1,,681,65,,2068,236,,2585,378,,3131,472,,3644,594,,4027,698,,4148,811,,5165,1055,,3353,693,,1849,529,,1655,561,,1558,584,,7024,1032,,7591,1365,,5570,1818,
2021-01-26,81,54136,1754,12646,,,66773,66257,516,,,,90120,,88920,,1200,,,,,,,1,,,5,2,,688,88,,2077,324,,2591,520,,3135,675,,3652,791,,4028,916,,4149,1027,,5172,1356,,3357,906,,1851,618,,1658,594,,1561,602,,7026,1036,,7600,1369,,5585,1822,
2021-01-27,265,54401,4858,17504,,,71894,71377,517,,,,90120,,88920,,1200,,,,,,,1,,,6,3,,696,167,,2100,640,,2612,920,,3175,1178,,3676,1325,,4047,1529,,4180,1639,,5216,2160,,3377,1408,,1856,806,,1663,707,,1568,665,,7034,1083,,7603,1412,,5591,1862,
2021-01-28,523,54924,5809,23313,,,78219,77701,518,,,,90120,,88920,,1200,,,,,,,1,,,7,3,,718,264,,2127,980,,2654,1367,,3218,1673,,3713,2015,,4086,2252,,4219,2365,,5266,3071,,3401,2013,,1876,1062,,1676,881,,1579,782,,7092,1172,,7654,1492,,5637,1921,
2021-01-29,548,55472,4054,27367,,,82821,82302,519,,,,90120,,88920,,1200,,,,,,,1,,,7,5,,746,354,,2152,1295,,2695,1731,,3265,2036,,3758,2496,,4124,2689,,4257,2795,,5302,3598,,3434,2346,,1890,1231,,1692,1014,,1592,895,,7173,1296,,7718,1604,,5666,1982,
2021-01-30,11,55483,106,27473,,,82938,82419,519,,,,90120,,88920,,1200,,,,,,,1,,,7,5,,746,355,,2152,1296,,2695,1732,,3265,2037,,3758,2501,,4124,2693,,4260,2799,,5302,3611,,3436,2360,,1891,1245,,1692,1028,,1592,900,,7173,1303,,7720,1612,,5669,1996,
2021-01-31,1,55484,2,27475,,,82941,82422,519,,,,92520,,88920,2400,3600,,,,,,,1,,,7,5,,746,355,,2152,1296,,2695,1732,,3265,2037,,3758,2501,,4124,2693,,4260,2799,,5302,3612,,3436,2360,,1891,1245,,1692,1028,,1592,900,,7173,1303,,7721,1613,,5669,1996,
2021-02-01,23,55507,44,27519,,,83008,82489,519,,,,110070,17550,106470,,3600,,,,,,,1,,,7,5,,746,356,,2153,1299,,2695,1737,,3268,2039,,3759,2503,,4126,2695,,4261,2801,,5304,3615,,3437,2371,,1892,1250,,1694,1032,,1593,901,,7175,1303,,7727,1615,,5669,1997,
2021-02-02,19,55526,1100,28619,,,84127,83608,519,,,,110070,,106470,,3600,,,,,,,1,,,7,5,,746,370,,2154,1353,,2696,1774,,3269,2088,,3763,2554,,4127,2784,,4263,2877,,5305,3717,,3438,2458,,1892,1296,,1695,1064,,1595,933,,7177,1487,,7727,1774,,5671,2085,
2021-02-03,185,55711,4674,33293,,,88984,88465,519,,,,110070,,106470,,3600,,,,,,,1,,,7,5,,754,438,,2159,1550,,2705,1957,,3281,2294,,3781,2773,,4139,3031,,4278,3116,,5319,4036,,3450,2654,,1898,1403,,1696,1143,,1598,1014,,7196,2504,,7762,2746,,5687,2629,
2021-02-04,610,56321,6852,40145,,,96443,95524,919,,,,110070,,106470,,3600,,,,,,,1,,,7,5,,758,508,,2176,1686,,2713,2116,,3293,2497,,3802,2989,,4148,3260,,4287,3380,,5328,4336,,3455,2835,,1902,1517,,1698,1267,,1599,1129,,7367,4264,,7956,4687,,5831,3669,
2021-02-05,363,56684,5334,45479,,,102137,101187,950,,,,114870,,106470,4800,8400,,,,,,,1,,,7,5,,775,557,,2190,1791,,2745,2246,,3317,2665,,3821,3176,,4180,3470,,4309,3584,,5359,4553,,3478,2997,,1910,1639,,1706,1444,,1605,1280,,7402,5572,,8012,6074,,5867,4426,
2021-02-06,28,56712,575,46054,,,102740,101790,950,,,,124470,,106470,,8400,9600,9600,,,,,1,,,7,5,,775,557,,2190,1795,,2746,2260,,3317,2671,,3821,3182,,4181,3484,,4309,3594,,5359,4566,,3478,3004,,1910,1652,,1707,1447,,1607,1289,,7417,5812,,8019,6234,,5868,4502,
2021-02-07,,56712,,46054,,,102740,101790,950,,,,124470,,106470,,8400,,9600,,,,,1,,,7,5,,775,557,,2190,1795,,2746,2260,,3317,2671,,3821,3182,,4181,3484,,4309,3594,,5359,4566,,3478,3004,,1910,1652,,1707,1447,,1607,1289,,7417,5812,,8019,6234,,5868,4502,
2021-02-08,399,57111,1,46055,,,103140,101791,1349,,,,124470,,106470,,8400,,9600,,,,,1,,,7,5,,775,557,,2190,1795,,2746,2260,,3317,2671,,3821,3182,,4181,3484,,4309,3594,,5359,4566,,3478,3004,,1910,1652,,1707,1448,,1608,1289,,7581,5812,,8193,6234,,5928,4502,
2021-02-09,88,57199,32,46087,,,103260,101823,1437,,,,142020,17550,124020,,8400,,9600,,,,,1,,,7,5,,775,557,,2193,1795,,2753,2260,,3332,2673,,3836,3183,,4193,3484,,4323,3594,,5366,4566,,3484,3005,,1913,1652,,1712,1448,,1609,1289,,7581,5812,,8193,6244,,5928,4520,
2021-02-10,2494,59693,727,46814,,,106481,103396,2783,302,,,142020,,124020,,8400,,9600,,,,,1,,,7,5,,809,575,,2233,1833,,2804,2299,,3390,2737,,3893,3252,,4259,3572,,4381,3654,,5413,4643,,3519,3053,,1925,1672,,1733,1468,,1647,1306,,8320,5879,,8994,6295,,6365,4571,
2021-02-11,6914,66607,1871,48685,,,115266,110685,3673,908,,,151620,,124020,,8400,9600,19200,,,,,1,,,8,5,,1070,617,,2388,1913,,2907,2383,,3541,2863,,4057,3365,,4408,3731,,4506,3812,,5580,4803,,3626,3140,,1971,1713,,1774,1503,,1714,1351,,10435,6099,,11317,6625,,7304,4762,
2021-02-12,6930,73537,1808,50493,,,124002,118146,3685,2171,,,151620,,124020,,8400,,19200,,,,,1,,,9,5,,1338,645,,2621,1971,,3045,2454,,3701,2963,,4282,3471,,4617,3833,,4726,3925,,5829,4920,,3791,3190,,2047,1745,,1828,1551,,1769,1390,,12524,6486,,13365,7008,,8044,4936,
2021-02-13,711,74248,191,50684,,,124904,118874,3827,2203,,,151620,,124020,,8400,,19200,,,,,1,,,9,5,,1339,648,,2622,1977,,3048,2461,,3703,2970,,4285,3480,,4620,3841,,4729,3929,,5831,4928,,3793,3192,,2048,1745,,1832,1551,,1774,1395,,12840,6578,,13607,7042,,8167,4942,
2021-02-14,17,74265,16,50700,,,124937,118907,3827,2203,,,151620,,124020,,8400,,19200,,,,,1,,,9,5,,1339,648,,2622,1977,,3048,2463,,3703,2970,,4285,3480,,4620,3842,,4730,3929,,5831,4929,,3793,3193,,2048,1747,,1832,1552,,1775,1397,,12844,6580,,13618,7042,,8167,4946,
2021-02-15,76,74341,8,50708,,,125021,118933,3867,2221,,,172680,21060,145080,,8400,,19200,,,,,1,,,9,5,,1339,648,,2622,1979,,3048,2463,,3703,2971,,4286,3481,,4623,3842,,4734,3930,,5832,4930,,3796,3193,,2049,1747,,1833,1552,,1777,1399,,12861,6580,,13653,7042,,8175,4946,
2021-02-16,1055,75396,77,50785,,,126153,119233,4074,2846,,,172680,,145080,,8400,,19200,,,,,1,,,9,5,,1548,649,,2675,1986,,3067,2464,,3738,2977,,4328,3489,,4678,3848,,4787,3940,,5893,4945,,3854,3203,,2071,1755,,1843,1555,,1780,1399,,13089,6581,,13796,7042,,8239,4947,
2021-02-17,4948,80344,632,51417,,,131731,123924,4373,3434,,,172680,,145080,,8400,,19200,,,,,1,,,9,5,,1769,657,,2761,2014,,3113,2488,,3782,3027,,4379,3526,,4726,3882,,4857,3980,,5957,5005,,3909,3235,,2104,1767,,1866,1564,,2026,1419,,15361,6685,,15046,7137,,8678,5026,
2021-02-18,8332,88676,770,52187,,,140832,131710,4569,4553,,,189480,,145080,,8400,16800,36000,,,,,1,,,9,7,,1792,699,,2815,2042,,3186,2530,,3859,3071,,4473,3567,,4824,3914,,4968,4019,,6115,5037,,4153,3261,,2267,1782,,1942,1577,,2534,1433,,19252,6814,,17136,7281,,9350,5153,
2021-02-19,6176,94852,608,52795,,,147616,137122,4569,5925,,,189480,,145080,,8400,,36000,,,,,1,,,9,7,,1836,714,,2863,2085,,3269,2581,,3977,3119,,4615,3627,,4967,3971,,5130,4088,,6362,5115,,4518,3306,,2506,1793,,2005,1591,,3079,1447,,21638,6853,,18346,7311,,9731,5187,
2021-02-20,2525,97377,18,52813,,,150159,139355,4569,6235,,,189480,,145080,,8400,,36000,,,,,1,,,9,7,,1846,714,,2883,2085,,3294,2583,,4013,3120,,4656,3629,,4992,3971,,5174,4088,,6409,5116,,4584,3306,,2549,1793,,2026,1591,,3862,1448,,22475,6856,,18733,7316,,9871,5190,
2021-02-21,,97377,1,52814,,,150160,139356,4569,6235,,,189480,,145080,,8400,,36000,,,,,1,,,9,7,,1846,714,,2883,2086,,3294,2583,,4013,3120,,4656,3629,,4992,3971,,5174,4088,,6409,5116,,4584,3306,,2549,1793,,2026,1591,,3862,1448,,22475,6856,,18733,7316,,9871,5190,
2021-02-22,475,97852,4,52818,,,150639,139361,4569,6709,,,211710,22230,167310,,8400,,36000,,,,,1,,,9,7,,1856,714,,2897,2086,,3312,2583,,4037,3121,,4683,3630,,5030,3971,,5212,4088,,6500,5116,,4685,3306,,2604,1793,,2043,1592,,3868,1448,,22485,6857,,18747,7316,,9883,5190,
2021-02-23,1524,99376,12,52830,,,152175,140059,4807,7309,,,211710,,167310,,8400,,36000,,,,,1,,,9,7,,1861,714,,2909,2086,,3325,2585,,4058,3122,,4721,3630,,5075,3972,,5270,4089,,6584,5117,,4806,3307,,2644,1794,,2076,1593,,4281,1450,,22890,6857,,18911,7316,,9955,5191,
2021-02-24,6821,106197,190,53020,,,159186,146217,4884,8085,,,211710,,167310,,8400,,36000,,,,,1,,,9,7,,1871,715,,2924,2090,,3341,2593,,4090,3133,,4755,3643,,5111,3981,,5322,4106,,6670,5131,,5118,3316,,2719,1802,,2211,1596,,5819,1459,,25750,6881,,20053,7345,,10433,5222,
2021-02-25,10803,117000,191,53211,,,170179,154855,4884,10440,,,236910,,167310,8400,16800,16800,52800,,,,,1,,,9,7,,1938,722,,2978,2097,,3404,2606,,4178,3151,,4865,3660,,5270,4002,,5522,4121,,7058,5149,,5730,3322,,3038,1811,,2666,1604,,9403,1461,,29106,6897,,20997,7366,,10837,5235,
2021-02-26,7265,124265,549,53760,,,177993,159842,4884,13267,,,236910,,167310,,16800,,52800,,,,,1,,,19,7,,2014,745,,3049,2129,,3488,2648,,4291,3189,,5009,3712,,5450,4048,,5772,4156,,7494,5199,,6585,3362,,3480,1821,,2973,1610,,11692,1470,,30495,6967,,21416,7433,,11037,5264,
2021-02-27,920,125185,11,53771,,,178924,160040,4884,14000,,,236910,,167310,,16800,,52800,,,,,1,,,19,7,,2017,747,,3051,2130,,3499,2649,,4299,3189,,5023,3712,,5476,4049,,5832,4156,,7592,5200,,6889,3362,,3649,1821,,3010,1610,,11759,1472,,30595,6969,,21434,7433,,11040,5265,
2021-02-28,,125185,,53771,,,178924,160040,4884,14000,,,236910,,167310,,16800,,52800,,,,,1,,,19,7,,2017,747,,3051,2130,,3499,2649,,4299,3189,,5023,3712,,5476,4049,,5832,4156,,7592,5200,,6889,3362,,3649,1821,,3010,1610,,11759,1472,,30595,6969,,21434,7433,,11040,5265,
2021-03-01,1139,126324,,53771,,,180063,160043,4885,15135,,,256800,19890,187200,,16800,,52800,,,,,1,,,19,7,,2021,747,,3056,2130,,3506,2649,,4316,3189,,5048,3712,,5507,4049,,5892,4156,,7718,5200,,7393,3362,,3877,1821,,3069,1610,,11779,1472,,30611,6969,,21451,7433,,11060,5265,
2021-03-02,2180,128504,10,53781,,,182253,160241,5116,16896,,,256800,,187200,,16800,,52800,,,,,1,,,19,7,,2099,747,,3113,2130,,3529,2649,,4351,3189,,5107,3712,,5595,4050,,6000,4157,,7944,5201,,7968,3364,,4145,1821,,3143,1610,,12061,1472,,30771,6972,,21525,7435,,11133,5265,
2021-03-03,6582,135086,903,54684,,,189737,163727,6439,19571,,,256800,,187200,,16800,,52800,,,,,1,,,19,7,,2153,757,,3177,2152,,3583,2665,,4428,3213,,5237,3736,,5769,4070,,6325,4178,,8396,5230,,8729,3377,,4611,1827,,3540,1616,,14480,1485,,31618,7283,,21763,7701,,11257,5387,
2021-03-04,6736,141822,4666,59350,,,201136,171197,7501,22438,,,278400,,187200,,16800,21600,74400,,,,,1,,,19,7,,2224,780,,3250,2198,,3666,2722,,4530,3302,,5378,3822,,5964,4154,,6622,4245,,8966,5330,,9534,3430,,5033,1863,,3751,1656,,16843,1539,,32543,8848,,22086,9374,,11412,6080,
2021-03-05,4599,146421,5780,65130,,,211514,178762,8645,24107,,,278400,,187200,,16800,,74400,,,,,1,,,20,8,,2268,817,,3293,2267,,3707,2788,,4600,3377,,5482,3910,,6077,4234,,6767,4324,,9326,5426,,9939,3486,,5326,1885,,4007,1680,,18492,1575,,33232,10990,,22329,11489,,11555,6874,
2021-03-06,1364,147785,596,65726,,,213473,179557,9080,24836,,,278400,,187200,,16800,,74400,,,,,1,,,20,8,,2274,818,,3309,2268,,3725,2791,,4622,3379,,5520,3913,,6150,4239,,6857,4328,,9446,5428,,10174,3488,,5450,1886,,4026,1682,,18903,1578,,33388,11249,,22356,11692,,11564,6979,
2021-03-07,2,147787,,65726,,,213475,179557,9080,24838,,,278400,,187200,,16800,,74400,,,,,1,,,20,8,,2274,818,,3309,2268,,3725,2791,,4622,3379,,5520,3913,,6151,4239,,6858,4328,,9446,5428,,10174,3488,,5450,1886,,4026,1682,,18903,1578,,33388,11249,,22356,11692,,11564,6979,
2021-03-08,1411,149198,396,66122,,,215282,179562,9638,26082,,,298290,19890,207090,,16800,,74400,,,,,1,,,20,8,,2287,818,,3324,2268,,3756,2792,,4661,3379,,5579,3913,,6239,4239,,6987,4329,,9651,5428,,10557,3489,,5657,1886,,4102,1682,,19002,1580,,33423,11409,,22367,11866,,11585,7036,
2021-03-09,3694,152892,500,66622,,,219475,180014,9945,29516,,,298290,,207090,,16800,,74400,,,,,1,,,20,8,,2301,821,,3349,2275,,3821,2801,,4753,3396,,5740,3930,,6447,4257,,7208,4348,,9958,5445,,12079,3497,,6340,1891,,4167,1688,,19236,1626,,33454,11597,,22405,11967,,11613,7075,
2021-03-10,4793,157685,4976,71598,,,229243,184294,11238,33711,,,298290,,207090,,16800,,74400,,,,,1,,,20,8,,2330,833,,3415,2281,,3921,2822,,4930,3416,,6031,3956,,6819,4272,,7636,4375,,10593,5470,,13457,3521,,6909,1901,,4324,1725,,19432,1850,,33648,13848,,22524,13569,,11695,7751,
2021-03-11,6270,163955,7933,79531,,,243443,192591,11868,38984,,,312690,,207090,,16800,14400,88800,,,,,1,,,20,8,,2414,837,,3518,2285,,4058,2837,,5177,3429,,6416,3968,,7323,4289,,8360,4382,,11526,5490,,14881,3537,,7455,1926,,4468,1762,,19842,2339,,33943,18012,,22714,15923,,11839,8507,
2021-03-12,8484,172439,5182,84713,,,257105,198534,11868,46703,,,324690,,207090,12000,28800,,88800,,,,,1,,,20,8,,2498,865,,3733,2331,,4358,2890,,5632,3488,,7223,4014,,8287,4330,,9604,4445,,13224,5574,,16287,3586,,7822,1960,,4629,1797,,20112,2830,,34207,20490,,22850,17218,,11952,8887,
2021-03-13,6444,178883,2261,86974,,,265810,201075,12002,52733,,,324690,,207090,,28800,,88800,,,,,1,,,22,8,,2564,868,,3880,2338,,4625,2893,,6022,3496,,7873,4021,,9089,4333,,10355,4452,,14240,5584,,17373,3606,,8390,1974,,5011,1808,,20358,3592,,34268,21337,,22860,17628,,11952,9036,
2021-03-14,1,178884,,86974,,,265811,201076,12002,52733,,,324690,,207090,,28800,,88800,,,,,1,,,23,8,,2564,868,,3880,2338,,4625,2893,,6022,3496,,7873,4021,,9089,4333,,10355,4452,,14240,5584,,17373,3606,,8390,1974,,5011,1808,,20358,3592,,34268,21337,,22860,17628,,11952,9036,
2021-03-15,1342,180226,293,87267,,,267446,201077,12600,53769,,,344580,19890,226980,,28800,,88800,,,,,1,,,23,8,,2573,868,,3898,2338,,4645,2893,,6069,3497,,7951,4021,,9175,4333,,10483,4452,,14436,5584,,17669,3606,,8494,1974,,5101,1808,,20517,3592,,34338,21406,,22891,17802,,11962,9085,
2021-03-16,279,180505,785,88052,,,268510,201688,13053,53769,,,344580,,226980,,28800,,88800,,,,,1,,,23,8,,2573,868,,3898,2338,,4645,2893,,6070,3497,,7952,4023,,9176,4333,,10485,4452,,14438,5584,,17676,3606,,8498,1975,,5109,1811,,20659,3866,,34407,21762,,22922,17913,,11973,9123,
2021-03-17,452,180957,5714,93766,,,274676,207824,13083,53769,,,344580,,226980,,28800,,88800,,,,,1,,,23,8,,2574,871,,3898,2342,,4650,2900,,6073,3500,,7957,4027,,9179,4337,,10488,4456,,14446,5594,,17685,3614,,8510,1984,,5171,1957,,20806,5522,,34496,24292,,22981,18871,,12019,9491,
2021-03-18,1679,182636,8438,102204,,,284791,216926,14096,53769,,,344580,,226980,,28800,,88800,,,,,1,,,24,8,,2577,872,,3901,2347,,4652,2907,,6075,3510,,7960,4036,,9183,4352,,10494,4470,,14456,5607,,17696,3624,,8532,2003,,5307,2255,,21709,8828,,34900,27712,,23092,19822,,12077,9851,
2021-03-19,2982,185618,4531,106735,,,292300,222327,15448,54525,,,349380,,226980,,28800,4800,93600,,,,,1,,,25,17,,2583,907,,3925,2356,,4689,2923,,6118,3537,,8038,4053,,9291,4385,,10616,4498,,14605,5648,,17813,3643,,8624,2029,,5555,2418,,22779,10983,,35464,29133,,23336,20229,,12156,9976,
