date,hospital.bed.total,hospital.bed.max,hospital.bed.occupied,hospital.bed.free,hospital.bed.max.free,hospital.icu.occupied,hospital.icu.free,hospital.icu.total,hospital.icu.total.max,hospital.vent.occupied,hospital.vent.free,hospital.vent.total,hospital.vent.total.max,hospital.ukclj.bed.total,hospital.ukclj.bed.max,hospital.ukclj.bed.occupied,hospital.ukclj.bed.free,hospital.ukclj.bed.max.free,hospital.ukclj.icu.occupied,hospital.ukclj.icu.free,hospital.ukclj.icu.total,hospital.ukclj.icu.total.max,hospital.ukclj.vent.occupied,hospital.ukclj.vent.free,hospital.ukclj.vent.total,hospital.ukclj.vent.total.max,hospital.ukcmb.bed.total,hospital.ukcmb.bed.max,hospital.ukcmb.bed.occupied,hospital.ukcmb.bed.free,hospital.ukcmb.bed.max.free,hospital.ukcmb.icu.occupied,hospital.ukcmb.icu.free,hospital.ukcmb.icu.total,hospital.ukcmb.icu.total.max,hospital.ukcmb.vent.occupied,hospital.ukcmb.vent.free,hospital.ukcmb.vent.total,hospital.ukcmb.vent.total.max,hospital.ukg.bed.total,hospital.ukg.bed.max,hospital.ukg.bed.occupied,hospital.ukg.bed.free,hospital.ukg.bed.max.free,hospital.ukg.icu.occupied,hospital.ukg.icu.free,hospital.ukg.icu.total,hospital.ukg.icu.total.max,hospital.ukg.vent.occupied,hospital.ukg.vent.free,hospital.ukg.vent.total,hospital.ukg.vent.total.max,hospital.sbce.bed.total,hospital.sbce.bed.max,hospital.sbce.bed.occupied,hospital.sbce.bed.free,hospital.sbce.bed.max.free,hospital.sbce.icu.occupied,hospital.sbce.icu.free,hospital.sbce.icu.total,hospital.sbce.icu.total.max,hospital.sbce.vent.occupied,hospital.sbce.vent.free,hospital.sbce.vent.total,hospital.sbce.vent.total.max,hospital.sbnm.bed.total,hospital.sbnm.bed.max,hospital.sbnm.bed.occupied,hospital.sbnm.bed.free,hospital.sbnm.bed.max.free,hospital.sbnm.icu.occupied,hospital.sbnm.icu.free,hospital.sbnm.icu.total,hospital.sbnm.icu.total.max,hospital.sbnm.vent.occupied,hospital.sbnm.vent.free,hospital.sbnm.vent.total,hospital.sbnm.vent.total.max
2020-03-23,0,0,0,0,0,10,66,76,0,10,0,10,0,,,,0,0,8,20,28,,8,,8,,,,,0,0,2,8,10,,2,,2,,,,,0,0,0,10,10,,0,,0,,,,,0,0,0,11,11,,0,,0,,,,,0,0,0,17,17,,0,,0,
2020-03-24,0,0,0,0,0,10,75,85,0,10,0,10,0,,,,0,0,8,28,36,,8,,8,,,,,0,0,2,5,7,,2,,2,,,,,0,0,0,14,14,,0,,0,,,,,0,0,0,11,11,,0,,0,,,,,0,0,0,17,17,,0,,0,
2020-03-25,0,0,0,0,0,14,71,85,0,13,0,13,0,,,,0,0,10,26,36,,9,,9,,,,,0,0,3,4,7,,3,,3,,,,,0,0,0,14,14,,0,,0,,,,,0,0,1,10,11,,1,,1,,,,,0,0,0,17,17,,0,,0,
2020-03-26,0,0,0,0,0,16,69,85,0,15,0,15,0,,,,0,0,10,26,36,,9,,9,,,,,0,0,4,3,7,,4,,4,,,,,0,0,1,13,14,,1,,1,,,,,0,0,1,10,11,,1,,1,,,,,0,0,0,17,17,,0,,0,
2020-03-27,0,0,0,0,0,22,63,85,0,20,0,20,0,,,,0,0,12,24,36,,10,,10,,,,,0,0,6,1,7,,6,,6,,,,,0,0,2,12,14,,2,,2,,,,,0,0,2,9,11,,2,,2,,,,,0,0,0,17,17,,0,,0,
2020-03-28,392,625,77,315,548,23,69,92,0,20,0,20,0,270,300,32,238,268,12,24,36,,10,,10,,40,60,23,17,37,7,7,14,,6,,6,,22,65,11,11,54,2,12,14,,2,,2,,35,135,11,24,124,2,9,11,,2,,2,,25,65,0,25,65,0,17,17,,0,,0,
2020-03-29,392,626,77,315,549,23,75,98,0,20,0,20,0,270,300,32,238,268,12,25,37,,10,,10,,40,60,23,17,37,7,12,19,,6,,6,,22,65,11,11,54,2,12,14,,2,,2,,35,135,11,24,124,2,9,11,,2,,2,,25,66,0,25,66,0,17,17,,0,,0,
