id,region,iso_code,name,population,1st.todate,1st.share.todate,2nd.todate,2nd.share.todate
rače-fram,mb,SI-098,Rače - Fram,7549,1363,0.18055371572393694,695,0.09206517419525766
radeče,kk,SI-099,Radeče,4142,1184,0.2858522452921294,553,0.13351038145823274
radenci,ms,SI-100,Radenci,5132,1071,0.20869056897895558,522,0.10171473109898675
radlje_ob_dravi,sg,SI-101,Radlje ob Dravi,6178,1152,0.18646811265781807,613,0.09922304953059242
radovljica,kr,SI-102,Radovljica,19034,4190,0.22013239466218346,2397,0.12593254176736365
ravne_na_koroškem,sg,SI-103,Ravne na Koroškem,11343,3030,0.26712509918011107,1726,0.1521643304240501
razkrižje,ms,SI-176,Razkrižje,1296,179,0.1381172839506173,100,0.07716049382716049
rečica_ob_savinji,ce,SI-209,Rečica ob Savinji,2369,507,0.21401435204727734,192,0.08104685521317011
renče-vogrsko,ng,SI-201,Renče - Vogrsko,4361,907,0.2079798211419399,376,0.08621875716578767
ribnica,nm,SI-104,Ribnica,9619,2303,0.23942197733652146,939,0.09761929514502547
ribnica_na_pohorju,sg,SI-177,Ribnica na Pohorju,1127,216,0.19165927240461403,103,0.09139307897071872
rogaška_slatina,ce,SI-106,Rogaška Slatina,11210,2005,0.17885816235504015,1107,0.09875111507582515
rogašovci,ms,SI-105,Rogašovci,3046,425,0.13952724885095208,197,0.06467498358502954
rogatec,ce,SI-107,Rogatec,3105,500,0.1610305958132045,262,0.08438003220611916
ruše,mb,SI-108,Ruše,7002,1378,0.1968009140245644,711,0.10154241645244216
selnica_ob_dravi,mb,SI-178,Selnica ob Dravi,4579,878,0.1917449224721555,418,0.0912863070539419
semič,nm,SI-109,Semič,3885,754,0.1940797940797941,240,0.06177606177606178
sevnica,kk,SI-110,Sevnica,17729,3754,0.21174347114896497,1789,0.10090811664504484
sežana,kp,SI-111,Sežana,13702,2291,0.16720186834038828,1330,0.09706612173405342
slovenj_gradec,sg,SI-112,Slovenj Gradec,16609,3794,0.22843036907700645,1866,0.11234872659401529
slovenska_bistrica,mb,SI-113,Slovenska Bistrica,25890,4685,0.1809578988026265,2067,0.079837775202781
slovenske_konjice,ce,SI-114,Slovenske Konjice,15161,2337,0.15414550491392387,1187,0.0782929885891432
sodražica,nm,SI-179,Sodražica,2215,556,0.2510158013544018,245,0.11060948081264109
