date,deceased.0-4.todate,deceased.5-14.todate,deceased.15-24.todate,deceased.25-34.todate,deceased.35-44.todate,deceased.45-54.todate,deceased.55-64.todate,deceased.65-74.todate,deceased.75-84.todate,deceased.85+.todate,deceased.todate,deceased.female.0-4.todate,deceased.female.5-14.todate,deceased.female.15-24.todate,deceased.female.25-34.todate,deceased.female.35-44.todate,deceased.female.45-54.todate,deceased.female.55-64.todate,deceased.female.65-74.todate,deceased.female.75-84.todate,deceased.female.85+.todate,deceased.female.todate,deceased.male.0-4.todate,deceased.male.5-14.todate,deceased.male.15-24.todate,deceased.male.25-34.todate,deceased.male.35-44.todate,deceased.male.45-54.todate,deceased.male.55-64.todate,deceased.male.65-74.todate,deceased.male.75-84.todate,deceased.male.85+.todate,deceased.male.todate
2021-01-16,,,,2,16,36,127,451,1136,1722,3490,,,,1,7,13,32,153,548,1123,1877,,,,1,9,23,95,298,588,599,1613
2021-01-17,,,,2,16,37,129,456,1147,1734,3521,,,,1,7,13,33,155,550,1130,1889,,,,1,9,24,96,301,597,604,1632
2021-01-18,,,,2,16,38,130,462,1156,1745,3549,,,,1,7,13,33,156,551,1139,1900,,,,1,9,25,97,306,605,606,1649
2021-01-19,,,,2,16,38,132,467,1162,1757,3574,,,,1,7,13,33,158,553,1149,1914,,,,1,9,25,99,309,609,608,1660
2021-01-20,,,,2,16,38,134,473,1172,1768,3603,,,,1,7,13,33,160,556,1154,1924,,,,1,9,25,101,313,616,614,1679
2021-01-21,,,,2,16,38,134,480,1181,1776,3627,,,,1,7,13,33,163,560,1158,1935,,,,1,9,25,101,317,621,618,1692
2021-01-22,,,,2,16,39,134,485,1189,1789,3654,,,,1,7,13,33,164,564,1166,1948,,,,1,9,26,101,321,625,623,1706
2021-01-23,,,,2,16,39,135,493,1198,1801,3684,,,,1,7,13,33,169,567,1173,1963,,,,1,9,26,102,324,631,628,1721
2021-01-24,,,,2,16,39,136,497,1204,1814,3708,,,,1,7,13,33,171,569,1178,1972,,,,1,9,26,103,326,635,636,1736
2021-01-25,,,,2,16,39,137,500,1213,1824,3731,,,,1,7,13,33,171,573,1187,1985,,,,1,9,26,104,329,640,637,1746
2021-01-26,,,,2,16,39,139,507,1220,1832,3755,,,,1,7,13,34,174,578,1193,2000,,,,1,9,26,105,333,642,639,1755
2021-01-27,,,,2,16,39,139,509,1227,1839,3771,,,,1,7,13,34,175,582,1197,2009,,,,1,9,26,105,334,645,642,1762
2021-01-28,,,,2,16,39,140,513,1236,1851,3797,,,,1,7,13,34,175,587,1208,2025,,,,1,9,26,106,338,649,643,1772
2021-01-29,,,,2,16,39,142,516,1243,1861,3819,,,,1,7,13,34,175,591,1212,2033,,,,1,9,26,108,341,652,649,1786
2021-01-30,,,,2,16,39,142,520,1246,1871,3836,,,,1,7,13,34,176,592,1219,2042,,,,1,9,26,108,344,654,652,1794
2021-01-31,,,,2,18,40,144,522,1252,1879,3857,,,,1,9,14,35,176,594,1224,2053,,,,1,9,26,109,346,658,655,1804
2021-02-01,,,,2,18,40,144,526,1260,1883,3873,,,,1,9,14,35,177,600,1226,2062,,,,1,9,26,109,349,660,657,1811
2021-02-02,,,,2,18,41,146,532,1268,1890,3897,,,,1,9,14,35,178,603,1229,2069,,,,1,9,27,111,354,665,661,1828
2021-02-03,,,,2,18,41,150,536,1276,1899,3922,,,,1,9,14,36,179,605,1233,2077,,,,1,9,27,114,357,671,666,1845
2021-02-04,,,,2,18,41,152,538,1285,1901,3937,,,,1,9,14,36,181,610,1234,2085,,,,1,9,27,116,357,675,667,1852
2021-02-05,,,,2,18,42,153,543,1288,1904,3950,,,,1,9,15,36,184,610,1237,2092,,,,1,9,27,117,359,678,667,1858
2021-02-06,,,,2,18,42,153,546,1294,1912,3967,,,,1,9,15,36,187,612,1240,2100,,,,1,9,27,117,359,682,672,1867
2021-02-07,,,,2,18,42,154,546,1295,1918,3975,,,,1,9,15,36,187,612,1242,2102,,,,1,9,27,118,359,683,676,1873
2021-02-08,,,,2,18,42,154,548,1304,1925,3993,,,,1,9,15,36,187,616,1244,2108,,,,1,9,27,118,361,688,681,1885
2021-02-09,,,,2,18,42,154,551,1308,1930,4005,,,,1,9,15,36,187,619,1248,2115,,,,1,9,27,118,364,689,682,1890
2021-02-10,,,,2,18,42,154,554,1312,1933,4015,,,,1,9,15,36,187,621,1249,2118,,,,1,9,27,118,367,691,684,1897
2021-02-11,,,,2,18,42,155,557,1318,1939,4031,,,,1,9,15,37,189,623,1251,2125,,,,1,9,27,118,368,695,688,1906
2021-02-12,,,,2,18,42,158,558,1323,1945,4046,,,,1,9,15,39,189,626,1255,2134,,,,1,9,27,119,369,697,690,1912
2021-02-13,,,,2,18,42,158,559,1327,1949,4055,,,,1,9,15,39,189,628,1257,2138,,,,1,9,27,119,370,699,692,1917
2021-02-14,,,,2,18,43,160,560,1331,1951,4065,,,,1,9,15,40,189,629,1257,2140,,,,1,9,28,120,371,702,694,1925
2021-02-15,,,,2,18,43,160,562,1331,1955,4071,,,,1,9,15,40,189,629,1259,2142,,,,1,9,28,120,373,702,696,1929
2021-02-16,,,,2,19,44,160,562,1334,1956,4077,,,,1,10,16,40,189,629,1259,2144,,,,1,9,28,120,373,705,697,1933
2021-02-17,,,,2,20,44,161,564,1336,1958,4085,,,,1,10,16,40,189,629,1261,2146,,,,1,10,28,121,375,707,697,1939
2021-02-18,,,,2,20,44,162,565,1338,1959,4090,,,,1,10,16,41,189,629,1262,2148,,,,1,10,28,121,376,709,697,1942
2021-02-19,,,,2,20,44,162,567,1339,1963,4097,,,,1,10,16,41,189,629,1265,2151,,,,1,10,28,121,378,710,698,1946
2021-02-20,,,,2,20,44,162,567,1340,1966,4101,,,,1,10,16,41,189,630,1266,2153,,,,1,10,28,121,378,710,700,1948
2021-02-21,,,,2,20,44,162,568,1343,1967,4106,,,,1,10,16,41,189,630,1267,2154,,,,1,10,28,121,379,713,700,1952
2021-02-22,,,,2,20,44,162,570,1345,1969,4112,,,,1,10,16,41,191,632,1268,2159,,,,1,10,28,121,379,713,701,1953
2021-02-23,,,,2,20,45,163,571,1347,1974,4122,,,,1,10,16,41,191,632,1271,2162,,,,1,10,29,122,380,715,703,1960
2021-02-24,,,,2,20,45,163,573,1350,1976,4129,,,,1,10,16,41,191,633,1271,2163,,,,1,10,29,122,382,717,705,1966
2021-02-25,,,,2,20,45,163,578,1353,1980,4141,,,,1,10,16,41,192,633,1272,2165,,,,1,10,29,122,386,720,708,1976
2021-02-26,,,,2,20,45,163,580,1357,1984,4151,,,,1,10,16,41,192,633,1273,2166,,,,1,10,29,122,388,724,711,1985
2021-02-27,,,,2,20,45,163,580,1362,1989,4161,,,,1,10,16,41,192,636,1277,2173,,,,1,10,29,122,388,726,712,1988
2021-02-28,,,,2,20,45,163,585,1367,1990,4172,,,,1,10,16,41,193,638,1278,2177,,,,1,10,29,122,392,729,712,1995
2021-03-01,,,,2,20,45,163,586,1369,1993,4178,,,,1,10,16,41,193,639,1280,2180,,,,1,10,29,122,393,730,713,1998
2021-03-02,,,,2,20,45,163,587,1371,1997,4185,,,,1,10,16,41,193,640,1283,2184,,,,1,10,29,122,394,731,714,2001
2021-03-03,,,,2,20,46,163,590,1373,2000,4194,,,,1,10,16,41,193,640,1284,2185,,,,1,10,30,122,397,733,716,2009
2021-03-04,,,,2,20,46,164,592,1374,2003,4201,,,,1,10,16,42,194,641,1287,2191,,,,1,10,30,122,398,733,716,2010
2021-03-05,,,,2,20,46,164,592,1374,2005,4203,,,,1,10,16,42,194,641,1288,2192,,,,1,10,30,122,398,733,717,2011
2021-03-06,,,,2,20,46,164,594,1374,2007,4207,,,,1,10,16,42,194,641,1289,2193,,,,1,10,30,122,400,733,718,2014
2021-03-07,,,,2,20,46,164,594,1377,2007,4210,,,,1,10,16,42,194,643,1289,2195,,,,1,10,30,122,400,734,718,2015
2021-03-08,,,,2,20,46,164,595,1380,2010,4217,,,,1,10,16,42,195,643,1291,2198,,,,1,10,30,122,400,737,719,2019
2021-03-09,,,,2,20,47,164,596,1383,2012,4224,,,,1,10,17,42,196,644,1292,2202,,,,1,10,30,122,400,739,720,2022
2021-03-10,,,,2,20,47,164,599,1387,2017,4236,,,,1,10,17,42,197,644,1293,2204,,,,1,10,30,122,402,743,724,2032
2021-03-11,,,,2,20,47,164,601,1390,2019,4243,,,,1,10,17,42,198,645,1293,2206,,,,1,10,30,122,403,745,726,2037
2021-03-12,,,,2,20,48,164,602,1392,2020,4248,,,,1,10,17,42,198,645,1293,2206,,,,1,10,31,122,404,747,727,2042
2021-03-13,,,,2,20,48,164,602,1395,2021,4252,,,,1,10,17,42,198,646,1294,2208,,,,1,10,31,122,404,749,727,2044
2021-03-14,,,,2,20,48,164,604,1396,2022,4256,,,,1,10,17,42,199,646,1294,2209,,,,1,10,31,122,405,750,728,2047
2021-03-15,,,,2,20,48,164,605,1397,2024,4260,,,,1,10,17,42,199,646,1296,2211,,,,1,10,31,122,406,751,728,2049
2021-03-16,,,,2,20,48,166,606,1399,2027,4268,,,,1,10,17,43,199,647,1297,2214,,,,1,10,31,123,407,752,730,2054
2021-03-17,,,,2,20,48,166,607,1400,2028,4271,,,,1,10,17,43,200,647,1297,2215,,,,1,10,31,123,407,753,731,2056
2021-03-18,,,,2,20,48,168,608,1404,2031,4281,,,,1,10,17,44,201,648,1300,2221,,,,1,10,31,124,407,756,731,2060
2021-03-19,,,,2,20,48,170,608,1409,2034,4291,,,,1,10,17,44,201,651,1301,2225,,,,1,10,31,126,407,758,733,2066
2021-03-20,,,,2,20,48,171,609,1410,2037,4297,,,,1,10,17,44,201,651,1301,2225,,,,1,10,31,127,408,759,736,2072
2021-03-21,,,1,2,20,48,171,612,1412,2039,4305,,,,1,10,17,44,201,652,1302,2227,,,1,1,10,31,127,411,760,737,2078
2021-03-22,,,1,2,20,48,171,612,1414,2045,4313,,,,1,10,17,44,201,653,1305,2231,,,1,1,10,31,127,411,761,740,2082
2021-03-23,,,1,2,20,48,172,613,1421,2047,4324,,,,1,10,17,44,201,653,1305,2231,,,1,1,10,31,128,412,768,742,2093
2021-03-24,,,1,2,20,48,173,614,1424,2048,4330,,,,1,10,17,44,201,655,1305,2233,,,1,1,10,31,129,413,769,743,2097
2021-03-25,,,1,2,20,48,173,615,1428,2052,4339,,,,1,10,17,44,201,656,1308,2237,,,1,1,10,31,129,414,772,744,2102
2021-03-26,,,1,2,20,48,173,616,1429,2056,4345,,,,1,10,17,44,201,657,1309,2239,,,1,1,10,31,129,415,772,747,2106
2021-03-27,,,1,2,20,48,175,617,1432,2056,4351,,,,1,10,17,44,201,657,1309,2239,,,1,1,10,31,131,416,775,747,2112
2021-03-28,,,1,2,20,48,176,619,1434,2057,4357,,,,1,10,17,44,201,658,1310,2241,,,1,1,10,31,132,418,776,747,2116
2021-03-29,,,1,2,20,48,176,622,1441,2058,4368,,,,1,10,17,44,201,665,1310,2248,,,1,1,10,31,132,421,776,748,2120
2021-03-30,,,1,2,20,48,178,625,1445,2061,4380,,,,1,10,17,45,201,666,1310,2250,,,1,1,10,31,133,424,779,751,2130
2021-03-31,,,1,2,20,48,178,627,1448,2063,4387,,,,1,10,17,45,202,667,1312,2254,,,1,1,10,31,133,425,781,751,2133
2021-04-01,,,1,2,21,48,178,632,1450,2066,4398,,,,1,10,17,45,204,668,1313,2258,,,1,1,11,31,133,428,782,753,2140
2021-04-02,,,1,2,21,49,178,633,1451,2069,4404,,,,1,10,17,45,205,668,1316,2262,,,1,1,11,32,133,428,783,753,2142
2021-04-03,,,1,2,21,49,179,637,1454,2070,4413,,,,1,10,17,45,206,670,1316,2265,,,1,1,11,32,134,431,784,754,2148
2021-04-04,,,1,2,21,49,179,638,1457,2071,4418,,,,1,10,17,45,206,671,1316,2266,,,1,1,11,32,134,432,786,755,2152
2021-04-05,,,1,2,21,49,179,641,1459,2074,4426,,,,1,10,17,45,207,672,1318,2270,,,1,1,11,32,134,434,787,756,2156
2021-04-06,,,1,2,22,49,179,643,1461,2075,4432,,,,1,10,17,45,208,672,1319,2272,,,1,1,12,32,134,435,789,756,2160
2021-04-07,,,1,2,22,49,180,644,1463,2076,4437,,,,1,10,17,45,208,673,1319,2273,,,1,1,12,32,135,436,790,757,2164
2021-04-08,,,1,2,22,50,180,645,1463,2077,4440,,,,1,10,17,45,208,673,1320,2274,,,1,1,12,33,135,437,790,757,2166
2021-04-09,,,1,2,22,50,182,646,1467,2082,4452,,,,1,10,17,46,208,674,1324,2280,,,1,1,12,33,136,438,793,758,2172
2021-04-10,,,1,2,22,50,182,648,1468,2083,4456,,,,1,10,17,46,209,674,1324,2281,,,1,1,12,33,136,439,794,759,2175
2021-04-11,,,1,2,22,50,183,650,1470,2083,4461,,,,1,10,17,47,210,674,1324,2283,,,1,1,12,33,136,440,796,759,2178
2021-04-12,,,1,2,22,50,184,650,1473,2086,4468,,,,1,10,17,47,210,675,1327,2287,,,1,1,12,33,137,440,798,759,2181
2021-04-13,,,1,2,22,50,184,650,1474,2091,4474,,,,1,10,17,47,210,675,1332,2292,,,1,1,12,33,137,440,799,759,2182
2021-04-14,,,1,2,22,51,184,652,1474,2092,4478,,,,1,10,18,47,211,675,1333,2295,,,1,1,12,33,137,441,799,759,2183
2021-04-15,,,1,2,22,52,185,652,1477,2096,4487,,,,1,10,18,47,211,677,1337,2301,,,1,1,12,34,138,441,800,759,2186
2021-04-16,,,1,2,22,52,187,652,1480,2098,4494,,,,1,10,18,47,211,679,1339,2305,,,1,1,12,34,140,441,801,759,2189
2021-04-17,,,1,2,22,53,187,652,1480,2101,4498,,,,1,10,18,47,211,679,1342,2308,,,1,1,12,35,140,441,801,759,2190
2021-04-18,,,1,2,22,53,189,652,1484,2104,4507,,,,1,10,18,47,211,680,1344,2311,,,1,1,12,35,142,441,804,760,2196
2021-04-19,,,1,2,22,53,189,656,1484,2108,4515,,,,1,10,18,47,213,680,1346,2315,,,1,1,12,35,142,443,804,762,2200
2021-04-20,,,1,2,22,53,190,657,1485,2110,4520,,,,1,10,18,47,213,680,1346,2315,,,1,1,12,35,143,444,805,764,2205
2021-04-21,,,1,2,22,53,190,662,1491,2113,4534,,,,1,10,18,47,214,684,1346,2320,,,1,1,12,35,143,448,807,767,2214
2021-04-22,,,1,2,22,53,190,663,1492,2113,4536,,,,1,10,18,47,215,685,1346,2322,,,1,1,12,35,143,448,807,767,2214
2021-04-23,,,1,2,22,53,190,664,1495,2118,4545,,,,1,10,18,47,215,687,1351,2329,,,1,1,12,35,143,449,808,767,2216
2021-04-24,,,1,2,22,54,191,666,1497,2119,4552,,,,1,10,18,48,216,689,1352,2334,,,1,1,12,36,143,450,808,767,2218
2021-04-25,,,1,2,22,56,191,669,1498,2122,4561,,,,1,10,19,48,216,690,1353,2337,,,1,1,12,37,143,453,808,769,2224
2021-04-26,,,1,2,22,56,192,669,1498,2123,4563,,,,1,10,19,49,216,690,1354,2339,,,1,1,12,37,143,453,808,769,2224
2021-04-27,,,1,2,22,56,193,672,1499,2130,4575,,,,1,10,19,50,216,691,1357,2344,,,1,1,12,37,143,456,808,773,2231
2021-04-28,,,1,2,22,56,194,676,1501,2132,4584,,,,1,10,19,51,218,693,1359,2351,,,1,1,12,37,143,458,808,773,2233
2021-04-29,,,1,2,22,56,196,678,1505,2132,4592,,,,1,10,19,52,220,695,1359,2356,,,1,1,12,37,144,458,810,773,2236
2021-04-30,,,1,2,22,56,197,681,1508,2134,4601,,,,1,10,19,52,220,695,1360,2357,,,1,1,12,37,145,461,813,774,2244
2021-05-01,,,1,2,22,56,198,683,1509,2134,4605,,,,1,10,19,52,220,696,1360,2358,,,1,1,12,37,146,463,813,774,2247
2021-05-02,,,1,2,22,56,199,687,1510,2136,4613,,,,1,10,19,52,224,696,1362,2364,,,1,1,12,37,147,463,814,774,2249
2021-05-03,,,1,2,22,56,199,688,1512,2136,4616,,,,1,10,19,52,224,696,1362,2364,,,1,1,12,37,147,464,816,774,2252
2021-05-04,,,1,2,22,57,200,690,1515,2138,4625,,,,1,10,19,52,224,696,1363,2365,,,1,1,12,38,148,466,819,775,2260
2021-05-05,,,1,2,22,57,200,692,1515,2138,4627,,,,1,10,19,52,225,696,1363,2366,,,1,1,12,38,148,467,819,775,2261
2021-05-06,,,1,2,22,58,200,692,1516,2138,4629,,,,1,10,19,52,225,697,1363,2367,,,1,1,12,39,148,467,819,775,2262
2021-05-07,,,1,2,22,58,200,692,1516,2138,4629,,,,1,10,19,52,225,697,1363,2367,,,1,1,12,39,148,467,819,775,2262
2021-05-08,,,1,2,22,58,201,693,1519,2140,4636,,,,1,10,19,52,226,699,1363,2370,,,1,1,12,39,149,467,820,777,2266
2021-05-09,,,1,2,22,58,202,693,1524,2141,4643,,,,1,10,19,52,226,702,1364,2374,,,1,1,12,39,150,467,822,777,2269
2021-05-10,,,1,2,22,58,203,693,1524,2142,4645,,,,1,10,19,52,226,702,1365,2375,,,1,1,12,39,151,467,822,777,2270
2021-05-11,,,1,2,22,58,204,695,1525,2143,4650,,,,1,10,19,53,227,702,1366,2378,,,1,1,12,39,151,468,823,777,2272
2021-05-12,,,1,2,23,58,204,696,1526,2145,4655,,,,1,10,19,53,227,702,1368,2380,,,1,1,13,39,151,469,824,777,2275
2021-05-13,,,1,2,23,58,204,697,1529,2148,4662,,,,1,10,19,53,228,704,1369,2384,,,1,1,13,39,151,469,825,779,2278
2021-05-14,,,1,2,23,58,204,697,1529,2150,4664,,,,1,10,19,53,228,704,1369,2384,,,1,1,13,39,151,469,825,781,2280
2021-05-15,,,1,2,23,58,204,698,1530,2151,4667,,,,1,10,19,53,228,704,1370,2385,,,1,1,13,39,151,470,826,781,2282
2021-05-16,,,1,2,23,58,206,698,1532,2152,4672,,,,1,10,19,53,228,705,1371,2387,,,1,1,13,39,153,470,827,781,2285
2021-05-17,,,1,2,23,58,206,700,1533,2153,4676,,,,1,10,19,53,228,705,1372,2388,,,1,1,13,39,153,472,828,781,2288
2021-05-18,,,1,2,23,59,206,700,1533,2156,4680,,,,1,10,20,53,228,705,1374,2391,,,1,1,13,39,153,472,828,782,2289
2021-05-19,,,1,2,23,59,206,701,1534,2159,4685,,,,1,10,20,53,228,706,1376,2394,,,1,1,13,39,153,473,828,783,2291
2021-05-20,,,1,2,23,59,206,703,1534,2159,4687,,,,1,10,20,53,230,706,1376,2396,,,1,1,13,39,153,473,828,783,2291
2021-05-21,,,1,2,23,59,206,703,1535,2160,4689,,,,1,10,20,53,230,706,1377,2397,,,1,1,13,39,153,473,829,783,2292
2021-05-22,,,1,2,23,59,206,703,1535,2161,4690,,,,1,10,20,53,230,706,1377,2397,,,1,1,13,39,153,473,829,784,2293
2021-05-23,,,1,2,23,59,206,703,1535,2163,4692,,,,1,10,20,53,230,706,1379,2399,,,1,1,13,39,153,473,829,784,2293
2021-05-24,,,1,2,23,59,206,703,1535,2164,4693,,,,1,10,20,53,230,706,1380,2400,,,1,1,13,39,153,473,829,784,2293
2021-05-25,,,1,2,23,59,206,704,1535,2166,4696,,,,1,10,20,53,231,706,1381,2402,,,1,1,13,39,153,473,829,785,2294
2021-05-26,,,1,2,23,59,206,704,1536,2166,4697,,,,1,10,20,53,231,707,1381,2403,,,1,1,13,39,153,473,829,785,2294
2021-05-27,,,1,2,23,59,207,705,1537,2166,4700,,,,1,10,20,53,232,707,1381,2404,,,1,1,13,39,154,473,830,785,2296
2021-05-28,,,1,2,23,59,208,705,1538,2167,4703,,,,1,10,20,53,232,707,1382,2405,,,1,1,13,39,155,473,831,785,2298
2021-05-29,,,1,2,23,60,208,705,1539,2168,4706,,,,1,10,20,53,232,707,1382,2405,,,1,1,13,40,155,473,832,786,2301
2021-05-30,,,1,2,23,60,208,705,1540,2169,4708,,,,1,10,20,53,232,707,1382,2405,,,1,1,13,40,155,473,833,787,2303
2021-05-31,,,1,2,23,60,208,706,1540,2169,4709,,,,1,10,20,53,232,707,1382,2405,,,1,1,13,40,155,474,833,787,2304
2021-06-01,,,1,2,23,60,208,707,1542,2169,4712,,,,1,10,20,53,232,707,1382,2405,,,1,1,13,40,155,475,835,787,2307
2021-06-02,,,1,2,23,60,210,707,1542,2169,4714,,,,1,10,20,54,232,707,1382,2406,,,1,1,13,40,156,475,835,787,2308
2021-06-03,,,1,2,23,60,211,708,1543,2169,4717,,,,1,10,20,55,232,707,1382,2407,,,1,1,13,40,156,476,836,787,2310
2021-06-04,,,1,2,23,60,211,708,1543,2170,4718,,,,1,10,20,55,232,707,1383,2408,,,1,1,13,40,156,476,836,787,2310
2021-06-05,,,1,3,23,60,211,708,1544,2170,4720,,,,1,10,20,55,232,708,1383,2409,,,1,2,13,40,156,476,836,787,2311
2021-06-06,,,1,3,23,60,212,708,1544,2171,4722,,,,1,10,20,55,232,708,1383,2409,,,1,2,13,40,157,476,836,788,2313
2021-06-07,,,1,3,23,60,212,709,1544,2173,4725,,,,1,10,20,55,232,708,1385,2411,,,1,2,13,40,157,477,836,788,2314
2021-06-08,,,1,3,23,60,212,709,1544,2173,4725,,,,1,10,20,55,232,708,1385,2411,,,1,2,13,40,157,477,836,788,2314
2021-06-09,,,1,3,23,60,213,711,1544,2173,4728,,,,1,10,20,55,232,708,1385,2411,,,1,2,13,40,158,479,836,788,2317
2021-06-10,,,1,3,23,60,213,711,1545,2175,4731,,,,1,10,20,55,232,708,1386,2412,,,1,2,13,40,158,479,837,789,2319
2021-06-11,,,1,3,23,61,213,712,1545,2176,4734,,,,1,10,20,55,233,708,1387,2414,,,1,2,13,41,158,479,837,789,2320
2021-06-12,,,1,3,23,61,214,712,1549,2176,4739,,,,1,10,20,55,233,711,1387,2417,,,1,2,13,41,159,479,838,789,2322
2021-06-13,,,1,3,23,62,214,712,1551,2176,4742,,,,1,10,21,55,233,713,1387,2420,,,1,2,13,41,159,479,838,789,2322
2021-06-14,,,1,3,23,62,215,713,1551,2177,4745,,,,1,10,21,55,233,713,1387,2420,,,1,2,13,41,160,480,838,790,2325
2021-06-15,,,1,3,23,62,215,714,1551,2177,4746,,,,1,10,21,55,233,713,1387,2420,,,1,2,13,41,160,481,838,790,2326
2021-06-16,,,1,3,23,62,215,714,1551,2177,4746,,,,1,10,21,55,233,713,1387,2420,,,1,2,13,41,160,481,838,790,2326
2021-06-17,,,1,3,23,62,215,714,1551,2178,4747,,,,1,10,21,55,233,713,1388,2421,,,1,2,13,41,160,481,838,790,2326
2021-06-18,,,1,3,23,62,215,714,1551,2178,4747,,,,1,10,21,55,233,713,1388,2421,,,1,2,13,41,160,481,838,790,2326
2021-06-19,,,1,3,23,62,215,714,1552,2179,4749,,,,1,10,21,55,233,713,1389,2422,,,1,2,13,41,160,481,839,790,2327
2021-06-20,,,1,3,23,62,215,714,1553,2180,4751,,,,1,10,21,55,233,713,1389,2422,,,1,2,13,41,160,481,840,791,2329
2021-06-21,,,1,3,23,62,215,714,1555,2180,4753,,,,1,10,21,55,233,715,1389,2424,,,1,2,13,41,160,481,840,791,2329
2021-06-22,,,1,3,23,62,215,714,1555,2180,4753,,,,1,10,21,55,233,715,1389,2424,,,1,2,13,41,160,481,840,791,2329
2021-06-23,,,1,3,23,62,215,715,1555,2180,4754,,,,1,10,21,55,233,715,1389,2424,,,1,2,13,41,160,482,840,791,2330
2021-06-24,,,1,3,23,62,216,715,1555,2180,4755,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,482,840,791,2330
2021-06-25,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-06-26,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-06-27,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-06-28,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-06-29,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-06-30,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-07-01,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-07-02,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-07-03,,,1,3,23,62,216,716,1555,2181,4757,,,,1,10,21,56,233,715,1389,2425,,,1,2,13,41,160,483,840,792,2332
2021-07-04,,,1,3,23,62,216,717,1555,2181,4758,,,,1,10,21,56,234,715,1389,2426,,,1,2,13,41,160,483,840,792,2332
2021-07-05,,,1,4,23,62,216,717,1555,2181,4759,,,,1,10,21,56,234,715,1389,2426,,,1,3,13,41,160,483,840,792,2333
2021-07-06,,,1,4,23,62,216,718,1556,2182,4762,,,,1,10,21,56,234,715,1389,2426,,,1,3,13,41,160,484,841,793,2336
2021-07-07,,,1,4,23,62,216,718,1556,2182,4762,,,,1,10,21,56,234,715,1389,2426,,,1,3,13,41,160,484,841,793,2336
2021-07-08,,,1,4,23,62,216,718,1557,2183,4764,,,,1,10,21,56,234,715,1390,2427,,,1,3,13,41,160,484,842,793,2337
2021-07-09,,,1,4,23,62,216,718,1557,2183,4764,,,,1,10,21,56,234,715,1390,2427,,,1,3,13,41,160,484,842,793,2337
2021-07-10,,,1,4,23,62,216,718,1557,2183,4764,,,,1,10,21,56,234,715,1390,2427,,,1,3,13,41,160,484,842,793,2337
2021-07-11,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-12,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-13,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-14,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-15,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-16,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-17,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-18,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-19,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-20,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-21,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-22,,,1,4,23,62,216,718,1557,2184,4765,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,41,160,484,842,793,2337
2021-07-23,,,1,4,23,63,216,718,1557,2184,4766,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,42,160,484,842,793,2338
2021-07-24,,,1,4,23,63,216,718,1557,2184,4766,,,,1,10,21,56,234,715,1391,2428,,,1,3,13,42,160,484,842,793,2338
