year,month,deceased
2006,02,1450
2006,03,1648
2006,04,1532
2006,05,1489
2006,06,1570
2006,07,1518
2006,08,1423
2006,09,1361
2006,10,1544
2006,11,1488
2006,12,1532
2007,01,1673
2007,02,1601
2007,03,1656
2007,04,1483
2007,05,1507
2007,06,1474
2007,07,1530
2007,08,1385
2007,09,1459
2007,10,1575
2007,11,1563
2007,12,1678
2008,01,1769
2008,02,1478
2008,03,1564
2008,04,1480
2008,05,1497
2008,06,1488
2008,07,1445
2008,08,1485
2008,09,1465
2008,10,1543
2008,11,1452
2008,12,1642
2009,01,1937
2009,02,1578
2009,03,1693
2009,04,1536
2009,05,1456
2009,06,1453
2009,07,1454
2009,08,1448
2009,09,1415
2009,10,1591
2009,11,1587
2009,12,1602
2010,01,1633
2011,01,1890
2012,01,1806
2013,01,1941
2014,01,1747
2015,01,2014
2016,01,2024
2017,01,2513
2018,01,1908
2019,01,2198
2020,01,2036
2010,02,1641
2011,02,1658
2012,02,1894
2013,02,1823
2014,02,1708
2015,02,1852
2016,02,1830
2017,02,2065
2018,02,1936
2019,02,2014
2020,02,1954
2010,03,1683
2011,03,1772
2012,03,2079
2013,03,1910
2014,03,1858
2015,03,1988
2016,03,1899
2017,03,1854
2018,03,2100
2019,03,1942
2020,03,1926
2010,04,1655
2011,04,1610
2012,04,1664
2013,04,1747
2014,04,1632
2015,04,1860
2016,04,1672
2017,04,1660
2018,04,1779
2019,04,1704
2020,04,1806
2010,05,1617
2011,05,1572
2012,05,1599
2013,05,1536
2014,05,1557
2015,05,1566
2016,05,1645
2017,05,1676
2018,05,1647
2019,05,1709
2020,05,1637
2010,06,1574
2011,06,1494
2012,06,1513
2013,06,1647
2014,06,1534
2015,06,1503
2016,06,1534
2017,06,1529
2018,06,1547
2019,06,1538
2020,06,1660
2010,07,1639
2011,07,1538
2012,07,1595
2013,07,1597
2014,07,1625
2015,07,1746
2016,07,1596
2017,07,1601
2018,07,1619
2019,07,1645
2020,07,1627
2010,08,1490
2011,08,1618
2012,08,1557
2013,08,1556
2014,08,1529
2015,08,1601
2016,08,1583
2017,08,1620
2018,08,1700
2019,08,1673
2020,08,1673
2010,09,1622
2011,09,1513
2012,09,1487
2013,09,1567
2014,09,1540
2015,09,1446
2016,09,1576
2017,09,1579
2018,09,1658
2019,09,1590
2020,09,1720
2010,10,1675
2011,10,1662
2012,10,1673
2013,10,1641
2014,10,1721
2015,10,1772
2016,10,1756
2017,10,1716
2018,10,1762
2019,10,1687
2020,10,2112
2010,11,1588
2011,11,1615
2012,11,1636
2013,11,1528
2014,11,1611
2015,11,1672
2016,11,1636
2017,11,1723
2018,11,1687
2019,11,1677
2020,11,2257
2010,12,1751
2011,12,1774
2012,12,1747
2013,12,1765
2014,12,1743
2015,12,1746
2016,12,1819
2017,12,1828
2018,12,1917
2019,12,1935
