sewage.date,sewage.station,sewage.genome,sewage.ratio,sewage.region
2022-09-26,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.9986,kk
2022-09-26,CČN Brežice,Drugo,0.0014,kk
2022-09-26,CČN Litija in Šmartno pri Litiji,BA.2.75* [Omikron (BA.2.75.X)],0.0142,za
2022-09-26,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.7207,za
2022-09-26,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.0503,za
2022-09-26,CČN Litija in Šmartno pri Litiji,Drugo,0.0027,za
2022-09-26,CČN Litija in Šmartno pri Litiji,Omikron,0.211,za
2022-09-26,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9808,sg
2022-09-26,CČN Slovenj Gradec,Drugo,0.0014,sg
2022-09-26,CČN Slovenj Gradec,Omikron,0.0169,sg
2022-09-26,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.9958,za
2022-09-26,CČN Trbovlje,Drugo,0.0016,za
2022-09-26,CČN Trbovlje,Omikron,0.0026,za
2022-09-26,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.9761,za
2022-09-26,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.0091,za
2022-09-26,CČN Zagorje,Drugo,0.0017,za
2022-09-26,CČN Zagorje,Omikron,0.0129,za
2022-09-26,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.982,ce
2022-09-26,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.018,ce
2022-09-26,ČN Celje,BA.2.75* [Omikron (BA.2.75.X)],0.0145,ce
2022-09-26,ČN Celje,BA.5* [Omikron (BA.5.X)],0.9564,ce
2022-09-26,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.0185,ce
2022-09-26,ČN Celje,Drugo,0.0017,ce
2022-09-26,ČN Celje,Omikron,0.0071,ce
2022-09-26,ČN Koper,BA.5* [Omikron (BA.5.X)],0.9981,kp
2022-09-26,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.0017,kp
2022-10-02,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.0024,lj
2022-10-02,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.9643,lj
2022-10-02,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.0079,lj
2022-10-02,CČN Ljubljana,Omikron,0.021,lj
2022-10-02,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.9317,lj
2022-10-02,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.0555,lj
2022-10-02,ČN Domžale Kamnik,Drugo,0.0015,lj
2022-10-02,ČN Domžale Kamnik,Omikron,0.0089,lj
2022-10-02,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.001,kr
2022-10-02,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.995,ng
2022-10-02,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.0014,ng
2022-10-02,ČN Nova Gorica,Drugo,0.0012,ng
2022-10-03,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.9986,kk
2022-10-03,CČN Brežice,Drugo,0.0014,kk
2022-10-03,CČN Litija in Šmartno pri Litiji,BA.2.75* [Omikron (BA.2.75.X)],0.0142,za
2022-10-03,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.7262,za
2022-10-03,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.0469,za
2022-10-03,CČN Litija in Šmartno pri Litiji,Drugo,0.0028,za
2022-10-03,CČN Litija in Šmartno pri Litiji,Omikron,0.209,za
2022-10-03,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9802,sg
2022-10-03,CČN Slovenj Gradec,Drugo,0.0014,sg
2022-10-03,CČN Slovenj Gradec,Omikron,0.0181,sg
2022-10-03,CČN Trbovlje,BA.2.75* [Omikron (BA.2.75.X)],0.0143,za
2022-10-03,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.9568,za
2022-10-03,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.0182,za
2022-10-03,CČN Trbovlje,Drugo,0.0016,za
2022-10-03,CČN Trbovlje,Omikron,0.0092,za
2022-10-03,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.986,za
2022-10-03,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.0087,za
2022-10-03,CČN Zagorje,Drugo,0.0014,za
2022-10-03,CČN Zagorje,Omikron,0.0037,za
2022-10-03,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.9834,ce
2022-10-03,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.0093,ce
2022-10-03,OČN Šaleške doline,Omikron,0.0051,ce
2022-10-03,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.9983,mb
2022-10-03,ČN Maribor,Drugo,0.0015,mb
2022-10-03,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.9956,nm
2022-10-03,ČN Novo mesto,Drugo,0.0029,nm
2022-10-09,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.986,lj
2022-10-09,CČN Ljubljana,Drugo,0.0022,lj
2022-10-09,CČN Ljubljana,Omikron,0.0106,lj
2022-10-09,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.9933,po
2022-10-09,CČN Postojna,Drugo,0.0015,po
2022-10-09,CČN Postojna,Omikron,0.0027,po
2022-10-09,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.9924,lj
2022-10-09,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.0029,lj
2022-10-09,ČN Domžale Kamnik,Drugo,0.004,lj
2022-10-09,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.9977,mb
2022-10-09,ČN Maribor,Drugo,0.0023,mb
2022-10-10,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.9907,za
2022-10-10,CČN Trbovlje,Drugo,0.0019,za
2022-10-10,CČN Trbovlje,Omikron,0.0069,za
2022-10-10,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.9535,za
2022-10-10,CČN Zagorje,Drugo,0.001,za
2022-10-10,CČN Zagorje,Omikron,0.0429,za
2022-10-10,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.9758,ce
2022-10-10,OČN Šaleške doline,Drugo,0.0024,ce
2022-10-10,OČN Šaleške doline,Omikron,0.0178,ce
2022-10-10,ČN Nova Gorica,BA.2.75* [Omikron (BA.2.75.X)],0.0013,ng
2022-10-10,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.964,ng
2022-10-10,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.0219,ng
2022-10-10,ČN Nova Gorica,Drugo,0.0011,ng
2022-10-10,ČN Nova Gorica,Omikron,0.01,ng
2022-10-16,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.9674,lj
2022-10-16,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.005,lj
2022-10-16,CČN Ljubljana,Omikron,0.0276,lj
2022-10-16,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.9621,ms
2022-10-16,CČN Murska Sobota,Omikron,0.0379,ms
2022-10-16,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.9714,lj
2022-10-16,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.0036,lj
2022-10-16,ČN Domžale Kamnik,Drugo,0.004,lj
2022-10-16,ČN Domžale Kamnik,Omikron,0.021,lj
2022-10-16,ČN Koper,BA.5* [Omikron (BA.5.X)],0.9759,kp
2022-10-16,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.0084,kp
2022-10-16,ČN Koper,Drugo,0.0032,kp
2022-10-16,ČN Koper,Omikron,0.0108,kp
2022-10-16,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.9725,kr
2022-10-16,ČN Kranj,Drugo,0.0039,kr
2022-10-16,ČN Kranj,Omikron,0.0236,kr
2022-10-16,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.9698,mb
2022-10-16,ČN Maribor,Drugo,0.0036,mb
2022-10-16,ČN Maribor,Omikron,0.0259,mb
2022-10-16,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.9674,ng
2022-10-16,ČN Nova Gorica,Drugo,0.0024,ng
2022-10-16,ČN Nova Gorica,Omikron,0.0296,ng
2022-10-17,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.9889,kk
2022-10-17,CČN Brežice,Drugo,0.0029,kk
2022-10-17,CČN Brežice,Omikron,0.0082,kk
2022-10-17,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9739,sg
2022-10-17,CČN Slovenj Gradec,Drugo,0.0026,sg
2022-10-17,CČN Slovenj Gradec,Omikron,0.0234,sg
2022-10-17,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.9587,za
2022-10-17,CČN Trbovlje,Drugo,0.0059,za
2022-10-17,CČN Trbovlje,Omikron,0.0349,za
2022-10-17,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.9758,za
2022-10-17,CČN Zagorje,Drugo,0.0035,za
2022-10-17,CČN Zagorje,Omikron,0.0197,za
2022-10-17,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.9759,ce
2022-10-17,OČN Šaleške doline,Drugo,0.0085,ce
2022-10-17,OČN Šaleške doline,Omikron,0.0152,ce
2022-10-17,ČN Celje,BA.5* [Omikron (BA.5.X)],0.9772,ce
2022-10-17,ČN Celje,Omikron,0.0228,ce
2022-10-17,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.9619,nm
2022-10-17,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.0307,nm
2022-10-17,ČN Novo mesto,Drugo,0.0018,nm
2022-10-17,ČN Novo mesto,Omikron,0.0047,nm
2022-10-23,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.001,lj
2022-10-23,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.9895,ms
2022-10-23,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.0067,ms
2022-10-23,CČN Murska Sobota,Drugo,0.0038,ms
2022-10-23,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.9952,po
2022-10-23,CČN Postojna,Drugo,0.0028,po
2022-10-23,CČN Postojna,Omikron,0.0013,po
2022-10-23,ČN Domžale Kamnik,BA.2.75* [Omikron (BA.2.75.X)],0.0054,lj
2022-10-23,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.9806,lj
2022-10-23,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.0087,lj
2022-10-23,ČN Domžale Kamnik,Drugo,0.0025,lj
2022-10-23,ČN Koper,BA.5* [Omikron (BA.5.X)],0.9971,kp
2022-10-23,ČN Koper,Drugo,0.0014,kp
2022-10-23,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.781,kr
2022-10-23,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.0168,kr
2022-10-23,ČN Kranj,Drugo,0.0018,kr
2022-10-23,ČN Kranj,Omikron,0.1967,kr
2022-10-23,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.9698,mb
2022-10-23,ČN Maribor,Omikron,0.0294,mb
2022-10-23,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.9358,ng
2022-10-23,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.0405,ng
2022-10-23,ČN Nova Gorica,Drugo,0.0023,ng
2022-10-23,ČN Nova Gorica,Omikron,0.0203,ng
2022-10-24,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.9968,kk
2022-10-24,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.0017,kk
2022-10-24,CČN Brežice,Drugo,0.0015,kk
2022-10-24,CČN Trbovlje,BA.2.75* [Omikron (BA.2.75.X)],0.0432,za
2022-10-24,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.8001,za
2022-10-24,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.0317,za
2022-10-24,CČN Trbovlje,Drugo,0.001,za
2022-10-24,CČN Trbovlje,Omikron,0.1218,za
2022-10-24,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.9948,za
2022-10-24,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.0013,za
2022-10-24,CČN Zagorje,Drugo,0.0015,za
2022-10-24,CČN Zagorje,Omikron,0.0021,za
2022-10-24,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.9926,ce
2022-10-24,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.0016,ce
2022-10-24,OČN Šaleške doline,Omikron,0.002,ce
2022-10-24,ČN Celje,BA.5* [Omikron (BA.5.X)],0.9179,ce
2022-10-24,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.0756,ce
2022-10-24,ČN Celje,Drugo,0.0032,ce
2022-10-24,ČN Celje,Omikron,0.0011,ce
2022-10-24,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.9591,nm
2022-10-24,ČN Novo mesto,Drugo,0.0028,nm
2022-10-24,ČN Novo mesto,Omikron,0.0369,nm
2022-11-01,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.9838,lj
2022-11-01,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.0053,lj
2022-11-01,CČN Ljubljana,Drugo,0.0012,lj
2022-11-01,CČN Ljubljana,Omikron,0.0094,lj
2022-11-02,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.9962,za
2022-11-02,CČN Litija in Šmartno pri Litiji,Drugo,0.0032,za
2022-11-02,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.9821,ms
2022-11-02,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.0179,ms
2022-11-02,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.6738,za
2022-11-02,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.0352,za
2022-11-02,CČN Trbovlje,Drugo,0.0052,za
2022-11-02,CČN Trbovlje,Omikron,0.2857,za
2022-11-06,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.001,po
2022-11-06,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.9851,kr
2022-11-06,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.0074,kr
2022-11-06,ČN Kranj,Omikron,0.0075,kr
2022-11-06,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.9933,ng
2022-11-06,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.0047,ng
2022-11-06,ČN Nova Gorica,Omikron,0.002,ng
2022-11-07,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.9888,za
2022-11-07,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.0037,za
2022-11-07,CČN Litija in Šmartno pri Litiji,Drugo,0.0057,za
2022-11-07,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9504,sg
2022-11-07,CČN Slovenj Gradec,Drugo,0.0031,sg
2022-11-07,CČN Slovenj Gradec,Omikron,0.0442,sg
2022-11-07,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.8492,za
2022-11-07,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.1127,za
2022-11-07,CČN Trbovlje,Drugo,0.0036,za
2022-11-07,CČN Trbovlje,Omikron,0.0345,za
2022-11-07,ČN Celje,BA.5* [Omikron (BA.5.X)],0.001,ce
2022-11-13,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.0204,lj
2022-11-13,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.9639,lj
2022-11-13,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.0125,lj
2022-11-13,CČN Ljubljana,Omikron,0.0023,lj
2022-11-13,ČN Domžale Kamnik,BA.2.75* [Omikron (BA.2.75.X)],0.0055,lj
2022-11-13,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.9042,lj
2022-11-13,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.0457,lj
2022-11-13,ČN Domžale Kamnik,Drugo,0.0036,lj
2022-11-13,ČN Domžale Kamnik,Omikron,0.0396,lj
