sewage.date,sewage.station,sewage.genome,sewage.ratio,sewage.region
2022-11-27,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.1623,lj
2022-11-27,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.2419,lj
2022-11-27,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.4896,lj
2022-11-27,CČN Ljubljana,Drugo,0.0021,lj
2022-11-27,CČN Ljubljana,Omikron,0.1041,lj
2022-11-27,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.2428,po
2022-11-27,CČN Postojna,BQ.1* [Omikron (BQ.1.X)],0.7115,po
2022-11-27,CČN Postojna,Omikron,0.0457,po
2022-11-27,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.4682,lj
2022-11-27,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.5318,lj
2022-11-27,ČN Koper,BA.2.75* [Omikron (BA.2.75.X)],0.134,kp
2022-11-27,ČN Koper,BA.5* [Omikron (BA.5.X)],0.4239,kp
2022-11-27,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.4364,kp
2022-11-27,ČN Koper,Drugo,0.0036,kp
2022-11-27,ČN Koper,Omikron,0.0022,kp
2022-11-27,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.9833,kr
2022-11-27,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.0101,kr
2022-11-27,ČN Maribor,BA.2.75* [Omikron (BA.2.75.X)],0.1594,mb
2022-11-27,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.6177,mb
2022-11-27,ČN Maribor,BQ.1* [Omikron (BQ.1.X)],0.0095,mb
2022-11-27,ČN Maribor,Omikron,0.2134,mb
2022-11-28,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.8332,za
2022-11-28,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.1176,za
2022-11-28,CČN Litija in Šmartno pri Litiji,Drugo,0.0022,za
2022-11-28,CČN Litija in Šmartno pri Litiji,Omikron,0.0469,za
2022-11-28,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.6,sg
2022-11-28,CČN Slovenj Gradec,BQ.1* [Omikron (BQ.1.X)],0.4,sg
2022-11-28,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.484,za
2022-11-28,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.516,za
2022-11-28,ČN Celje,BA.2.75* [Omikron (BA.2.75.X)],0.16,ce
2022-11-28,ČN Celje,BA.5* [Omikron (BA.5.X)],0.414,ce
2022-11-28,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.3844,ce
2022-11-28,ČN Celje,Drugo,0.0023,ce
2022-11-28,ČN Celje,Omikron,0.0383,ce
2022-11-28,ČN Novo mesto,BA.2.75* [Omikron (BA.2.75.X)],0.1408,nm
2022-11-28,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.4823,nm
2022-11-28,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.3333,nm
2022-11-28,ČN Novo mesto,Drugo,0.0043,nm
2022-11-28,ČN Novo mesto,Omikron,0.0384,nm
2022-12-04,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.1236,lj
2022-12-04,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.2999,lj
2022-12-04,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.4907,lj
2022-12-04,CČN Ljubljana,Drugo,0.0024,lj
2022-12-04,CČN Ljubljana,Omikron,0.0803,lj
2022-12-04,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.7892,ms
2022-12-04,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.2059,ms
2022-12-04,CČN Murska Sobota,Drugo,0.0031,ms
2022-12-04,CČN Murska Sobota,Omikron,0.0016,ms
2022-12-04,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.7559,po
2022-12-04,CČN Postojna,BQ.1* [Omikron (BQ.1.X)],0.2384,po
2022-12-04,CČN Postojna,Drugo,0.0023,po
2022-12-04,CČN Postojna,Omikron,0.0027,po
2022-12-04,ČN Domžale Kamnik,BA.2.75* [Omikron (BA.2.75.X)],0.2011,lj
2022-12-04,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.3004,lj
2022-12-04,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.4591,lj
2022-12-04,ČN Domžale Kamnik,Drugo,0.0035,lj
2022-12-04,ČN Domžale Kamnik,Omikron,0.0341,lj
2022-12-04,ČN Koper,BA.2.75* [Omikron (BA.2.75.X)],0.0682,kp
2022-12-04,ČN Koper,BA.5* [Omikron (BA.5.X)],0.2917,kp
2022-12-04,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.6158,kp
2022-12-04,ČN Koper,Drugo,0.0016,kp
2022-12-04,ČN Koper,Omikron,0.02,kp
2022-12-04,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.5189,kr
2022-12-04,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.4799,kr
2022-12-04,ČN Kranj,Drugo,0.0012,kr
2022-12-04,ČN Maribor,BA.2.75* [Omikron (BA.2.75.X)],0.056,mb
2022-12-04,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.5338,mb
2022-12-04,ČN Maribor,BQ.1* [Omikron (BQ.1.X)],0.2804,mb
2022-12-04,ČN Maribor,Drugo,0.0024,mb
2022-12-04,ČN Maribor,Omikron,0.1228,mb
2022-12-04,ČN Nova Gorica,BA.2.75* [Omikron (BA.2.75.X)],0.1221,ng
2022-12-04,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.7087,ng
2022-12-04,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.1515,ng
2022-12-04,ČN Nova Gorica,Drugo,0.0028,ng
2022-12-04,ČN Nova Gorica,Omikron,0.0136,ng
2022-12-05,CČN Brežice,BA.2.75* [Omikron (BA.2.75.X)],0.0955,kk
2022-12-05,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.6251,kk
2022-12-05,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.2391,kk
2022-12-05,CČN Brežice,Drugo,0.0012,kk
2022-12-05,CČN Brežice,Omikron,0.0376,kk
2022-12-05,CČN Litija in Šmartno pri Litiji,BA.2.75* [Omikron (BA.2.75.X)],0.1523,za
2022-12-05,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.8274,za
2022-12-05,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.0088,za
2022-12-05,CČN Litija in Šmartno pri Litiji,Drugo,0.003,za
2022-12-05,CČN Litija in Šmartno pri Litiji,Omikron,0.0085,za
2022-12-05,CČN Slovenj Gradec,BA.2.75* [Omikron (BA.2.75.X)],0.0662,sg
2022-12-05,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.5496,sg
2022-12-05,CČN Slovenj Gradec,BQ.1* [Omikron (BQ.1.X)],0.3094,sg
2022-12-05,CČN Slovenj Gradec,Drugo,0.0024,sg
2022-12-05,CČN Slovenj Gradec,Omikron,0.0724,sg
2022-12-05,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.5848,za
2022-12-05,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.2857,za
2022-12-05,CČN Trbovlje,Drugo,0.0016,za
2022-12-05,CČN Trbovlje,Omikron,0.1243,za
2022-12-05,CČN Zagorje,BA.2.75* [Omikron (BA.2.75.X)],0.0353,za
2022-12-05,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.8062,za
2022-12-05,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.1389,za
2022-12-05,CČN Zagorje,Drugo,0.002,za
2022-12-05,CČN Zagorje,Omikron,0.0165,za
2022-12-05,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.4106,ce
2022-12-05,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.5821,ce
2022-12-05,OČN Šaleške doline,Drugo,0.0016,ce
2022-12-05,OČN Šaleške doline,Omikron,0.0047,ce
2022-12-05,ČN Celje,BA.5* [Omikron (BA.5.X)],0.5083,ce
2022-12-05,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.4667,ce
2022-12-05,ČN Celje,Drugo,0.0039,ce
2022-12-05,ČN Celje,Omikron,0.0203,ce
2022-12-05,ČN Novo mesto,BA.2.75* [Omikron (BA.2.75.X)],0.0068,nm
2022-12-05,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.3498,nm
2022-12-05,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.6383,nm
2022-12-05,ČN Novo mesto,Drugo,0.0012,nm
2022-12-05,ČN Novo mesto,Omikron,0.0027,nm
2022-12-11,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.0192,lj
2022-12-11,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.4447,lj
2022-12-11,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.4403,lj
2022-12-11,CČN Ljubljana,Drugo,0.0039,lj
2022-12-11,CČN Ljubljana,Omikron,0.0919,lj
2022-12-11,CČN Murska Sobota,BA.2.75* [Omikron (BA.2.75.X)],0.0392,ms
2022-12-11,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.9385,ms
2022-12-11,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.0169,ms
2022-12-11,CČN Murska Sobota,Omikron,0.0053,ms
2022-12-11,CČN Postojna,BA.2.75* [Omikron (BA.2.75.X)],0.0247,po
2022-12-11,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.9299,po
2022-12-11,CČN Postojna,BQ.1* [Omikron (BQ.1.X)],0.0169,po
2022-12-11,CČN Postojna,Omikron,0.0285,po
2022-12-11,ČN Domžale Kamnik,BA.2.75* [Omikron (BA.2.75.X)],0.1013,lj
2022-12-11,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.5406,lj
2022-12-11,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.3333,lj
2022-12-11,ČN Domžale Kamnik,Drugo,0.0048,lj
2022-12-11,ČN Domžale Kamnik,Omikron,0.02,lj
2022-12-11,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.8421,kr
2022-12-11,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.1579,kr
2022-12-11,ČN Maribor,BA.2.75* [Omikron (BA.2.75.X)],0.0207,mb
2022-12-11,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.7094,mb
2022-12-11,ČN Maribor,BQ.1* [Omikron (BQ.1.X)],0.1951,mb
2022-12-11,ČN Maribor,Drugo,0.0425,mb
2022-12-11,ČN Maribor,Omikron,0.0315,mb
2022-12-12,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.8505,kk
2022-12-12,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.1389,kk
2022-12-12,CČN Brežice,Omikron,0.01,kk
2022-12-12,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9365,sg
2022-12-12,CČN Slovenj Gradec,BQ.1* [Omikron (BQ.1.X)],0.0449,sg
2022-12-12,CČN Slovenj Gradec,Drugo,0.0032,sg
2022-12-12,CČN Slovenj Gradec,Omikron,0.0154,sg
2022-12-12,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.8246,za
2022-12-12,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.0658,za
2022-12-12,CČN Trbovlje,Omikron,0.1096,za
2022-12-12,CČN Zagorje,BA.2.75* [Omikron (BA.2.75.X)],0.0107,za
2022-12-12,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.6432,za
2022-12-12,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.3275,za
2022-12-12,CČN Zagorje,Drugo,0.0072,za
2022-12-12,CČN Zagorje,Omikron,0.011,za
2022-12-12,OČN Šaleške doline,BA.2.75* [Omikron (BA.2.75.X)],0.0526,ce
2022-12-12,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.4945,ce
2022-12-12,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.4369,ce
2022-12-12,OČN Šaleške doline,Drugo,0.002,ce
2022-12-12,OČN Šaleške doline,Omikron,0.014,ce
2022-12-12,ČN Celje,BA.5* [Omikron (BA.5.X)],0.796,ce
2022-12-12,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.1805,ce
2022-12-12,ČN Celje,Omikron,0.0235,ce
2022-12-12,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.9688,nm
2022-12-12,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.0292,nm
2022-12-12,ČN Novo mesto,Drugo,0.0019,nm
2022-12-18,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.0257,lj
2022-12-18,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.277,lj
2022-12-18,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.6441,lj
2022-12-18,CČN Ljubljana,Drugo,0.003,lj
2022-12-18,CČN Ljubljana,Omikron,0.0502,lj
2022-12-18,CČN Murska Sobota,BA.2.75* [Omikron (BA.2.75.X)],0.2196,ms
2022-12-18,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.1746,ms
2022-12-18,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.4286,ms
2022-12-18,CČN Murska Sobota,Drugo,0.0037,ms
2022-12-18,CČN Murska Sobota,Omikron,0.1736,ms
2022-12-18,ČN Kranj,BA.2.75* [Omikron (BA.2.75.X)],0.1283,kr
2022-12-18,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.2548,kr
2022-12-18,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.5158,kr
2022-12-18,ČN Kranj,Drugo,0.0032,kr
2022-12-18,ČN Kranj,Omikron,0.097,kr
2022-12-19,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.5043,kk
2022-12-19,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.4957,kk
2022-12-19,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.2639,po
2022-12-19,CČN Postojna,BQ.1* [Omikron (BQ.1.X)],0.1475,po
2022-12-19,CČN Postojna,Drugo,0.0026,po
2022-12-19,CČN Postojna,Omikron,0.585,po
2022-12-19,CČN Slovenj Gradec,BA.2.75* [Omikron (BA.2.75.X)],0.2561,sg
2022-12-19,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.7439,sg
2022-12-19,CČN Trbovlje,BA.2.75* [Omikron (BA.2.75.X)],0.0999,za
2022-12-19,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.2998,za
2022-12-19,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.2795,za
2022-12-19,CČN Trbovlje,Drugo,0.0024,za
2022-12-19,CČN Trbovlje,Omikron,0.3185,za
2022-12-19,CČN Zagorje,BA.2.75* [Omikron (BA.2.75.X)],0.4772,za
2022-12-19,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.1909,za
2022-12-19,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.3286,za
2022-12-19,CČN Zagorje,Drugo,0.0032,za
2022-12-19,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.5427,ce
2022-12-19,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.4534,ce
2022-12-19,OČN Šaleške doline,Drugo,0.0026,ce
2022-12-19,ČN Celje,BA.2.75* [Omikron (BA.2.75.X)],0.0028,ce
2022-12-19,ČN Celje,BA.5* [Omikron (BA.5.X)],0.4072,ce
2022-12-19,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.5304,ce
2022-12-19,ČN Celje,Drugo,0.0012,ce
2022-12-19,ČN Celje,Omikron,0.0548,ce
2022-12-19,ČN Nova Gorica,BA.2.75* [Omikron (BA.2.75.X)],0.0184,ng
2022-12-19,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.4294,ng
2022-12-19,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.5426,ng
2022-12-19,ČN Nova Gorica,Drugo,0.0038,ng
2022-12-19,ČN Nova Gorica,Omikron,0.0052,ng
2022-12-19,ČN Novo mesto,BA.2.75* [Omikron (BA.2.75.X)],0.0191,nm
2022-12-19,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.3442,nm
2022-12-19,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.5658,nm
2022-12-19,ČN Novo mesto,Drugo,0.0038,nm
2022-12-19,ČN Novo mesto,Omikron,0.0648,nm
2022-12-26,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.1683,lj
2022-12-26,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.2122,lj
2022-12-26,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.5816,lj
2022-12-26,CČN Ljubljana,Drugo,0.0128,lj
2022-12-26,CČN Ljubljana,Omikron,0.0238,lj
2022-12-26,CČN Murska Sobota,BA.2.75* [Omikron (BA.2.75.X)],0.235,ms
2022-12-26,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.3362,ms
2022-12-26,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.2425,ms
2022-12-26,CČN Murska Sobota,Drugo,0.0015,ms
2022-12-26,CČN Murska Sobota,Omikron,0.1848,ms
2022-12-26,CČN Postojna,BA.2.75* [Omikron (BA.2.75.X)],0.0336,po
2022-12-26,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.1155,po
2022-12-26,CČN Postojna,BQ.1* [Omikron (BQ.1.X)],0.5886,po
2022-12-26,CČN Postojna,Drugo,0.0013,po
2022-12-26,CČN Postojna,Omikron,0.2601,po
2022-12-26,CČN Slovenj Gradec,BA.2.75* [Omikron (BA.2.75.X)],0.0976,sg
2022-12-26,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.3776,sg
2022-12-26,CČN Slovenj Gradec,BQ.1* [Omikron (BQ.1.X)],0.4043,sg
2022-12-26,CČN Slovenj Gradec,Drugo,0.0037,sg
2022-12-26,CČN Slovenj Gradec,Omikron,0.1161,sg
2022-12-26,ČN Domžale Kamnik,BA.2.75* [Omikron (BA.2.75.X)],0.2313,lj
2022-12-26,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.1541,lj
2022-12-26,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.5164,lj
2022-12-26,ČN Domžale Kamnik,Drugo,0.0033,lj
2022-12-26,ČN Domžale Kamnik,Omikron,0.0936,lj
2022-12-26,ČN Koper,BA.2.75* [Omikron (BA.2.75.X)],0.0965,kp
2022-12-26,ČN Koper,BA.5* [Omikron (BA.5.X)],0.3962,kp
2022-12-26,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.5033,kp
2022-12-26,ČN Koper,Drugo,0.003,kp
2022-12-26,ČN Kranj,BA.2.75* [Omikron (BA.2.75.X)],0.1816,kr
2022-12-26,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.2721,kr
2022-12-26,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.4658,kr
2022-12-26,ČN Kranj,Drugo,0.0018,kr
2022-12-26,ČN Kranj,Omikron,0.0778,kr
2022-12-26,ČN Maribor,BA.2.75* [Omikron (BA.2.75.X)],0.0334,mb
2022-12-26,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.5616,mb
2022-12-26,ČN Maribor,BQ.1* [Omikron (BQ.1.X)],0.2343,mb
2022-12-26,ČN Maribor,Drugo,0.0063,mb
2022-12-26,ČN Maribor,Omikron,0.1634,mb
2022-12-26,ČN Nova Gorica,BA.2.75* [Omikron (BA.2.75.X)],0.1992,ng
2022-12-26,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.194,ng
2022-12-26,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.5728,ng
2022-12-26,ČN Nova Gorica,Drugo,0.002,ng
2022-12-26,ČN Nova Gorica,Omikron,0.0291,ng
2022-12-27,CČN Litija in Šmartno pri Litiji,BA.2.75* [Omikron (BA.2.75.X)],0.0229,za
2022-12-27,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.3958,za
2022-12-27,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.4521,za
2022-12-27,CČN Litija in Šmartno pri Litiji,Drugo,0.0568,za
2022-12-27,CČN Litija in Šmartno pri Litiji,Omikron,0.0723,za
2022-12-27,CČN Trbovlje,BA.2.75* [Omikron (BA.2.75.X)],0.1855,za
2022-12-27,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.3313,za
2022-12-27,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.3458,za
2022-12-27,CČN Trbovlje,Drugo,0.0038,za
2022-12-27,CČN Trbovlje,Omikron,0.1333,za
2022-12-27,CČN Zagorje,BA.2.75* [Omikron (BA.2.75.X)],0.1594,za
2022-12-27,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.1792,za
2022-12-27,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.4599,za
2022-12-27,CČN Zagorje,Drugo,0.0027,za
2022-12-27,CČN Zagorje,Omikron,0.1983,za
2022-12-27,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.2662,ce
2022-12-27,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.7308,ce
2022-12-27,OČN Šaleške doline,Drugo,0.0021,ce
2022-12-27,ČN Celje,BA.5* [Omikron (BA.5.X)],0.453,ce
2022-12-27,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.5366,ce
2022-12-27,ČN Celje,Drugo,0.0029,ce
2022-12-27,ČN Celje,Omikron,0.0072,ce
2022-12-28,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.7088,kk
2022-12-28,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.2827,kk
2022-12-28,CČN Brežice,Omikron,0.0085,kk
2022-12-28,ČN Novo mesto,BA.2.75* [Omikron (BA.2.75.X)],0.157,nm
2022-12-28,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.2209,nm
2022-12-28,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.5932,nm
2022-12-28,ČN Novo mesto,Drugo,0.0026,nm
2022-12-28,ČN Novo mesto,Omikron,0.025,nm
2023-01-02,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.0581,lj
2023-01-02,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.448,lj
2023-01-02,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.49,lj
2023-01-02,CČN Ljubljana,Drugo,0.0034,lj
2023-01-02,ČN Domžale Kamnik,BA.2.75* [Omikron (BA.2.75.X)],0.4301,lj
2023-01-02,ČN Domžale Kamnik,BQ.1* [Omikron (BQ.1.X)],0.5699,lj
2023-01-02,ČN Koper,BA.2.75* [Omikron (BA.2.75.X)],0.3019,kp
2023-01-02,ČN Koper,BA.5* [Omikron (BA.5.X)],0.237,kp
2023-01-02,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.4036,kp
2023-01-02,ČN Koper,Drugo,0.0042,kp
2023-01-02,ČN Koper,Omikron,0.0533,kp
2023-01-02,ČN Nova Gorica,BA.2.75* [Omikron (BA.2.75.X)],0.1617,ng
2023-01-02,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.1212,ng
2023-01-02,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.5686,ng
2023-01-02,ČN Nova Gorica,Drugo,0.0029,ng
2023-01-02,ČN Nova Gorica,Omikron,0.1447,ng
2023-01-03,CČN Murska Sobota,BA.2.75* [Omikron (BA.2.75.X)],0.4196,ms
2023-01-03,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.0813,ms
2023-01-03,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.1728,ms
2023-01-03,CČN Murska Sobota,Drugo,0.0036,ms
2023-01-03,CČN Murska Sobota,Omikron,0.3227,ms
2023-01-03,CČN Zagorje,BA.2.75* [Omikron (BA.2.75.X)],0.5311,za
2023-01-03,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.4641,za
2023-01-03,CČN Zagorje,Omikron,0.0047,za
2023-01-04,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.0673,kk
2023-01-04,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.8459,kk
2023-01-04,CČN Brežice,Omikron,0.0868,kk
2023-01-04,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.2641,nm
2023-01-04,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.7359,nm
2023-01-08,CČN Ljubljana,BA.2.75* [Omikron (BA.2.75.X)],0.2691,lj
2023-01-08,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.2206,lj
2023-01-08,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.4758,lj
2023-01-08,CČN Ljubljana,Omikron,0.0335,lj
2023-01-08,CČN Murska Sobota,BA.2.75* [Omikron (BA.2.75.X)],0.6784,ms
2023-01-08,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.0191,ms
2023-01-08,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.2562,ms
2023-01-08,CČN Murska Sobota,Drugo,0.0014,ms
2023-01-08,CČN Murska Sobota,Omikron,0.0444,ms
2023-01-08,ČN Maribor,BA.2.75* [Omikron (BA.2.75.X)],0.0962,mb
2023-01-08,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.4244,mb
2023-01-08,ČN Maribor,BQ.1* [Omikron (BQ.1.X)],0.4327,mb
2023-01-08,ČN Maribor,Omikron,0.0467,mb
2023-01-08,ČN Nova Gorica,BA.2.75* [Omikron (BA.2.75.X)],0.0034,ng
2023-01-08,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.3808,ng
2023-01-08,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.6017,ng
2023-01-08,ČN Nova Gorica,Drugo,0.0016,ng
2023-01-08,ČN Nova Gorica,Omikron,0.0115,ng
2023-01-09,CČN Brežice,BA.2.75* [Omikron (BA.2.75.X)],0.1534,kk
2023-01-09,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.3191,kk
2023-01-09,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.5052,kk
2023-01-09,CČN Brežice,Drugo,0.0015,kk
2023-01-09,CČN Brežice,Omikron,0.0202,kk
2023-01-09,CČN Litija in Šmartno pri Litiji,BA.2.75* [Omikron (BA.2.75.X)],0.1282,za
2023-01-09,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.3204,za
2023-01-09,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.4798,za
2023-01-09,CČN Litija in Šmartno pri Litiji,Omikron,0.0715,za
2023-01-09,CČN Postojna,BA.2.75* [Omikron (BA.2.75.X)],0.4219,po
2023-01-09,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.2677,po
2023-01-09,CČN Postojna,BQ.1* [Omikron (BQ.1.X)],0.3046,po
2023-01-09,CČN Postojna,Drugo,0.0028,po
2023-01-09,CČN Postojna,Omikron,0.003,po
2023-01-09,CČN Slovenj Gradec,BA.2.75* [Omikron (BA.2.75.X)],0.04,sg
2023-01-09,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.3081,sg
