day,date,phase,tests.performed.todate,tests.performed,tests.positive.todate,tests.positive,tests.regular.performed.todate,tests.regular.performed,tests.regular.positive.todate,tests.regular.positive,tests.ns-apr20.performed.todate,tests.ns-apr20.performed,tests.ns-apr20.positive.todate,tests.ns-apr20.positive,cases.confirmed.todate,cases.confirmed,cases.active,cases.recovered.todate,cases.closed.todate,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate
265,2020-11-23,F13,484617,5596,66913,1301,483249,5596,66912,1301,,,,,67105,1307,20360,45589,46745,,,5572,61533
266,2020-11-24,F13,492680,8063,69138,2225,491312,8063,69137,2225,,,,,69340,2235,20367,47774,48973,,,5834,63506
267,2020-11-25,F13,500076,7396,70907,1769,498708,7396,70906,1769,,,,,71122,1782,20217,49660,50905,,,6024,65098
268,2020-11-26,F13,506663,6587,72515,1608,505295,6587,72514,1608,,,,,72734,1612,20313,51128,52421,,,6252,66482
269,2020-11-27,F13,513601,6938,74106,1591,512233,6938,74105,1591,,,,,74335,1601,20174,52825,54161,,,6514,67821
270,2020-11-28,F13,517245,3644,75212,1106,515877,3644,75211,1106,,,,,75444,1109,20361,53699,55083,,,6636,68808
271,2020-11-29,F13,519120,1875,75637,425,517752,1875,75636,425,,,,,75871,427,20288,54148,55583,,,6678,69193
272,2020-11-30,F13,524988,5868,76928,1291,523620,5868,76927,1291,,,,,77170,1299,20194,55486,56976,,,6919,70251
273,2020-12-01,F13,532166,7178,79357,2429,530798,7178,79356,2429,,,,,79608,2438,20614,57447,58994,,,7255,72353
274,2020-12-02,F13,538870,6704,81129,1772,537502,6704,81128,1772,,,,,81384,1776,20322,59470,61062,,,7448,73936
275,2020-12-03,F13,545798,6928,82913,1784,544430,6928,82912,1784,,,,,83170,1786,20559,60958,62611,,,7704,75466
276,2020-12-04,F13,552142,6344,84549,1636,550774,6344,84548,1636,,,,,84817,1647,20515,62602,64302,,,7922,76895
277,2020-12-05,F13,555886,3744,85579,1030,554518,3744,85578,1030,,,,,85850,1033,20523,63583,65327,,,8034,77816
278,2020-12-06,F13,557637,1751,86059,480,556269,1751,86058,480,,,,,86330,480,20532,64002,65798,,,8089,78241
279,2020-12-07,F13,563795,6158,87686,1627,562427,6158,87685,1627,,,,,87960,1630,20855,65243,67105,,,8368,79592
280,2020-12-08,F13,570798,7003,89825,2139,569430,7003,89824,2139,,,,,90100,2140,20760,67440,69340,,,8502,81598
281,2020-12-09,F13,577208,6410,91674,1849,575840,6410,91673,1849,,,,,91952,1852,20830,69173,71122,,,8628,83324
282,2020-12-10,F13,583661,6453,93487,1813,582293,6453,93486,1813,,,,,93768,1816,21034,70736,72734,,,8811,84957
283,2020-12-11,F13,589788,6127,95231,1744,588420,6127,95230,1744,,,,,95518,1750,21183,72294,74335,,,8946,86572
284,2020-12-12,F13,592436,2648,96061,830,591068,2648,96060,830,,,,,96352,834,20908,73381,75444,,,8990,87362
285,2020-12-13,F13,594115,1679,96492,431,592747,1679,96491,431,,,,,96785,433,20914,73764,75871,,,9038,87747
286,2020-12-14,F13,599749,5634,98016,1524,598381,5634,98015,1524,,,,,98315,1530,21145,75019,77170,,,9272,89043
287,2020-12-15,F13,606328,6579,100123,2107,604960,6579,100122,2107,,,,,100426,2111,20818,77255,79608,,,9461,90965
288,2020-12-16,F13,612678,6350,101765,1642,611310,6350,101764,1642,,,,,102074,1648,20690,79194,81384,,,9545,92529
289,2020-12-17,F13,618540,5862,103277,1512,617172,5862,103276,1512,,,,,103589,1515,20419,80937,83170,,,9653,93936
290,2020-12-18,F13,624140,5600,104704,1427,622772,5600,104703,1427,,,,,105017,1428,20200,82543,84817,,,9759,95258
291,2020-12-19,F13,626786,2646,105588,884,625418,2646,105587,884,,,,,105901,884,20051,83536,85850,,,9786,96115
292,2020-12-20,F13,628232,1446,105983,395,626864,1446,105982,395,,,,,106296,395,19966,83977,86330,,,9804,96492
293,2020-12-21,F13,,,,,,,,,,,,,,,,,,,,,
