#,id,name,name_alt,municipality,region,type,occupants,employees,tax-id,url,url-social,geo-longitude,geo-latitude,openstreetmap
74,koc,Dom starejših občanov Kočevje,Kočevje,Kočevje,LJ,J,163,93,44663633,https://www.dsokocevje.si/,,"45,6400540","14,8671907",https://www.openstreetmap.org/way/372436230
75,sis,Dom starejših občanov Ljubljana - Šiška,Ljubljana-Šiška,Ljubljana,LJ,J,230,131,55143172,,https://www.facebook.com/DSOLjubljanaSiska,"46,0795030","14,4752690",
76,bez,Dom starejših občanov Ljubljana - Bežigrad,Ljubljana-Bežigrad,Ljubljana,LJ,J,227,129,18613691,http://www.dsolj-bezigrad.si/,,"46,0843130","14,5125610",
77,lmp,Dom starejših občanov Ljubljana Moste-Polje,Ljubljana-Moste-Polje,Ljubljana,LJ,J,212,121,61326232,,https://www.facebook.com/Dom-starej%C5%A1ih-ob%C4%8Danov-Ljubljana-Moste-Polje-629168113883662/,"46,0533040","14,5416570",
78,izl,"Dom starejših občanov ""Polde Eberl-Jamski"" Izlake **",Zagorje ob Savi-Izlake,Zagorje ob Savi,LJ,J,188,107,20806434,http://www.dso-izlake.si/,,"46,1554450","14,9294350",
79,rib,"RIVE, Dom starejših občanov Ribnica",Ribnica,Ribnica,LJ,Z,134,76,61922021,http://www.dsoribnica.si/,,"45,7432202","14,7251579",https://www.openstreetmap.org/relation/7692730
80,sml,"Dom ""Tisje"" Šmartno pri Litiji",Litija,Litija,LJ,J,193,110,95839798,http://www.dom-tisje.com/,,"46,0257430","14,8392230",
81,pol,"Dom upokojencev Center, Tabor-Poljane, enota Poljane",Ljubljana-Poljane,Ljubljana,LJ,J,164,93,87980193,http://duc.si/poljane,,"46,0541920","14,5147110",
82,tab,"Dom upokojencev Center, Tabor-Poljane, matična enota Tabor",Ljubljana-Tabor,Ljubljana,LJ,J,321,183,87980193,http://duc.si/tabor,,,,
83,trb,"Dom upokojencev ""Franca Salamona"" Trbovlje",Trbovlje (mat. en.),Trbovlje,LJ,J,204,116,30739551,http://www.dufs.eu/,,,,
84,prb,"Dom upokojencev ""Franca Salamona"" Trbovlje, enota Prebold",Trbovlje-Prebold,Trbovlje,LJ,J,155,88,30739551,http://www.dufs.eu/enota-prebold/,,,,
85,idr,"Dom upokojencev Idrija, d.o.o., enota Idrija, za starejše",Idrija-za starejše,Idrija,LJ,Z,153,87,85384615,http://www.duidrija.si,,,,
86,ima,"Dom upokojencev Idrija, d.o.o., enota Marof, posebna enota",Idrija-posebna enota,Idrija,LJ,Z,148,84,85384615,http://www.duidrija.si,,,,
87,vrh,Dom upokojencev Vrhnika,Vrhnika,Vrhnika,LJ,J,244,139,81248504,http://www.du-vrhnika.si/,,"45,9633370","14,2888300",
88,ppo,"Delovnovarstveni zavod Prizma, Ponikve",Ponikve,Dobrepolje,LJ,P,146,83,23017236,http://www.prizma-ponikve.si/,,"45,8566130","14,6457130",
89,sko,"SVZ Vitadom, PE Dom starejših Škofljica",Škofljica,Škofljica,LJ,Z,150,86,31897061,https://skofljica.vitadom.si/,,"45,9814990","14,5780650",
90,dbp,"Zavod sv. Terezije, Videm",Videm,Videm,LJ,Z,70,40,12312835,http://www.domstarejsihvidem.si,,"45,8486210","14,6923820",
91,orm,Center za starejše Ormož,Ormož,Ormož,MB,Z,153,87,30784042,http://www.cso-ormoz.si/,,"46,4066630","16,1434430",
92,jpp,Dom dr. Jožeta Potrča Poljčane,Poljčane,Poljčane,MB,J,295,168,52804186,http://www.dom-poljcane.si,,"46,3048120","15,5806710",
93,slb,"Dom dr. Jožeta Potrča Poljčane, enota Slovenska Bistrica",Slovenska Bistrica,Slovenska Bistrica,MB,J,124,,52804186,https://www.dom-poljcane.si/slovenska-bistrica/,,"46,3049160","15,5806930",
94,lnt,"Dom Lenart, d.o.o.",Lenart,Lenart,MB,Z,150,86,58983627,http://www.domlenart.si/,,"46,5742920","15,8255570",
95,pgm,"Dom pod Gorco, Maribor",Maribor-pod Gorco,Maribor,MB,Z,150,86,20504756,,https://www.facebook.com/Dom-pod-gorco-199602410101148,"46,5553030","15,6124990",
96,jar,"Dom starejših Idila, Jarenina",Pesnica-Jarenina,Pesnica,MB,Z,150,86,55579647,http://www.domstarejsihidila.si/,,"46,6215830","15,7198800",
97,tez,"Dom starejših Tezno, Maribor",Maribor-Tezno,Maribor,MB,J,208,119,27791050,http://www.dso-tezno.si/aktualno/,,"46,5255490","15,6794360",
98,dmm,"Dom ""Danice Vogrinec"" Maribor, matična enota Pobrežje",Maribor-Pobrežje,Maribor,MB,J,609,347,53650719,,https://www.facebook.com/domdanicevogrinecmaribor/,"46,5551320","15,6693480",
99,dmt,"Dom ""Danice Vogrinec"" Maribor, enota Tabor",Matribor-Tabor,Maribor,MB,J,200,114,53650719,,https://www.facebook.com/domdanicevogrinecmaribor/,"46,5437830","15,6231610",
100,pt,"Dom upokojencev Ptuj, matična enota",Ptuj,Ptuj,MB,J,368,210,83684921,http://www.dom-upokojencev.si/,,"46,4245360","15,8738740",
101,ptj,"Dom upokojencev Ptuj, enota Juršinci",Juršinci,Juršinci,MB,J,56,32,83684921,http://www.dom-upokojencev.si/o-nas/nase-enote/jursinci/,,,,
102,ptk,"Dom upokojencev Ptuj, enota Kidričevo",Kidričevo,Kidričevo,MB,J,69,39,83684921,http://www.dom-upokojencev.si/o-nas/nase-enote/kidricevo/,,"46,4035140","15,7947150",
103,ptm,"Dom upokojencev Ptuj, enota Muretinci",Gorišnica-Muretinci,Gorišnica,MB,J,134,76,83684921,http://www.dom-upokojencev.si/o-nas/nase-enote/muretinci/,,"46,3852680","15,9968790",
104,sdm,Sončni dom Maribor,Maribor-Sončni dom,Maribor,MB,Z,151,86,61005100,http://www.soncnidom.si/,,"46,5499530","15,6686980",
105,zhr,"Zavod Hrastovec-Trate, matična enota",Lenart-Hrastovec,Lenart,MB,P,614,350,10220704,,https://www.facebook.com/svzhrastovec/,"46,5649390","15,7869480",
106,zhrh,"Zavod Hrastovec-Trate, enota Hodoš",Hodoš,Hodoš,MB,P,67,38,10220704,,https://www.facebook.com/svzhrastovec/,,,
107,vpo,"Zavod Karion, Dom Velika Polana",Velika Polana,Velika Polana,MS,Z,60,34,19856806,,https://www.facebook.com/DDHVP/,"46,5724550","16,3450640",
108,belt,"Zavod sv. Cirila in Metoda, Beltinci",Beltinci,Beltinci,MS,Z,77,44,15044572,http://www.zcm.si,https://www.facebook.com/domjanka.skrabana,"46,6062970","16,2357890",
109,kuz,Dom Kuzma d.o.o.,Kuzma,Kuzma,MS,Z,58,33,12222607,,https://www.facebook.com/dom.kuzma/,,,
110,luk,Dom Lukavci,Križevci-Lukavci,Križevci,MS,P,310,177,60615346,http://www.lukavci.si/,,"46,5428050","16,1510990",
111,ldv,Dom starejših Lendava,Lendava,Lendava,MS,J,172,98,61758884,http://www.dslendava.si/,,"46,5678090","16,4490880",
112,gra,Dom starejših občanov Gornja Radgona,Gornja Radgona,Gornja Radgona,MS,Z,120,68,34295160,http://www.dso-gr.si/,,"46,6778870","15,9993770",
113,rad,"SeneCura, Dom starejših občanov Radenci",Radenci,Radenci,MS,Z,120,68,60031816,,https://www.facebook.com/DomStarejsihObcanovRadenciDOSOR/,"46,6408890","16,0390000",
114,rak,"Dom starejših Rakičan, matična enota",Murska Sobota (mat. en.),Murska Sobota,MS,J,271,154,21658196,http://www.ds-rakican.com/,,"46,6500810","16,1905370",
115,rakr,"Dom starejših Rakičan, enota Sv Elizabeta, Rogašovci",Rogašovci,Rogašovci,MS,J,35,20,21658196,http://www.ds-rakican.com/,,"46,7995010","16,0360270",
116,rakm,"Dom starejših Rakičan, enota Murska Sobota",Murska Sobota (podenota),Murska Sobota,MS,J,66,38,21658196,http://www.ds-rakican.com/,,"46,6500930","16,1905310",
117,crm,Dom starejših občanov Črnomelj,Črnomelj,Črnomelj,NM,J,196,112,54512336,http://www.domcrnomelj.si/,,"45,5798360","15,1852070",
118,nm,Dom starejših občanov Novo mesto,Novo mesto,Novo mesto,NM,J,355,202,15354997,http://www.dso-novomesto.com/,,"45,7955990","15,1651540",
119,tre,"Dom starejših občanov Trebnje, matična enota",Trebnje,Trebnje,NM,J,181,103,64948315,http://www.dso-trebnje.si/,,"45,9085220","15,0169590",
120,tres,"Dom starejših občanov Trebnje, enota Šmarjeta",Šmarješke Toplice-Šmarjeta,Šmarješke Toplice,NM,J,36,21,64948315,http://www.dso-trebnje.si/,,"45,8838610","15,2500220",
121,psst,"Penzion Sreča, Šmarješke Toplice",Šmarješke Toplice-Sreča,Šmarješke Toplice,NM,Z,36,21,75851512,,,"45,8833460","15,2610290",
122,ggr,"DEOS Ljubljana, PE Center starejših Gornji Grad",Gornji Grad,Gornji Grad,RA,Z,147,84,17727332,https://www.deos.si/gornji-grad,,"46,2983940","14,8074280",
123,zto,"DEOS Ljubljana, PE Center starejših Zimzelen, Topolšica",Šoštanj-Topolščica,Šoštanj,RA,Z,150,86,17727332,https://www.deos.si/zimzelen-topolsica,,"46,4025560","15,0131560",
124,rod,"Dom Hmelina, dom za starejše občane, Radlje ob Dravi",Radlje ob Dravi,Radlje ob Dravi,RA,Z,138,79,79214924,,https://www.facebook.com/Dom-Hmelina-dom-za-starej%C5%A1e-ob%C4%8Dane-Radlje-ob-Dravi-335875033204120/,"46,6154070","15,2112940",
125,pre,"Dom starejših na Fari, Prevalje",Prevalje,Prevalje,RA,J,190,108,79096298,http://www.ds-nafari.si/,,"46,5473170","14,9273500",
126,ses,"Zavod Karion, enota Šentjanž pri Dravogradu",Dravograd-Šentjanž,Dravograd,RA,Z,20,11,19856806,,https://www.facebook.com/Dom-sv-Eme-Zavod-Karion-786033854775938/,,,
127,vel,Dom za varstvo odraslih Velenje,Velenje,Velenje,RA,J,190,108,66702895,,https://www.facebook.com/domvelenje40/,"46,3639200","15,1129410",
128,slg,"Koroški dom starostnikov Dravograd, enota Slovenj Gradec",Slovenj Gradec,Slovenj Gradec,RA,J,92,52,66420385,http://www.kds-dravograd.si/Slovenj-Gradec.aspx,,"46,5046250","15,0805860",
129,dra,"Koroški dom starostnikov Dravograd, matična enota Črneče",Dravograd-Črneče,Dravograd,RA,J,271,154,66420385,http://www.kds-dravograd.si/Crnece.aspx,,"46,5891440","14,9985990",
