date,time,sm.marker,sm.,sm.title,sm.description,sm.source
2020-04-18,,yes,,Vikendi,Sproščanje prepovedi gibanja in pojasnila glede omejitev gibanja med občinami (vikendi).,https://www.gov.si/novice/2020-04-17-najpogostejsa-vprasanja-in-odgovori-glede-izvajanja-odloka-o-zacasni-splosni-prepovedi-gibanja-in-zbiranja-ljudi-na-javnih-krajih/
2020-04-20,,yes,,Spr.dejavnosti,"Sproščanje nekaterih dejavnosti (gradbeno, servisi, šport na prostem...), linijski prevozi.",https://www.gov.si/novice/2020-04-17-16-april-odlok-o-spremembah-in-dopolnitvah-odloka-o-zacasni-prepovedi-ponujanja-in-prodajanja-blaga-in-storitev-potrosnikom-v-republiki-sloveniji/
2020-04-20,,,,Spr.prevozi,Sprostitev nekaterih linijskih prevozov,https://www.gov.si/novice/2020-04-17-vlada-z-20-aprilom-odpravlja-prepoved-za-nekatere-oblike-javnega-linijskega-prevoza/
2020-04-20,,,,Spr.šport,Športni objekti,https://www.gov.si/novice/2020-04-17-izvajanje-sportno-rekreacijske-dejavnosti-po-spremembi-odlokov/
2020-04-21,,yes,,Raziskava,Nacionalna raziskava 3000 oseb - ali so preboleli COVID-19,https://www.gov.si/novice/slovenija-bo-kot-prva-drzava-izvedla-raziskavo-koliko-ljudi-je-bolezen-covid19-nevede-prebolelo/
2020-04-21,,,,Testiranje,Testiranje vsi z simptomi (ne telefonsko!),https://www.gov.si/assets/ministrstva/MZ/DOKUMENTI/Koronavirus/Dodatno-k-Drugi-dopolnitvi-navodil-za-testiranje-na-COVID19-Testiranje-pri-vseh-osebah-s-sumom.pdf
2020-04-25,,,,Spr.avtopralnice,"Sprostitev dejavnosti: avtopralnice, zavarovalništvo",https://www.gov.si/novice/2020-04-24-28-dopisna-seja-vlade-republike-slovenije/
2020-04-28,,,,Spr.poroke,Sprostitev dejavnosti: poroke,https://www.gov.si/novice/2020-04-24-od-torka-28-aprila-2020-ponovno-omogoceno-izvajanje-porok/
2020-04-29,,,,Muzeji,"Sprostitev knjižnice, galerije, muzeji, nep.posredovanje, dimnikarji.",https://www.gov.si/novice/2020-04-28-30-dopisna-seja-vlade-republike-slovenije/
2020-04-30,,,,Občine,Sprostitev gibanja izven občine prebivališča.,https://www.gov.si/novice/2020-04-28-30-dopisna-seja-vlade-republike-slovenije/
2020-05-04,,,,Tržnice,"Tržnice, strežba na terasah, trgovine do 400m2, frizerski in kozmetični saloni.",https://www.gov.si/novice/2020-04-17-16-april-odlok-o-spremembah-in-dopolnitvah-odloka-o-zacasni-prepovedi-ponujanja-in-prodajanja-blaga-in-storitev-potrosnikom-v-republiki-sloveniji/
2020-05-06,,,,Vr.šport,Sprostitev ukrepov na področju vrhunskega športa.,https://www.gov.si/novice/2020-05-06-vlada-sprostila-tudi-ukrepe-na-podrocju-vrhunskega-tekmovalnega-sporta/
2020-05-09,,yes,,Zdravstvo,Sprostitev opravljanja vseh zdravstvenih in zobozdravstvenih storitev na vseh ravneh.,https://www.gov.si/novice/2020-05-08-vlada-ponovno-uvaja-izvajanje-zdravstvenih-in-zobozdravstvenih-storitev-na-vseh-ravneh/
2020-05-11,,yes,,Prevoz,Sprostitev javnega prevoza,https://www.gov.si/novice/2020-05-08-vlada-sprosca-ukrepe-na-podrocju-zdravstvene-dejavnosti-in-javnega-potniskega-prometa-v-sloveniji/
2020-05-15,,yes,,Epidemija,Preklic epidemije,https://www.gov.si/novice/2020-05-15-vlada-preklicala-epidemijo-nalezljive-bolezni-sars-cov-2-covid-19/
2020-05-15,,yes,,Karantena,Sprostitev karantene: samo še za tujce iz tretjih držav,https://www.gov.si/novice/2020-05-15-vlada-spremenila-ukrepe-na-mejnih-prehodih-na-zunanji-meji-in-na-kontrolnih-tockah-na-notranjih-mejah-republike-slovenije/
2020-05-15,,yes,,Zbiranje-50os,Sprostitev zbiranja do 50 ljud,https://www.gov.si/novice/2020-05-15-vlada-izdala-odlok-o-zacasni-splosni-omejitvi-zbiranja-ljudi-na-javnih-krajih-in-mestih-v-republiki-sloveniji/
2020-05-18,,yes,,Šole,Sprostitev OŠ (prva triada) in SŠ (zadnji letnik),https://www.gov.si/novice/2020-05-15-preklic-epidemije-nekateri-ucenci-in-dijaki-nazaj-v-sole-z-18-majem/
2020-05-26,,yes,,Karantena,14 dnevna karantena za tujce iz EU (z izjemami) in tretjih držav.,https://www.gov.si/novice/2020-05-26-veljati-je-zacel-novi-odlok-o-ukrepih-za-preprecitev-sirjenja-covida-19-na-mejnih-prehodih-in-kontrolnih-tockah/
2020-06-01,,yes,,Šole,"Sprostitev OŠ (4, 5. razred, od srede vsi)",https://www.gov.si/novice/2020-05-28-osnovnosolci-v-sole-1-in-8-junija-srednjesolci-sele-jeseni/
2020-06-01,,yes,,Zbiranje 200,Sprostitev zbiranja do 200 ljudi,https://www.gov.si/novice/2020-05-28-18-redna-seja-vlade-republike-slovenije/
2020-06-01,,yes,,Hoteli,"Sprostitev vseh nastanitvenih objektov, wellnes, fitnes...",https://www.gov.si/novice/2020-05-28-18-redna-seja-vlade-republike-slovenije/
