date,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate
2020-09-23,378,226,450,3762
2020-09-24,390,228,451,3940
2020-09-25,402,228,453,4110
2020-09-26,407,232,457,4255
2020-09-27,420,234,458,4278
2020-09-28,430,235,459,4365
2020-09-29,446,236,461,4548
2020-09-30,452,241,470,4703
2020-10-01,468,244,480,4913
2020-10-02,483,244,485,5121
2020-10-03,509,247,489,5256
2020-10-04,530,250,495,5301
2020-10-05,547,254,499,5466
2020-10-06,563,260,506,5794
2020-10-07,598,262,513,6138
2020-10-08,632,269,518,6455
2020-10-09,658,274,532,6790
2020-10-10,704,283,568,7110
2020-10-11,734,287,580,7233
2020-10-12,751,293,591,7598
2020-10-13,796,297,609,8238
2020-10-14,822,310,624,8932
