date,vaccination.region.kp.1st,vaccination.region.kp.1st.todate,vaccination.region.kp.2nd,vaccination.region.kp.2nd.todate,vaccination.region.kp.3rd,vaccination.region.kp.3rd.todate,vaccination.region.ng.1st,vaccination.region.ng.1st.todate,vaccination.region.ng.2nd,vaccination.region.ng.2nd.todate,vaccination.region.ng.3rd,vaccination.region.ng.3rd.todate,vaccination.region.po.1st,vaccination.region.po.1st.todate,vaccination.region.po.2nd,vaccination.region.po.2nd.todate,vaccination.region.po.3rd,vaccination.region.po.3rd.todate,vaccination.region.kr.1st,vaccination.region.kr.1st.todate,vaccination.region.kr.2nd,vaccination.region.kr.2nd.todate,vaccination.region.kr.3rd,vaccination.region.kr.3rd.todate,vaccination.region.lj.1st,vaccination.region.lj.1st.todate,vaccination.region.lj.2nd,vaccination.region.lj.2nd.todate,vaccination.region.lj.3rd,vaccination.region.lj.3rd.todate,vaccination.region.nm.1st,vaccination.region.nm.1st.todate,vaccination.region.nm.2nd,vaccination.region.nm.2nd.todate,vaccination.region.nm.3rd,vaccination.region.nm.3rd.todate,vaccination.region.kk.1st,vaccination.region.kk.1st.todate,vaccination.region.kk.2nd,vaccination.region.kk.2nd.todate,vaccination.region.kk.3rd,vaccination.region.kk.3rd.todate,vaccination.region.za.1st,vaccination.region.za.1st.todate,vaccination.region.za.2nd,vaccination.region.za.2nd.todate,vaccination.region.za.3rd,vaccination.region.za.3rd.todate,vaccination.region.ce.1st,vaccination.region.ce.1st.todate,vaccination.region.ce.2nd,vaccination.region.ce.2nd.todate,vaccination.region.ce.3rd,vaccination.region.ce.3rd.todate,vaccination.region.sg.1st,vaccination.region.sg.1st.todate,vaccination.region.sg.2nd,vaccination.region.sg.2nd.todate,vaccination.region.sg.3rd,vaccination.region.sg.3rd.todate,vaccination.region.mb.1st,vaccination.region.mb.1st.todate,vaccination.region.mb.2nd,vaccination.region.mb.2nd.todate,vaccination.region.mb.3rd,vaccination.region.mb.3rd.todate,vaccination.region.ms.1st,vaccination.region.ms.1st.todate,vaccination.region.ms.2nd,vaccination.region.ms.2nd.todate,vaccination.region.ms.3rd,vaccination.region.ms.3rd.todate
2021-11-06,7,63658,8,60127,37,4366,3,68722,1,65253,18,4506,42,31089,13,28833,508,2750,35,120683,9,114651,154,11115,275,328938,153,308397,1953,25365,15,79189,3,73211,14,4471,22,40790,9,37255,53,3038,40,33986,18,31910,263,2787,48,142735,20,134281,259,10745,64,41521,14,39432,326,3800,118,175156,20,164168,352,11817,58,65045,12,61342,237,3882
2021-11-07,4,63662,2,60129,21,4387,2,68724,3,65256,7,4513,28,31117,8,28841,309,3059,8,120691,3,114654,31,11146,79,329017,69,308466,864,26229,1,79190,1,73212,10,4481,,40790,,37255,1,3039,,33986,,31910,4,2791,10,142745,4,134285,8,10753,,41521,,39432,2,3802,113,175269,37,164205,402,12219,2,65047,2,61344,4,3886
2021-11-08,10,63672,8,60137,78,4465,146,68870,70,65326,747,5260,27,31144,13,28854,65,3124,124,120815,59,114713,545,11691,460,329477,273,308739,2475,28704,155,79345,67,73279,801,5282,93,40883,45,37300,638,3677,26,34012,11,31921,252,3043,352,143097,153,134438,1343,12096,49,41570,12,39444,297,4099,237,175506,151,164356,1383,13602,123,65170,65,61409,756,4642
2021-11-09,161,63833,56,60193,481,4946,94,68964,35,65361,578,5838,30,31174,17,28871,295,3419,68,120883,48,114761,522,12213,592,330069,283,309022,2943,31647,174,79519,97,73376,1004,6286,41,40924,37,37337,388,4065,82,34094,46,31967,730,3773,259,143356,79,134517,1470,13566,23,41593,12,39456,141,4240,386,175892,180,164536,2199,15801,170,65340,75,61484,762,5404
2021-11-10,70,63903,53,60246,494,5440,72,69036,29,65390,1034,6872,107,31281,82,28953,876,4295,375,121258,177,114938,1864,14077,432,330501,354,309376,4265,35912,94,79613,61,73437,674,6960,94,41018,52,37389,607,4672,24,34118,11,31978,344,4117,226,143582,152,134669,1808,15374,88,41681,50,39506,782,5022,335,176227,181,164717,2126,17927,88,65428,34,61518,485,5889
2021-11-11,167,64070,93,60339,1024,6464,144,69180,91,65481,1447,8319,42,31323,31,28984,433,4728,394,121652,331,115269,3083,17160,531,331032,339,309715,4305,40217,216,79829,186,73623,1570,8530,66,41084,57,37446,509,5181,67,34185,40,32018,542,4659,436,144018,205,134874,2199,17573,127,41808,41,39547,709,5731,348,176575,198,164915,1968,19895,159,65587,93,61611,1058,6947
2021-11-12,149,64219,82,60421,1118,7582,217,69397,111,65592,1352,9671,59,31382,44,29028,519,5247,190,121842,110,115379,1646,18806,577,331609,398,310113,4728,44945,165,79994,100,73723,1063,9593,81,41165,72,37518,470,5651,77,34262,45,32063,641,5300,385,144403,194,135068,2136,19709,150,41958,50,39597,1196,6927,330,176905,274,165189,2053,21948,122,65709,61,61672,717,7664
2021-11-13,62,64281,22,60443,393,7975,72,69469,18,65610,316,9987,5,31387,2,29030,5,5252,42,121884,7,115386,47,18853,322,331931,158,310271,2002,46947,58,80052,28,73751,122,9715,21,41186,2,37520,37,5688,28,34290,23,32086,338,5638,100,144503,16,135084,217,19926,54,42012,15,39612,127,7054,261,177166,67,165256,1160,23108,96,65805,26,61698,352,8016
2021-11-14,,64281,1,60444,2,7977,2,69471,,65610,3,9990,,31387,,29030,,5252,40,121924,4,115390,121,18974,113,332044,37,310308,675,47622,4,80056,,73751,1,9716,1,41187,,37520,1,5689,,34290,1,32087,4,5642,,144503,2,135086,4,19930,,42012,,39612,,7054,73,177239,25,165281,257,23365,1,65806,,61698,1,8017
2021-11-15,34,64315,18,60462,296,8273,57,69528,72,65682,590,10580,14,31401,13,29043,176,5428,273,122197,87,115477,903,19877,436,332480,194,310502,2057,49679,125,80181,40,73791,540,10256,90,41277,42,37562,370,6059,24,34314,8,32095,87,5729,388,144891,186,135272,1157,21087,60,42072,12,39624,237,7291,393,177632,153,165434,1504,24869,107,65913,60,61758,641,8658
2021-11-16,95,64410,57,60519,883,9156,92,69620,38,65720,823,11403,54,31455,25,29068,344,5772,158,122355,73,115550,1549,21426,677,333157,334,310836,3526,53205,246,80427,113,73904,1139,11395,95,41372,33,37595,414,6473,93,34407,44,32139,393,6122,326,145217,111,135383,1514,22601,35,42107,17,39641,143,7434,432,178064,170,165604,2023,26892,223,66136,77,61835,707,9365
2021-11-17,58,64468,65,60584,518,9674,125,69745,79,65799,822,12225,115,31570,73,29141,647,6419,347,122702,140,115690,1527,22953,513,333670,377,311213,3664,56869,145,80572,87,73991,716,12111,119,41491,63,37658,435,6908,31,34438,17,32156,274,6396,324,145541,178,135561,1330,23931,98,42205,38,39679,453,7887,333,178397,195,165799,2183,29075,114,66250,43,61878,537,9902
2021-11-18,228,64696,142,60726,1366,11040,136,69881,98,65897,947,13172,39,31609,29,29170,261,6680,314,123016,291,115981,2235,25188,639,334309,387,311600,3638,60507,246,80818,234,74225,1317,13428,89,41580,50,37708,361,7269,61,34499,56,32212,427,6823,362,145903,288,135849,2076,26007,72,42277,69,39748,565,8452,320,178717,187,165986,1573,30648,179,66429,117,61995,746,10648
2021-11-19,182,64878,82,60808,946,11986,128,70009,54,65951,595,13767,56,31665,40,29210,333,7013,100,123116,127,116108,1090,26278,456,334765,345,311945,3048,63555,170,80988,100,74325,855,14283,105,41685,87,37795,454,7723,67,34566,61,32273,447,7270,330,146233,178,136027,1431,27438,153,42430,83,39831,755,9207,345,179062,367,166353,1644,32292,128,66557,99,62094,445,11093
2021-11-20,28,64906,10,60818,136,12122,77,70086,24,65975,310,14077,4,31669,,29210,7,7020,26,123142,15,116123,28,26306,294,335059,189,312134,1491,65046,9,80997,3,74328,9,14292,1,41686,,37795,4,7727,41,34607,12,32285,322,7592,96,146329,26,136053,184,27622,26,42456,23,39854,47,9254,238,179300,68,166421,1276,33568,106,66663,20,62114,197,11290
2021-11-21,3,64909,2,60820,5,12127,,70086,1,65976,3,14080,3,31672,,29210,12,7032,25,123167,6,116129,81,26387,90,335149,50,312184,588,65634,3,81000,,74328,3,14295,,41686,,37795,2,7729,2,34609,,32285,3,7595,4,146333,1,136054,9,27631,,42456,,39854,,9254,88,179388,29,166450,221,33789,1,66664,,62114,1,11291
2021-11-22,27,64936,11,60831,237,12364,95,70181,28,66004,536,14616,17,31689,9,29219,114,7146,109,123276,45,116174,604,26991,271,335420,151,312335,1731,67365,88,81088,29,74357,347,14642,72,41758,31,37826,252,7981,7,34616,5,32290,63,7658,174,146507,38,136092,638,28269,42,42498,16,39870,124,9378,248,179636,78,166528,779,34568,54,66718,30,62144,410,11701
2021-11-23,66,65002,29,60860,386,12750,38,70219,107,66111,537,15153,31,31720,36,29255,148,7294,113,123389,78,116252,297,27288,481,335901,348,312683,2179,69544,134,81222,83,74440,488,15130,57,41815,28,37854,249,8230,54,34670,35,32325,326,7984,205,146712,122,136214,772,29041,28,42526,16,39886,139,9517,253,179889,261,166789,1350,35918,108,66826,169,62313,396,12097
2021-11-24,97,65099,91,60951,511,13261,51,70270,41,66152,553,15706,72,31792,67,29322,395,7689,233,123622,136,116388,1350,28638,298,336199,387,313070,3066,72610,66,81288,74,74514,477,15607,62,41877,79,37933,328,8558,17,34687,12,32337,170,8154,224,146936,175,136389,1691,30732,64,42590,53,39939,364,9881,200,180089,221,167010,1453,37371,71,66897,56,62369,382,12479
2021-11-25,146,65245,173,61124,951,14212,70,70340,83,66235,807,16513,18,31810,35,29357,170,7859,172,123794,326,116714,2114,30752,364,336563,377,313447,2918,75528,157,81445,267,74781,1043,16650,52,41929,62,37995,273,8831,35,34722,33,32370,322,8476,193,147129,357,136746,1284,32016,51,42641,115,40054,331,10212,198,180287,161,167171,1205,38576,87,66984,124,62493,560,13039
2021-11-26,110,65355,88,61212,802,15014,139,70479,120,66355,803,17316,54,31864,32,29389,248,8107,94,123888,81,116795,1087,31839,247,336810,423,313870,2386,77914,100,81545,81,74862,616,17266,54,41983,113,38108,308,9139,49,34771,61,32431,315,8791,209,147338,307,137053,1053,33069,69,42710,142,40196,434,10646,167,180454,431,167602,1237,39813,89,67073,111,62604,347,13386
2021-11-27,27,65382,12,61224,98,15112,21,70500,9,66364,95,17411,5,31869,2,29391,4,8111,24,123912,23,116818,57,31896,214,337024,248,314118,1179,79093,27,81572,8,74870,116,17382,5,41988,1,38109,5,9144,28,34799,24,32455,100,8891,31,147369,26,137079,100,33169,4,42714,42,40238,51,10697,162,180616,130,167732,1021,40834,52,67125,57,62661,220,13606
2021-11-28,3,65385,,61224,2,15114,1,70501,,66364,2,17413,,31869,,29391,,8111,11,123923,7,116825,40,31936,24,337048,31,314149,127,79220,,81572,1,74871,4,17386,,41988,,38109,,9144,,34799,1,32456,,8891,4,147373,3,137082,,33169,,42714,,40238,2,10699,30,180646,35,167767,174,41008,,67125,1,62662,2,13608
2021-11-29,23,65408,14,61238,171,15285,74,70575,122,66486,310,17723,18,31887,66,29457,79,8190,80,124003,100,116925,330,32266,192,337240,380,314529,1501,80721,68,81640,82,74953,335,17721,67,42055,93,38202,248,9392,13,34812,23,32479,42,8933,104,147477,261,137343,614,33783,14,42728,56,40294,125,10824,181,180827,289,168056,687,41695,63,67188,98,62760,416,14024
2021-11-30,49,65457,66,61304,263,15548,59,70634,89,66575,336,18059,23,31910,44,29501,149,8339,78,124081,72,116997,231,32497,401,337641,462,314991,1913,82634,94,81734,118,75071,523,18244,51,42106,55,38257,249,9641,42,34854,89,32568,245,9178,107,147584,195,137538,561,34344,15,42743,20,40314,139,10963,145,180972,324,168380,1089,42784,70,67258,171,62931,430,14454
2021-12-01,50,65507,75,61379,355,15903,16,70650,59,66634,387,18446,39,31949,124,29625,316,8655,150,124231,191,117188,1527,34024,189,337830,453,315444,2122,84756,53,81787,206,75277,338,18582,52,42158,83,38340,259,9900,8,34862,8,32576,107,9285,134,147718,291,137829,1115,35459,23,42766,77,40391,245,11208,151,181123,279,168659,1090,43874,45,67303,81,63012,311,14765
2021-12-02,76,65583,219,61598,751,16654,45,70695,110,66744,367,18813,12,31961,42,29667,95,8750,133,124364,580,117768,1929,35953,203,338033,584,316028,1917,86673,97,81884,172,75449,611,19193,41,42199,67,38407,221,10121,47,34909,73,32649,231,9516,154,147872,477,138306,960,36419,31,42797,129,40520,222,11430,154,181277,206,168865,785,44659,58,67361,165,63177,473,15238
2021-12-03,97,65680,174,61772,665,17319,70,70765,261,67005,771,19584,28,31989,39,29706,173,8923,15,124379,55,117823,214,36167,204,338237,508,316536,1753,88426,97,81981,256,75705,550,19743,53,42252,125,38532,206,10327,24,34933,115,32764,251,9767,128,148000,258,138564,724,37143,55,42852,167,40687,328,11758,151,181428,554,169419,938,45597,52,67413,118,63295,331,15569
2021-12-04,11,65691,13,61785,72,17391,8,70773,34,67039,37,19621,1,31990,2,29708,3,8926,7,124386,22,117845,23,36190,86,338323,220,316756,582,89008,25,82006,56,75761,77,19820,,42252,1,38533,,10327,11,34944,13,32777,63,9830,15,148015,14,138578,81,37224,4,42856,30,40717,48,11806,55,181483,71,169490,211,45808,24,67437,44,63339,210,15779
2021-12-05,,65691,5,61790,,17391,,70773,1,67040,,19621,,31990,,29708,,8926,22,124408,30,117875,43,36233,25,338348,61,316817,100,89108,,82006,6,75767,,19820,,42252,1,38534,,10327,5,34949,3,32780,1,9831,4,148019,1,138579,1,37225,,42856,1,40718,,11806,16,181499,31,169521,50,45858,,67437,,63339,1,15780
2021-12-06,14,65705,26,61816,116,17507,55,70828,72,67112,378,19999,10,32000,22,29730,50,8976,49,124457,176,118051,372,36605,154,338502,442,317259,1036,90144,29,82035,64,75831,168,19988,47,42299,120,38654,220,10547,,34949,23,32803,47,9878,95,148114,402,138981,494,37719,21,42877,68,40786,78,11884,112,181611,355,169876,476,46334,26,67463,109,63448,328,16108
2021-12-07,33,65738,62,61878,218,17725,30,70858,84,67196,290,20289,10,32010,47,29777,87,9063,37,124494,100,118151,267,36872,187,338689,545,317804,1334,91478,55,82090,132,75963,320,20308,26,42325,61,38715,170,10717,33,34982,77,32880,182,10060,76,148190,226,139207,403,38122,4,42881,27,40813,174,12058,132,181743,404,170280,865,47199,55,67518,222,63670,299,16407
2021-12-08,32,65770,75,61953,210,17935,22,70880,105,67301,274,20563,26,32036,127,29904,238,9301,119,124613,241,118392,931,37803,105,338794,532,318336,1473,92951,41,82131,273,76236,289,20597,40,42365,107,38822,225,10942,15,34997,22,32902,149,10209,91,148281,233,139440,633,38755,23,42904,105,40918,210,12268,136,181879,353,170633,876,48075,32,67550,113,63783,259,16666
2021-12-09,73,65843,272,62225,679,18614,47,70927,150,67451,572,21135,9,32045,34,29938,89,9390,113,124726,521,118913,1361,39164,154,338948,577,318913,1301,94252,56,82187,201,76437,430,21027,21,42386,81,38903,142,11084,34,35031,66,32968,148,10357,106,148387,487,139927,622,39377,16,42920,78,40996,122,12390,73,181952,207,170840,443,48518,39,67589,164,63947,280,16946
2021-12-10,42,65885,129,62354,371,18985,68,70995,139,67590,525,21660,9,32054,53,29991,151,9541,19,124745,109,119022,197,39361,136,339084,561,319474,1427,95679,32,82219,235,76672,338,21365,17,42403,165,39068,166,11250,16,35047,94,33062,211,10568,82,148469,364,140291,638,40015,36,42956,163,41159,421,12811,78,182030,648,171488,607,49125,25,67614,130,64077,289,17235
2021-12-11,11,65896,41,62395,34,19019,4,70999,25,67615,66,21726,,32054,4,29995,2,9543,7,124752,15,119037,11,39372,46,339130,192,319666,304,95983,,82219,13,76685,3,21368,,42403,7,39075,,11250,1,35048,2,33064,6,10574,10,148479,79,140370,101,40116,1,42957,20,41179,23,12834,43,182073,75,171563,244,49369,12,67626,55,64132,151,17386
2021-12-12,1,65897,,62395,1,19020,,70999,,67615,1,21727,,32054,,29995,,9543,5,124757,25,119062,21,39393,7,339137,33,319699,69,96052,,82219,1,76686,,21368,,42403,,39075,,11250,,35048,,33064,,10574,,148479,2,140372,,40116,,42957,,41179,,12834,6,182079,22,171585,38,49407,1,67627,,64132,,17386
2021-12-13,11,65908,25,62420,146,19166,24,71023,125,67740,171,21898,4,32058,19,30014,49,9592,31,124788,93,119155,260,39653,111,339248,286,319985,763,96815,30,82249,72,76758,179,21547,25,42428,73,39148,161,11411,5,35053,19,33083,44,10618,69,148548,229,140601,468,40584,7,42964,44,41223,74,12908,92,182171,252,171837,518,49925,15,67642,65,64197,209,17595
2021-12-14,17,65925,32,62452,146,19312,20,71043,37,67777,223,22121,8,32066,32,30046,118,9710,11,124799,45,119200,160,39813,167,339415,373,320358,1309,98124,46,82295,115,76873,378,21925,22,42450,54,39202,174,11585,16,35069,57,33140,182,10800,47,148595,162,140763,487,41071,13,42977,25,41248,116,13024,98,182269,256,172093,903,50828,43,67685,169,64366,311,17906
2021-12-15,30,65955,84,62536,302,19614,23,71066,51,67828,273,22394,22,32088,86,30132,279,9989,100,124899,249,119449,937,40750,152,339567,396,320754,1855,99979,26,82321,150,77023,321,22246,31,42481,84,39286,279,11864,9,35078,11,33151,114,10914,120,148715,240,141003,1015,42086,21,42998,64,41312,227,13251,120,182389,215,172308,949,51777,26,67711,68,64434,258,18164
2021-12-16,57,66012,195,62731,487,20101,31,71097,71,67899,432,22826,11,32099,26,30158,144,10133,81,124980,298,119747,1103,41853,259,339826,362,321116,1538,101517,58,82379,144,77167,574,22820,20,42501,78,39364,195,12059,13,35091,52,33203,237,11151,99,148814,313,141316,1012,43098,16,43014,63,41375,276,13527,100,182489,200,172508,1002,52779,37,67748,113,64547,463,18627
2021-12-17,36,66048,94,62825,409,20510,71,71168,155,68054,675,23501,15,32114,33,30191,126,10259,18,124998,56,119803,143,41996,146,339972,369,321485,1720,103237,47,82426,132,77299,430,23250,27,42528,82,39446,267,12326,22,35113,78,33281,180,11331,52,148866,132,141448,478,43576,21,43035,74,41449,346,13873,135,182624,457,172965,995,53774,48,67796,99,64646,379,19006
2021-12-18,13,66061,17,62842,63,20573,3,71171,11,68065,68,23569,2,32116,,30191,2,10261,3,125001,6,119809,26,42022,58,340030,125,321610,520,103757,7,82433,35,77334,27,23277,,42528,,39446,2,12328,1,35114,7,33288,74,11405,20,148886,8,141456,7,43583,2,43037,7,41456,32,13905,37,182661,61,173026,249,54023,20,67816,33,64679,152,19158
2021-12-19,32,66093,23,62865,345,20918,32,71203,10,68075,386,23955,11,32127,10,30201,202,10463,69,125070,83,119892,1107,43129,126,340156,172,321782,1924,105681,27,82460,32,77366,389,23666,33,42561,18,39464,290,12618,15,35129,19,33307,240,11645,69,148955,95,141551,749,44332,18,43055,5,41461,181,14086,58,182719,70,173096,675,54698,20,67836,23,64702,351,19509
2021-12-20,43,66136,52,62917,651,21569,65,71268,111,68186,647,24602,30,32157,35,30236,402,10865,88,125158,148,120040,1488,44617,279,340435,431,322213,3564,109245,66,82526,108,77474,787,24453,59,42620,101,39565,425,13043,30,35159,51,33358,362,12007,130,149085,179,141730,1523,45855,26,43081,32,41493,467,14553,191,182910,254,173350,1886,56584,88,67924,92,64794,1043,20552
2021-12-21,63,66199,60,62977,657,22226,60,71328,76,68262,812,25414,20,32177,39,30275,332,11197,95,125253,171,120211,1447,46064,306,340741,510,322723,3781,113026,120,82646,160,77634,960,25413,69,42689,69,39634,463,13506,32,35191,64,33422,417,12424,145,149230,151,141881,1635,47490,34,43115,35,41528,466,15019,174,183084,232,173582,2034,58618,88,68012,107,64901,876,21428
2021-12-22,50,66249,86,63063,826,23052,78,71406,63,68325,1012,26426,40,32217,88,30363,496,11693,138,125391,190,120401,1662,47726,332,341073,485,323208,3923,116949,104,82750,136,77770,1070,26483,73,42762,86,39720,559,14065,45,35236,35,33457,436,12860,189,149419,181,142062,1661,49151,47,43162,33,41561,589,15608,214,183298,230,173812,2248,60866,57,68069,70,64971,777,22205
2021-12-23,86,66335,155,63218,913,23965,70,71476,100,68425,844,27270,24,32241,37,30400,466,12159,241,125632,234,120635,1963,49689,503,341576,464,323672,3838,120787,127,82877,149,77919,1057,27540,60,42822,102,39822,485,14550,36,35272,64,33521,421,13281,157,149576,320,142382,2161,51312,35,43197,51,41612,612,16220,187,183485,203,174015,1857,62723,55,68124,96,65067,893,23098
2021-12-24,18,66353,66,63284,201,24166,28,71504,35,68460,100,27370,8,32249,12,30412,48,12207,6,125638,10,120645,69,49758,70,341646,119,323791,899,121686,7,82884,67,77986,122,27662,3,42825,30,39852,51,14601,15,35287,9,33530,53,13334,10,149586,28,142410,85,51397,7,43204,6,41618,65,16285,62,183547,114,174129,564,63287,28,68152,50,65117,312,23410
2021-12-25,,66353,,63284,,24166,,71504,,68460,,27370,,32249,,30412,,12207,,125638,,120645,,49758,,341646,,323791,,121686,,82884,,77986,,27662,,42825,,39852,,14601,,35287,,33530,,13334,,149586,,142410,,51397,,43204,,41618,,16285,,183547,,174129,,63287,,68152,,65117,,23410
2021-12-26,1,66354,,63284,,24166,1,71505,,68460,1,27371,,32249,2,30414,,12207,9,125647,1,120646,19,49777,14,341660,31,323822,159,121845,,82884,,77986,1,27663,,42825,,39852,,14601,,35287,,33530,,13334,,149586,,142410,3,51400,,43204,,41618,3,16288,,183547,,174129,1,63288,,68152,,65117,,23410
2021-12-27,11,66365,39,63323,159,24325,6,71511,17,68477,121,27492,6,32255,13,30427,53,12260,33,125680,44,120690,289,50066,113,341773,201,324023,1457,123302,46,82930,62,78048,298,27961,23,42848,59,39911,194,14795,7,35294,11,33541,106,13440,55,149641,119,142529,502,51902,6,43210,20,41638,109,16397,88,183635,165,174294,1177,64465,43,68195,62,65179,437,23847
2021-12-28,22,66387,38,63361,232,24557,7,71518,21,68498,62,27554,8,32263,12,30439,43,12303,31,125711,44,120734,206,50272,190,341963,233,324256,1936,125238,63,82993,109,78157,442,28403,11,42859,27,39938,150,14945,20,35314,47,33588,186,13626,73,149714,108,142637,611,52513,26,43236,41,41679,371,16768,93,183728,346,174640,1076,65541,44,68239,99,65278,548,24395
2021-12-29,19,66406,30,63391,198,24755,19,71537,37,68535,219,27773,12,32275,39,30478,138,12441,17,125728,52,120786,226,50498,108,342071,206,324462,1486,126724,38,83031,53,78210,331,28734,15,42874,36,39974,168,15113,7,35321,14,33602,101,13727,56,149770,91,142728,511,53024,23,43259,41,41720,276,17044,73,183801,165,174805,856,66397,30,68269,61,65339,349,24744
2021-12-30,35,66441,65,63456,234,24989,24,71561,34,68569,186,27959,2,32277,4,30482,33,12474,42,125770,99,120885,553,51051,188,342259,168,324630,1049,127773,67,83098,65,78275,279,29013,25,42899,45,40019,192,15305,18,35339,33,33635,162,13889,38,149808,79,142807,460,53484,9,43268,36,41756,201,17245,110,183911,95,174900,574,66971,27,68296,63,65402,350,25094
2021-12-31,7,66448,11,63467,59,25048,2,71563,18,68587,3,27962,1,32278,,30482,21,12495,1,125771,3,120888,25,51076,36,342295,63,324693,375,128148,6,83104,5,78280,37,29050,1,42900,4,40023,8,15313,2,35341,2,33637,12,13901,2,149810,9,142816,27,53511,,43268,2,41758,30,17275,34,183945,53,174953,268,67239,7,68303,16,65418,101,25195
2022-01-01,,66448,,63467,,25048,,71563,,68587,,27962,,32278,,30482,,12495,,125771,,120888,,51076,,342295,,324693,,128148,,83104,,78280,,29050,,42900,,40023,,15313,,35341,,33637,,13901,,149810,,142816,,53511,,43268,,41758,,17275,,183945,,174953,1,67240,,68303,,65418,,25195
2022-01-02,,66448,,63467,1,25049,,71563,,68587,,27962,,32278,,30482,1,12496,1,125772,2,120890,5,51081,10,342305,15,324708,87,128235,,83104,,78280,,29050,,42900,,40023,,15313,,35341,,33637,3,13904,,149810,,142816,,53511,,43268,,41758,,17275,,183945,,174953,,67240,,68303,,65418,,25195
2022-01-03,13,66461,28,63495,98,25147,35,71598,91,68678,332,28294,12,32290,13,30495,84,12580,25,125797,86,120976,329,51410,94,342399,197,324905,1246,129481,28,83132,51,78331,152,29202,21,42921,33,40056,143,15456,9,35350,18,33655,55,13959,68,149878,159,142975,576,54087,4,43272,15,41773,81,17356,77,184022,121,175074,692,67932,31,68334,35,65453,376,25571
2022-01-04,14,66475,22,63517,265,25412,19,71617,34,68712,323,28617,12,32302,24,30519,108,12688,29,125826,36,121012,146,51556,198,342597,238,325143,1891,131372,68,83200,87,78418,382,29584,14,42935,68,40124,184,15640,23,35373,29,33684,218,14177,33,149911,60,143035,543,54630,12,43284,21,41794,240,17596,94,184116,167,175241,1154,69086,38,68372,67,65520,557,26128
2022-01-05,19,66494,53,63570,295,25707,69,71686,63,68775,528,29145,53,32355,47,30566,283,12971,65,125891,140,121152,1168,52724,160,342757,302,325445,2075,133447,38,83238,74,78492,526,30110,42,42977,67,40191,301,15941,5,35378,11,33695,137,14314,85,149996,181,143216,1496,56126,36,43320,30,41824,358,17954,87,184203,141,175382,1229,70315,34,68406,32,65552,397,26525
2022-01-06,52,66546,126,63696,588,26295,39,71725,45,68820,525,29670,19,32374,18,30584,172,13143,122,126013,180,121332,1481,54205,293,343050,368,325813,2321,135768,56,83294,100,78592,599,30709,21,42998,52,40243,310,16251,37,35415,40,33735,238,14552,69,150065,150,143366,1270,57396,21,43341,44,41868,421,18375,97,184300,154,175536,1373,71688,63,68469,61,65613,774,27299
2022-01-07,45,66591,61,63757,562,26857,64,71789,115,68935,977,30647,16,32390,34,30618,243,13386,21,126034,32,121364,242,54447,117,343167,311,326124,2375,138143,38,83332,104,78696,631,31340,35,43033,60,40303,302,16553,22,35437,44,33779,306,14858,45,150110,102,143468,717,58113,33,43374,37,41905,542,18917,102,184402,268,175804,1504,73192,49,68518,63,65676,619,27918
2022-01-08,3,66594,13,63770,55,26912,7,71796,3,68938,81,30728,,32390,2,30620,6,13392,7,126041,10,121374,40,54487,54,343221,104,326228,688,138831,1,83333,1,78697,11,31351,3,43036,2,40305,3,16556,,35437,2,33781,8,14866,1,150111,20,143488,9,58122,3,43377,3,41908,42,18959,9,184411,5,175809,25,73217,18,68536,30,65706,150,28068
2022-01-09,1,66595,,63770,3,26915,,71796,,68938,1,30729,,32390,,30620,3,13395,3,126044,10,121384,45,54532,12,343233,36,326264,216,139047,,83333,,78697,3,31354,,43036,1,40306,,16556,1,35438,,33781,1,14867,,150111,2,143490,5,58127,,43377,,41908,,18959,,184411,,175809,3,73220,,68536,,65706,,28068
2022-01-10,15,66610,28,63798,138,27053,9,71805,27,68965,217,30946,21,32411,25,30645,121,13516,16,126060,67,121451,366,54898,82,343315,246,326510,1562,140609,25,83358,59,78756,263,31617,20,43056,86,40392,209,16765,10,35448,20,33801,166,15033,52,150163,155,143645,680,58807,7,43384,14,41922,94,19053,89,184500,192,176001,817,74037,25,68561,53,65759,329,28397
2022-01-11,28,66638,27,63825,296,27349,23,71828,71,69036,275,31221,6,32417,24,30669,86,13602,26,126086,32,121483,149,55047,174,343489,287,326797,1662,142271,34,83392,134,78890,366,31983,15,43071,74,40466,172,16937,14,35462,44,33845,213,15246,56,150219,124,143769,650,59457,11,43395,12,41934,221,19274,76,184576,183,176184,852,74889,44,68605,118,65877,510,28907
2022-01-12,12,66650,40,63865,227,27576,35,71863,60,69096,305,31526,16,32433,51,30720,174,13776,23,126109,63,121546,560,55607,131,343620,325,327122,1597,143868,30,83422,91,78981,303,32286,29,43100,58,40524,201,17138,6,35468,15,33860,68,15314,76,150295,172,143941,900,60357,25,43420,30,41964,249,19523,65,184641,165,176349,918,75807,27,68632,59,65936,319,29226
2022-01-13,85,66735,144,64009,875,28451,49,71912,107,69203,951,32477,22,32455,40,30760,207,13983,121,126230,333,121879,1814,57421,258,343878,585,327707,3134,147002,64,83486,155,79136,874,33160,37,43137,96,40620,390,17528,25,35493,69,33929,386,15700,125,150420,285,144226,1707,62064,26,43446,52,42016,638,20161,106,184747,201,176550,1434,77241,55,68687,102,66038,716,29942
