date,region.ce.cases.active,region.ce.cases.confirmed.todate,region.ce.deceased.todate,region.ce.vaccinated.1st.todate,region.ce.vaccinated.2nd.todate,region.ce.vaccinated.3rd.todate,region.foreign.cases.active,region.foreign.cases.confirmed.todate,region.foreign.deceased.todate,region.kk.cases.active,region.kk.cases.confirmed.todate,region.kk.deceased.todate,region.kk.vaccinated.1st.todate,region.kk.vaccinated.2nd.todate,region.kk.vaccinated.3rd.todate,region.kp.cases.active,region.kp.cases.confirmed.todate,region.kp.deceased.todate,region.kp.vaccinated.1st.todate,region.kp.vaccinated.2nd.todate,region.kp.vaccinated.3rd.todate,region.kr.cases.active,region.kr.cases.confirmed.todate,region.kr.deceased.todate,region.kr.vaccinated.1st.todate,region.kr.vaccinated.2nd.todate,region.kr.vaccinated.3rd.todate,region.lj.cases.active,region.lj.cases.confirmed.todate,region.lj.deceased.todate,region.lj.vaccinated.1st.todate,region.lj.vaccinated.2nd.todate,region.lj.vaccinated.3rd.todate,region.mb.cases.active,region.mb.cases.confirmed.todate,region.mb.deceased.todate,region.mb.vaccinated.1st.todate,region.mb.vaccinated.2nd.todate,region.mb.vaccinated.3rd.todate,region.ms.cases.active,region.ms.cases.confirmed.todate,region.ms.deceased.todate,region.ms.vaccinated.1st.todate,region.ms.vaccinated.2nd.todate,region.ms.vaccinated.3rd.todate,region.ng.cases.active,region.ng.cases.confirmed.todate,region.ng.deceased.todate,region.ng.vaccinated.1st.todate,region.ng.vaccinated.2nd.todate,region.ng.vaccinated.3rd.todate,region.nm.cases.active,region.nm.cases.confirmed.todate,region.nm.deceased.todate,region.nm.vaccinated.1st.todate,region.nm.vaccinated.2nd.todate,region.nm.vaccinated.3rd.todate,region.po.cases.active,region.po.cases.confirmed.todate,region.po.deceased.todate,region.po.vaccinated.1st.todate,region.po.vaccinated.2nd.todate,region.po.vaccinated.3rd.todate,region.sg.cases.active,region.sg.cases.confirmed.todate,region.sg.deceased.todate,region.sg.vaccinated.1st.todate,region.sg.vaccinated.2nd.todate,region.sg.vaccinated.3rd.todate,region.unknown.cases.active,region.unknown.cases.confirmed.todate,region.unknown.deceased.todate,region.za.cases.active,region.za.cases.confirmed.todate,region.za.deceased.todate,region.za.vaccinated.1st.todate,region.za.vaccinated.2nd.todate,region.za.vaccinated.3rd.todate
2020-12-17,3117,14329,266,,,,69,473,1,1127,3684,92,,,,861,3159,67,,,,1610,12368,259,,,,3842,24997,525,,,,3512,16083,465,,,,1530,7678,275,,,,804,3752,135,,,,2079,7756,188,,,,490,2166,62,,,,799,4426,133,,,,18,58,,566,2665,46,,,
2020-12-18,3073,14532,270,,,,59,475,1,1095,3732,94,,,,807,3218,69,,,,1578,12470,260,,,,3844,25265,535,,,,3404,16308,473,,,,1545,7791,279,,,,786,3812,139,,,,2134,7946,192,,,,474,2211,62,,,,792,4474,135,,,,24,65,,592,2725,47,,,
2020-12-19,3028,14628,274,,,,58,478,1,1125,3790,94,,,,805,3221,71,,,,1568,12517,261,,,,3883,25467,546,,,,3389,16549,483,,,,1504,7870,282,,,,734,3823,142,,,,2130,8025,194,,,,458,2214,65,,,,755,4519,136,,,,28,69,,591,2736,47,,,
2020-12-20,2995,14655,275,,,,54,479,1,1104,3804,97,,,,806,3223,74,,,,1558,12530,264,,,,3879,25544,551,,,,3390,16666,488,,,,1501,7936,285,,,,738,3832,144,,,,2145,8062,194,,,,461,2218,67,,,,720,4541,136,,,,28,69,,593,2743,47,,,
2020-12-21,3042,14889,280,,,,51,481,1,1035,3876,98,,,,853,3347,77,,,,1523,12641,264,,,,3803,25874,564,,,,3354,16836,498,,,,1531,8048,287,,,,711,3872,147,,,,2176,8253,199,,,,461,2272,68,,,,741,4601,137,,,,34,75,,578,2788,48,,,
2020-12-22,3091,15210,284,,,,46,483,1,1067,4012,99,,,,860,3453,79,,,,1479,12783,268,,,,3814,26278,569,,,,3398,17167,506,,,,1462,8168,288,,,,686,3964,152,,,,2193,8560,199,,,,450,2326,71,,,,737,4666,140,,,,47,88,,580,2852,49,,,
2020-12-23,3044,15560,290,,,,45,488,1,1108,4145,99,,,,854,3517,86,,,,1503,12930,270,,,,3911,26679,572,,,,3363,17545,512,,,,1468,8296,292,,,,738,4037,152,,,,2263,8771,201,,,,448,2359,71,,,,718,4746,141,,,,49,91,,610,2910,50,,,
2020-12-24,3004,15797,298,,,,40,490,1,1162,4325,102,,,,838,3574,91,,,,1493,13054,273,,,,3975,27076,576,,,,3418,17845,518,,,,1440,8403,294,,,,729,4109,153,,,,2219,8941,203,,,,426,2383,72,,,,729,4828,141,,,,52,96,,593,2965,50,,,
2020-12-25,2723,15816,300,,,,33,490,1,1061,4336,103,,,,765,3578,92,,,,1382,13090,274,,,,3777,27178,584,,,,3177,17920,529,,,,1399,8466,297,,,,658,4118,154,,,,2078,8965,207,,,,384,2386,72,,,,701,4845,142,,,,55,99,,544,2968,50,,,
2020-12-26,2670,15899,303,,,,34,493,1,1085,4391,105,,,,760,3585,94,,,,1338,13136,275,,,,3745,27321,592,,,,3100,17995,532,,,,1344,8495,300,,,,668,4159,156,,,,2063,9027,209,,,,379,2389,73,,,,733,4908,142,,,,55,99,,552,2981,50,,,
2020-12-27,2675,15920,307,850,,,33,494,1,1087,4407,106,256,,,758,3588,98,353,,,1352,13163,278,646,,,3808,27468,601,1666,,,3111,18147,543,840,,,1383,8588,305,506,,,672,4167,157,405,,,2038,9060,213,327,,,381,2393,74,183,,,715,4926,145,61,,,56,100,,557,2990,52,104,,
2020-12-28,2693,16177,311,987,,,38,500,1,1153,4570,106,377,,,821,3725,102,376,,,1394,13334,281,723,,,3918,27929,613,2105,,,3191,18413,550,1107,,,1372,8669,310,748,,,645,4229,160,432,,,2104,9265,217,464,,,421,2470,76,215,,,729,4976,145,112,,,59,105,,548,3041,52,236,,
2020-12-29,2576,16452,315,1361,,,40,505,1,1223,4716,108,448,,,873,3881,104,376,,,1387,13507,281,804,,,4075,28414,625,2190,,,3250,18748,554,1454,,,1393,8854,313,899,,,659,4317,160,454,,,2087,9539,220,466,,,432,2551,76,220,,,753,5100,146,126,,,64,112,,592,3137,52,408,,
2020-12-30,2753,16862,320,1385,,,36,506,1,1219,4836,109,467,,,881,3978,105,390,,,1453,13719,282,838,,,4272,28942,630,2216,,,3305,19054,559,1608,,,1413,8988,319,966,,,736,4447,160,460,,,2179,9791,223,513,,,422,2566,76,228,,,836,5230,146,148,,,70,120,,610,3223,53,408,,
2020-12-31,2773,17102,332,1400,,,36,509,1,1288,4972,113,473,,,872,4031,107,404,,,1456,13824,284,1051,,,4291,29288,639,2721,,,3254,19337,561,2051,,,1454,9132,322,1124,,,805,4557,161,773,,,2222,9978,225,545,,,420,2586,76,237,,,893,5319,148,291,,,70,128,,606,3271,56,414,,
2021-01-01,2622,17154,334,1403,,,35,510,1,1258,4990,113,473,,,824,4042,109,415,,,1390,13860,287,1123,,,4134,29399,654,2758,,,3110,19418,565,2052,,,1379,9170,326,1124,,,755,4567,161,775,,,2049,9995,227,565,,,375,2586,77,237,,,861,5335,148,294,,,64,129,,553,3278,58,416,,
2021-01-02,2631,17259,339,1632,,,37,515,1,1269,5059,114,476,,,826,4047,110,415,,,1423,13940,287,1167,,,4043,29510,663,2801,,,2966,19515,573,2121,,,1390,9260,327,1126,,,806,4629,161,775,,,2041,10066,233,565,,,374,2588,79,237,,,864,5383,149,304,,,63,132,,556,3292,59,419,,
2021-01-03,2660,17315,345,1885,,,36,515,1,1343,5147,115,483,,,834,4057,110,418,,,1466,13996,289,1266,,,4176,29720,675,2963,,,2959,19625,576,2131,,,1413,9349,331,1129,1,,825,4657,163,777,,,2071,10133,234,570,,,372,2590,80,238,,,873,5414,150,306,,,66,135,,565,3308,60,427,,
2021-01-04,2797,17686,349,1943,,,39,520,1,1489,5365,117,489,,,821,4168,111,454,,,1584,14225,289,1341,,,4375,30249,684,3509,,,3131,19967,581,2375,,,1416,9464,332,1132,1,,924,4796,165,814,,,2199,10452,238,592,,,385,2657,80,245,,,883,5484,151,336,,,69,144,,601,3389,61,452,,
2021-01-05,2968,18178,352,2067,,,37,520,1,1609,5621,119,492,,,882,4335,111,689,,,1729,14512,291,1523,,,4765,31043,692,4308,,,3161,20328,593,2969,,,1516,9684,334,1174,1,,983,4947,165,1156,,,2244,10804,243,632,,,390,2716,81,332,,,981,5647,152,406,,,76,164,,643,3495,62,471,,
2021-01-06,3092,18652,355,2687,1,,34,522,1,1629,5774,120,629,,,962,4479,112,1223,,,1782,14712,293,1851,,,4933,31612,694,6054,,,3103,20648,599,3635,,,1563,9859,336,1454,1,,1066,5103,166,1386,,,2233,11004,244,924,,,425,2784,81,453,,,1034,5780,155,623,,,81,172,,680,3590,64,685,,
2021-01-07,3099,18896,356,3353,1,,32,522,1,1564,5889,122,813,,,1003,4577,113,1528,,,1825,14879,295,2452,,,4981,32057,699,7532,,,3146,20991,605,4125,,,1585,9988,336,1707,1,,1173,5282,171,1724,,,2217,11158,248,1331,,,447,2830,82,548,,,1050,5878,156,998,,,89,185,,678,3643,65,960,,
2021-01-08,3350,19166,362,3737,1,,33,523,1,1677,6013,122,889,,,1082,4660,114,1599,,,1944,15034,296,2713,,,5332,32510,706,8861,1,,3317,21237,612,4522,,,1604,10070,336,1907,1,,1294,5412,174,1824,,,2341,11306,250,1533,,,494,2880,82,581,,,1094,5939,157,1087,,,94,193,,726,3694,65,1080,,
2021-01-09,3352,19251,366,3738,1,,31,524,1,1664,6055,123,890,,,1082,4667,115,1604,,,1967,15103,297,2728,,,5336,32657,715,9036,1,,3372,21367,622,4525,,,1636,10131,337,1941,1,,1368,5527,176,1824,,,2348,11375,253,1542,,,494,2883,82,582,,,1057,5965,158,1087,,,99,198,,717,3698,65,1090,,
2021-01-10,3353,19273,368,3738,1,,33,527,1,1666,6073,125,890,,,1081,4669,115,1604,,,1962,15125,297,2728,,,5282,32750,722,9036,1,,3335,21482,625,4526,,,1594,10182,339,1941,1,,1387,5554,177,1824,,,2335,11395,255,1542,,,490,2883,82,582,,,1072,5998,159,1087,,,104,204,,722,3712,65,1090,,
2021-01-11,3400,19577,375,3747,1,,31,531,1,1608,6178,126,893,,,1038,4763,115,1610,,,1960,15294,301,2777,,,5146,33075,727,9374,1,,3372,21785,632,4533,,,1621,10290,342,1941,1,,1457,5686,177,1837,,,2276,11541,256,1562,,,476,2946,83,592,,,1075,6051,159,1089,,,136,241,,738,3779,65,1116,,
2021-01-12,3428,19880,379,3845,1,,29,534,1,1556,6272,128,917,,,984,4865,115,2011,,,1994,15501,301,2792,,,5145,33559,731,10002,1,,3280,22028,634,4792,,,1571,10425,345,1954,1,,1543,5860,178,1977,,,2198,11737,260,1795,,,429,2980,83,644,,,1027,6127,162,1101,,,138,250,,687,3824,65,1121,,
2021-01-13,3243,20105,380,4634,2,,40,546,1,1530,6366,129,1187,1,,969,4947,115,2494,,,1946,15665,301,3016,,,5097,34039,736,11053,1,,3255,22309,638,5726,,,1552,10540,346,2243,1,,1506,5953,179,2120,,,2069,11860,264,1983,,,454,3020,83,742,,,947,6177,164,1295,,,139,259,,641,3864,65,1188,,
2021-01-14,3208,20310,383,5492,2,,40,549,1,1474,6446,131,1482,1,,985,5016,116,2713,,,1977,15801,304,4005,,,5123,34411,738,12466,1,,3190,22527,647,6518,,,1467,10599,347,2577,1,,1510,6067,181,2603,,,1992,11970,265,2494,,,478,3064,84,959,1,,901,6220,164,1803,,,139,267,,633,3904,65,1315,,
2021-01-15,3333,20487,383,6111,8,,42,552,1,1540,6530,134,1667,3,,1045,5087,117,2760,,,2082,15942,307,4583,,,5321,34720,746,13878,2,,3322,22740,648,7122,135,,1510,10680,350,3032,5,,1576,6143,188,2879,,,2107,12102,266,2724,,,528,3114,84,1011,1,,939,6274,166,1851,,,265,394,,658,3936,66,1550,,
2021-01-16,3278,20537,387,6111,8,,40,555,1,1495,6554,136,1667,3,,1047,5094,118,2761,,,2045,15985,309,4584,,,5370,34880,753,13878,2,,3326,22841,657,7443,135,,1470,10730,351,3033,5,,1583,6212,191,2879,,,2086,12152,268,2724,,,526,3114,84,1011,1,,898,6281,168,1852,,,266,398,,651,3943,67,1550,,
2021-01-17,3231,20546,394,6111,8,,40,555,1,1418,6565,138,1667,4,,1046,5103,119,2761,,,2020,16016,313,4584,,,5232,34952,758,13879,2,,3295,22920,662,7443,135,,1408,10757,352,3033,5,,1573,6230,194,2881,,,2043,12176,270,2724,,,525,3115,84,1011,1,,879,6293,169,1852,,,264,399,,641,3949,67,1550,,
2021-01-18,3120,20806,397,6116,18,,37,557,1,1311,6676,140,1670,5,,1039,5207,119,2761,1,,1938,16163,314,4586,11,,5109,35358,764,13902,125,,3133,23100,667,7446,136,,1382,10846,353,3034,6,,1535,6331,195,2881,3,,1864,12316,275,2727,7,,508,3165,84,1012,1,,852,6336,169,1852,2,,258,402,,631,4020,71,1552,5,
2021-01-19,2827,21005,401,6139,67,,41,561,1,1138,6759,144,1672,9,,990,5325,122,2775,200,,1824,16336,316,4599,20,,4699,35742,766,14155,619,,3001,23329,672,7565,590,,1265,10949,354,3047,254,,1527,6474,196,2944,106,,1636,12440,277,2737,9,,506,3222,84,1029,47,,729,6376,169,1858,38,,240,404,,584,4079,72,1563,7,
2021-01-20,2534,21186,407,6423,651,,43,565,1,1078,6852,147,1698,205,,931,5410,122,2866,322,,1743,16455,316,4653,246,,4480,36092,771,14514,1682,,2870,23518,677,7687,1152,,1200,11059,357,3067,524,,1479,6582,197,2976,292,,1571,12575,279,2842,271,,464,3248,85,1073,192,,615,6395,169,1897,108,,233,405,,527,4117,75,1578,126,
2021-01-21,2452,21348,410,6571,1037,,47,569,1,1016,6905,147,1761,379,,946,5523,122,2874,393,,1685,16564,318,4765,927,,4327,36384,776,14910,2405,,2728,23719,681,7864,1571,,1144,11132,357,3167,930,,1455,6737,202,3072,585,,1558,12716,283,2885,416,,464,3294,85,1078,210,,553,6431,169,1948,265,,221,406,,549,4192,76,1667,143,
2021-01-22,2357,21523,411,6780,1312,,50,573,1,967,6980,150,1784,381,,968,5628,123,2888,393,,1683,16717,318,4843,1081,,4217,36727,783,15011,2519,,2691,23928,688,8350,1792,,1148,11218,358,3220,1009,,1439,6851,206,3163,611,,1545,12851,284,2932,446,,462,3342,85,1087,212,,513,6452,170,1985,302,,219,412,,545,4239,77,1706,199,
2021-01-23,2317,21568,414,6802,1533,,51,575,1,941,6996,153,1785,384,,972,5639,124,2889,393,,1667,16770,322,4862,1226,,4201,36858,790,15013,2561,,2675,24042,694,8421,1860,,1145,11276,360,3333,1012,,1366,6893,207,3164,611,,1517,12892,285,2932,446,,460,3343,85,1087,212,,507,6472,172,1985,304,,214,412,,548,4246,77,1707,203,
2021-01-24,2314,21587,414,6802,1537,,48,575,1,928,7001,154,1785,384,,978,5647,126,2889,393,,1672,16797,325,4862,1226,,4203,36953,792,15015,2562,,2626,24108,695,8421,1861,,1113,11295,364,3333,1012,,1357,6911,213,3164,611,,1516,12911,288,2932,446,,462,3345,85,1087,212,,486,6484,173,1985,304,,209,413,,540,4252,78,1722,332,
2021-01-25,2274,21851,418,6802,1537,,49,580,1,922,7100,154,1785,385,,1014,5777,127,2889,393,,1670,16964,327,4862,1226,,4198,37273,798,15015,2562,,2559,24344,698,8423,1864,,1073,11363,366,3333,1012,,1354,7040,216,3164,611,,1497,13038,289,2933,446,,437,3383,86,1087,212,,474,6525,173,1985,304,,173,414,,530,4309,78,1722,333,
2021-01-26,2183,22063,418,6804,1653,,48,582,1,923,7195,154,1786,392,,1033,5898,129,2891,567,,1658,17159,329,4864,1291,,4216,37775,804,15059,3180,,2482,24510,703,8445,2252,,1050,11475,368,3334,1041,,1319,7179,219,3166,833,,1464,13201,289,2935,466,,442,3422,86,1088,245,,436,6563,175,1986,357,,195,445,,547,4371,80,1722,357,
2021-01-27,2128,22233,422,6812,2202,,42,588,1,896,7262,156,1796,517,,1047,5994,130,2899,1012,,1628,17293,329,4885,1699,,4101,38140,805,15128,4465,,2442,24751,705,8490,3072,,1026,11566,369,3345,1318,,1357,7310,221,3191,1062,,1474,13334,291,2966,692,,439,3459,87,1099,385,,417,6594,175,1990,514,,189,448,,543,4407,80,1744,545,
2021-01-28,2068,22378,425,6849,3038,,42,591,1,862,7308,158,1808,686,,1066,6082,132,2963,1410,,1609,17410,331,4946,2178,,4038,38449,808,15213,6007,,2428,24955,713,8550,3712,,1050,11649,369,3364,1598,,1333,7400,222,3215,1476,,1476,13446,294,3064,1103,,425,3489,88,1109,481,,411,6631,175,2013,841,,182,449,,543,4447,81,1773,752,
2021-01-29,2012,22499,427,6935,3550,,41,593,1,860,7390,160,1815,773,,1087,6174,136,3006,1519,,1603,17545,332,4967,2467,,4043,38763,811,15336,7851,,2379,25119,716,8704,4075,,1073,11753,373,3373,1705,,1315,7458,222,3245,1631,,1467,13569,294,3087,1328,,417,3531,88,1119,532,,389,6663,176,2022,974,,57,451,,542,4478,83,1806,928,
2021-01-30,2008,22545,429,6935,3550,,38,593,1,859,7413,160,1815,773,,1086,6180,137,3011,1519,,1604,17589,333,4967,2468,,4031,38911,817,15336,7856,,2475,25316,719,8704,4080,,1039,11769,373,3378,1800,,1295,7507,224,3245,1631,,1440,13592,294,3087,1328,,419,3533,88,1120,532,,409,6690,178,2022,974,,58,456,,536,4479,83,1806,928,
2021-01-31,2023,22569,431,6935,3550,,38,593,1,863,7428,162,1815,773,,1077,6180,138,3011,1519,,1599,17615,336,4967,2468,,4041,38993,819,15336,7857,,2511,25431,724,8704,4081,,1047,11804,374,3379,1800,,1290,7520,227,3245,1631,,1434,13610,296,3087,1328,,420,3535,88,1120,532,,411,6704,178,2022,974,,57,456,,534,4483,83,1806,928,
2021-02-01,1962,22768,433,6935,3550,,38,595,1,845,7521,162,1815,773,,1069,6276,140,3011,1520,,1609,17772,336,4967,2470,,4050,39408,822,15357,7867,,2475,25575,727,8704,4111,,1011,11857,378,3379,1801,,1255,7586,228,3245,1631,,1423,13739,296,3087,1328,,422,3587,88,1120,532,,435,6771,179,2022,974,,56,458,,504,4524,83,1807,928,
2021-02-02,1945,22950,439,6937,3568,,40,601,1,837,7596,162,1815,796,,1066,6391,142,3012,1764,,1619,17955,339,4967,2492,,4049,39791,826,15361,8182,,2449,25778,732,8709,4225,,981,11930,379,3379,1809,,1205,7679,229,3247,1730,,1434,13874,296,3092,1555,,410,3632,88,1120,553,,437,6813,179,2022,975,,60,464,,471,4550,85,1807,936,
2021-02-03,1873,23059,440,6938,4110,,38,603,1,778,7630,164,1819,1024,,1063,6473,143,3027,2159,,1638,18093,342,5000,2812,,4034,40126,828,15418,9592,,2434,25952,738,8747,5058,,951,12010,383,3386,2036,,1191,7773,230,3259,1869,,1398,13973,299,3095,1744,,426,3674,89,1123,665,,464,6859,180,2029,1157,,61,466,,463,4580,85,1811,1024,
2021-02-04,1807,23155,442,6946,5113,,36,605,1,761,7666,164,1820,1298,,1015,6538,144,3036,2557,,1639,18203,343,5202,3711,,3993,40377,830,15446,11040,,2386,26105,743,8800,5960,,909,12041,383,3392,2416,,1081,7818,231,3505,2370,,1335,14051,300,3141,2218,,412,3706,90,1127,848,,458,6889,180,2030,1365,,66,472,,413,4605,87,1817,1201,
2021-02-05,1756,23279,445,6954,5775,,35,608,1,733,7713,165,1824,1490,,977,6605,144,3046,2619,,1595,18312,344,5254,4291,,3896,40623,830,15602,12902,,2286,26214,747,8836,6637,,881,12099,384,3396,2716,,1029,7880,231,3557,2636,,1272,14123,301,3154,2471,,401,3743,90,1135,931,,457,6909,180,2035,1569,,67,479,,389,4628,89,1832,1393,
2021-02-06,1738,23306,449,6954,5778,,36,611,1,728,7724,166,1824,1490,,989,6628,148,3046,2620,,1603,18373,344,5254,4291,,3912,40770,831,15602,12902,,2288,26330,750,8858,6968,,865,12141,387,3397,2833,,1001,7894,231,3557,2636,,1264,14156,301,3154,2471,,402,3745,90,1135,931,,453,6925,180,2040,1692,,68,480,,384,4630,90,1832,1393,
2021-02-07,1742,23329,449,6954,5778,,41,616,1,733,7734,167,1824,1490,,986,6633,148,3046,2620,,1596,18393,345,5254,4291,,3905,40858,833,15602,12902,,2294,26402,754,8858,6968,,878,12173,387,3397,2833,,992,7903,231,3557,2636,,1261,14172,301,3154,2471,,401,3746,90,1135,931,,460,6944,180,2040,1692,,68,481,,385,4637,90,1832,1393,
2021-02-08,1495,23346,452,6954,5778,,36,616,1,677,7777,169,1824,1490,,863,6640,148,3047,2620,,1459,18423,347,5254,4291,,3658,40931,835,15607,12903,,2130,26474,755,8858,6968,,837,12200,389,3596,2833,,878,7918,232,3557,2636,,1154,14192,304,3348,2471,,373,3756,91,1135,931,,437,6962,180,2040,1692,,70,484,,331,4640,91,1832,1393,
2021-02-09,1461,23524,453,6954,5780,,36,618,1,634,7829,169,1824,1519,,803,6701,150,3047,2620,,1409,18568,349,5254,4291,,3529,41304,838,15607,12904,,2118,26628,756,8943,6968,,816,12291,390,3598,2833,,804,7983,233,3557,2636,,1107,14308,305,3348,2471,,374,3796,91,1135,931,,442,7005,180,2041,1692,,44,489,,313,4684,91,1832,1393,
2021-02-10,1438,23671,454,7064,5830,,30,618,1,629,7891,169,1843,1558,,846,6840,150,3186,2711,,1390,18683,350,5583,4357,,3501,41641,841,17302,13246,,2065,26816,759,9023,7011,,777,12343,392,3605,2836,,755,8065,233,3563,2639,,1090,14424,305,3358,2495,,386,3845,91,1161,970,,430,7024,180,2041,1693,,48,496,,302,4709,91,1905,1419,
2021-02-11,1406,23784,455,7863,6015,,31,622,1,611,7919,169,2007,1618,,840,6922,152,3704,2757,,1389,18799,351,6456,4505,,3491,41940,842,19862,13841,,1984,26939,764,9421,7210,,754,12403,395,3669,2950,,708,8108,234,3713,2781,,1054,14500,306,4037,2571,,387,3876,91,1356,994,,436,7067,181,2305,1810,,53,502,,285,4732,92,2148,1583,
2021-02-12,1387,23886,456,8425,6171,,30,623,1,567,7957,170,2357,1650,,858,7032,152,4028,2798,,1349,18894,352,6916,4607,,3428,42191,845,21568,14183,,1976,27095,767,10080,7795,,676,12429,398,4140,3060,,711,8169,235,4822,2949,,995,14564,307,4416,2731,,383,3914,91,1556,1034,,431,7094,182,2848,1863,,52,503,,277,4755,92,2300,1600,
2021-02-13,1365,23910,456,8426,6173,,30,623,1,546,7959,170,2358,1650,,855,7035,152,4028,2798,,1369,18958,353,6916,4623,,3406,42317,849,21570,14185,,1845,27161,768,10554,7839,,702,12471,400,4285,3174,,678,8185,235,4823,2951,,1001,14593,308,4417,2731,,383,3916,91,1556,1034,,412,7102,182,2898,1874,,49,505,,279,4758,92,2336,1600,
2021-02-14,1346,23915,456,8426,6173,,30,623,1,533,7961,170,2358,1650,,857,7037,154,4028,2798,,1363,18978,353,6916,4623,,3419,42412,849,21570,14186,,1792,27223,770,10568,7840,,679,12483,403,4285,3174,,670,8190,235,4823,2951,,991,14601,308,4418,2731,,382,3917,92,1556,1034,,416,7120,182,2898,1874,,51,507,,287,4770,94,2338,1614,
2021-02-15,1231,23999,458,8428,6173,,29,624,1,458,7979,170,2370,1650,,831,7107,154,4028,2798,,1298,19070,355,6962,4624,,3188,42596,849,21573,14188,,1721,27296,770,10568,7843,,683,12540,404,4285,3174,,645,8231,235,4823,2951,,918,14657,308,4423,2733,,366,3953,92,1556,1034,,373,7144,183,2898,1874,,52,510,,253,4777,94,2346,1614,
2021-02-16,1181,24131,459,8461,6173,,24,625,1,404,8000,170,2404,1651,,832,7223,154,4031,2798,,1244,19199,357,6994,4625,,3111,42902,849,21947,14194,,1634,27412,770,10898,7908,,664,12594,405,4297,3175,,595,8274,235,4865,2951,,872,14746,308,4574,2735,,365,3997,92,1566,1034,,357,7170,185,2924,1875,,50,514,,246,4796,94,2350,1614,
2021-02-17,1147,24206,459,8943,6404,,24,627,1,386,8016,171,2687,1659,,836,7309,154,4513,2808,,1225,19318,359,7183,4681,,3014,43140,851,23757,14315,,1597,27549,771,11522,7995,,623,12633,405,4589,3199,,536,8309,236,4985,2980,,829,14802,308,4802,2741,,352,4026,92,1711,1056,,339,7198,185,3153,1887,,52,518,,227,4807,95,2407,1637,
2021-02-18,1136,24291,459,9880,6443,,22,627,1,369,8035,171,3068,1670,,883,7421,155,5021,2870,,1231,19434,359,8532,4743,,2987,43364,851,25558,14551,,1557,27662,774,12132,8207,,661,12702,406,4799,3208,,535,8353,236,6168,2997,,811,14862,308,5359,2814,,352,4058,92,2021,1061,,329,7218,185,3374,1889,,50,522,,215,4820,95,2667,1678,
2021-02-19,1135,24414,460,10237,6616,,23,631,1,347,8060,172,3239,1686,,902,7507,155,5075,2898,,1228,19540,361,9093,4771,,3024,43647,852,27701,14711,,1553,27767,776,13020,8246,,664,12763,406,5089,3224,,502,8382,236,6576,3035,,797,14920,308,6014,2881,,337,4080,92,2200,1065,,342,7251,185,3554,1906,,47,526,,213,4841,95,2938,1700,
2021-02-20,1151,24457,460,10250,6616,,20,631,1,339,8063,172,3240,1686,,882,7510,156,5091,2898,,1215,19588,361,9127,4771,,3040,43810,852,29027,14711,,1509,27839,777,13921,8249,,629,12770,408,5090,3229,,521,8415,236,6584,3035,,788,14944,308,6022,2881,,336,4081,92,2203,1065,,341,7266,185,3650,1916,,52,532,,212,4842,95,3054,1700,
2021-02-21,1145,24474,460,10250,6616,,17,633,1,335,8069,172,3240,1686,,878,7511,156,5091,2898,,1218,19611,361,9127,4771,,3037,43895,853,29027,14712,,1487,27889,779,13921,8249,,633,12806,409,5090,3229,,513,8416,237,6584,3035,,791,14963,308,6022,2881,,335,4081,92,2203,1065,,324,7268,185,3650,1916,,51,532,,213,4850,95,3054,1700,
2021-02-22,1236,24582,462,10281,6616,,18,634,1,310,8087,172,3241,1687,,958,7598,156,5219,2898,,1287,19710,362,9127,4771,,3195,44126,855,29070,14714,,1541,28015,780,13960,8249,,673,12873,409,5203,3229,,535,8453,237,6585,3035,,812,15004,308,6112,2881,,357,4113,92,2214,1065,,337,7299,185,3658,1916,,52,536,,231,4871,95,3063,1701,
2021-02-23,1205,24729,463,10470,6618,,16,634,1,287,8116,172,3287,1687,,1045,7746,156,5366,2898,,1260,19828,362,9127,4771,,3105,44409,859,29372,14714,,1518,28146,782,14311,8255,,625,12916,410,5303,3229,,532,8515,238,6628,3036,,749,15057,308,6397,2883,,348,4144,92,2239,1066,,313,7318,186,3669,1916,,52,541,,213,4897,95,3088,1701,
2021-02-24,1168,24839,463,11419,6649,,21,639,1,247,8138,172,3552,1692,,984,7824,157,5798,2922,,1239,19922,362,9849,4796,,3003,44644,862,31341,14771,,1427,28243,783,14925,8261,,604,12947,411,5689,3233,,504,8569,239,7210,3058,,683,15107,308,6819,2884,,325,4170,92,2443,1074,,322,7346,186,3793,1922,,45,541,,217,4926,95,3238,1702,
2021-02-25,1200,24984,465,12590,6660,,19,641,1,222,8141,172,4273,1698,,1005,7927,157,6526,2927,,1215,20014,363,11299,4809,,2960,44900,863,33574,14843,,1433,28372,787,16075,8288,,592,12995,412,5970,3244,,490,8598,240,8335,3082,,650,15150,308,7759,2891,,317,4193,92,2634,1084,,310,7377,186,4187,1923,,41,543,,208,4940,97,3653,1706,
2021-02-26,1226,25112,466,13479,6677,,22,645,1,197,8154,173,4758,1704,,977,8009,157,6648,2938,,1227,20121,364,12210,4852,,2968,45159,865,34711,15030,,1410,28505,789,17267,8413,,609,13038,413,6440,3252,,496,8665,240,8781,3133,,634,15198,308,8748,2958,,304,4218,93,2682,1091,,308,7402,187,4571,1926,,41,544,,199,4954,97,3829,1729,
