id,region,name,name_alt,iso_code,population,area,pop_dens,geo-longitude,geo-latitude
krško,kk,Krško,,SI-054,25904,287,91,15.463011980,45.955902302
kungota,mb,Kungota,,SI-055,4844,49,96,15.601194454,46.645346824
kuzma,ms,Kuzma,,SI-056,1624,23,68,16.094786266,46.840484071
laško,ce,Laško,,SI-057,13123,198,66,15.257953184,46.132643579
lenart,mb,Lenart,,SI-058,8512,62,137,15.818732226,46.557773598
lendava,ms,Lendava/Lendva,Lendava,SI-059,10486,121,86,16.444814181,46.556870370
litija,za,Litija,,SI-060,15743,221,70,14.919672482,46.056331839
ljubljana,lj,Ljubljana,,SI-061,294464,275,1075,14.562953193,46.054288148
ljubno,ce,Ljubno,,SI-062,2576,79,32,14.843982514,46.370409048
ljutomer,ms,Ljutomer,,SI-063,11233,107,105,16.157000159,46.521090412
log-dragomer,lj,Log - Dragomer,,SI-208,3620,11,332,14.373306873,46.014406973
logatec,lj,Logatec,,SI-064,14681,173,83,14.192825305,45.928799164
loška_dolina,po,Loška dolina,,SI-065,3703,167,22,14.483580276,45.668398514
loški_potok,nm,Loški Potok,,SI-066,1816,135,13,14.640757776,45.663721103
lovrenc_na_pohorju,mb,Lovrenc na Pohorju,,SI-167,2988,84,35,15.383631547,46.525887749
luče,ce,Luče,,SI-067,1454,110,13,14.727348121,46.355658506
lukovica,lj,Lukovica,,SI-068,5888,75,79,14.767474548,46.179654240
majšperk,mb,Majšperk,,SI-069,4060,73,56,15.739498828,46.324401633
makole,mb,Makole,,SI-198,2051,37,54,15.674882856,46.315775696
maribor,mb,Maribor,,SI-070,113778,148,761,15.627301182,46.563452049
markovci,mb,Markovci,,SI-168,4025,30,135,15.948802206,46.390643662
medvode,lj,Medvode,,SI-071,16811,78,216,14.400419846,46.131001816
mengeš,lj,Mengeš,,SI-072,8411,23,360,14.557630099,46.159626935
metlika,nm,Metlika,,SI-073,8480,109,78,15.296672544,45.656188528
mežica,sg,Mežica,,SI-074,3598,26,138,14.857518156,46.518758116
miklavž_na_dravskem_polju,mb,Miklavž na Dravskem polju,,SI-169,6996,13,533,15.707252495,46.488714367
miren-kostanjevica,ng,Miren - Kostanjevica,,SI-075,5029,63,79,13.638095795,45.852192032
mirna,nm,Mirna,,SI-212,2683,31,85,15.056965773,45.945166902
mirna_peč,nm,Mirna Peč,,SI-170,3034,48,62,15.082060227,45.854574054
mislinja,sg,Mislinja,,SI-076,4520,112,41,15.219903258,46.446950158
