episari.date.from,episari.date.to,episari.source,episari.missing,episari.week,episari.sari.in,episari.tested.in,episari.covid.in,episari.covid.in.vacc.full_6m,episari.covid.in.vacc.other,episari.covid.in.vacc.full_6m.age.65+,episari.covid.in.vacc.unknown,episari.covid.in.notsari,episari.covid.discoveredinhospital,episari.covid.acquiredinhospital,episari.deceased,episari.covid.deceased,episari.all.out,episari.covid.out,episari.sari.icu.in,episari.tested.icu.in,episari.covid.icu.in,episari.covid.in.age.mean,episari.covid.deceased.age.mean,episari.covid.icu.in.age.mean,episari.covid.in.age.00-04,episari.covid.in.age.05-14,episari.covid.in.age.15-24,episari.covid.in.age.25-34,episari.covid.in.age.35-44,episari.covid.in.age.45-54,episari.covid.in.age.55-64,episari.covid.in.age.65-74,episari.covid.in.age.75-84,episari.covid.in.age.85+,episari.covid.icu.in.age.00-04,episari.covid.icu.in.age.05-14,episari.covid.icu.in.age.15-24,episari.covid.icu.in.age.25-34,episari.covid.icu.in.age.35-44,episari.covid.icu.in.age.45-54,episari.covid.icu.in.age.55-64,episari.covid.icu.in.age.65-74,episari.covid.icu.in.age.75-84,episari.covid.icu.in.age.85+,episari.covid.deceased.age.00-04,episari.covid.deceased.age.05-14,episari.covid.deceased.age.15-24,episari.covid.deceased.age.25-34,episari.covid.deceased.age.35-44,episari.covid.deceased.age.45-54,episari.covid.deceased.age.55-64,episari.covid.deceased.age.65-74,episari.covid.deceased.age.75-84,episari.covid.deceased.age.85+,episari.covid.in.vacc.3,episari.covid.in.vacc.full,episari.covid.in.vacc.partial,episari.covid.in.vacc.none,episari.covid.in.vacc.none.age.65-84,episari.covid.in.vacc.none.age.85+,episari.covid.in.vacc.3.age.65+,episari.covid.in.vacc.3.age.65-84,episari.covid.in.vacc.3.age.85+,episari.covid.in.vacc.full.age.65+,episari.covid.in.vacc.full.age.65-84,episari.covid.in.vacc.full.age.85+,episari.covid.in.vacc,episari.covid.in.notvacc,episari.covid.in.vacc.age.65+
2023-02-06,2023-02-12,csv,,2023-06,238,238,17,0,17,0,0,21,15,21,13,1,60,19,6,6,1,59,71,73,3,0,1,0,0,0,1,5,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,
2023-02-13,2023-02-19,csv,,2023-07,278,278,24,4,20,4,0,14,10,13,6,1,47,14,9,9,2,78,80,81,1,0,0,0,0,0,3,2,9,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
2023-02-20,2023-02-26,csv,,2023-08,264,264,28,2,26,2,0,31,7,22,11,6,60,23,13,13,3,75,85,71,1,0,0,0,0,1,1,8,7,10,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,
2023-02-27,2023-03-05,csv,,2023-09,231,231,22,0,22,0,0,33,6,14,6,5,70,25,8,8,0,73,80,,2,0,0,0,0,1,1,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,,,,,,,,,,,
2023-03-06,2023-03-12,csv,,2023-10,239,239,38,4,34,4,0,34,8,20,11,6,63,14,12,12,4,71,81,77,2,1,0,0,1,0,3,10,9,12,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,4,,,,,,,,,,,,,,,
2023-03-13,2023-03-19,csv,,2023-11,236,236,42,5,37,5,0,34,14,15,10,2,70,39,11,11,4,73,81,73,0,0,1,2,2,0,3,9,15,10,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,
2023-03-20,2023-03-26,csv,,2023-12,278,278,47,6,41,5,0,38,26,29,12,7,83,29,19,19,8,75,87,69,1,0,0,1,1,1,2,13,17,11,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,4,,,,,,,,,,,,,,,
2023-03-27,2023-04-02,csv,,2023-13,226,226,43,4,39,4,0,36,13,26,5,2,80,29,7,7,3,77,79,56,1,0,1,0,0,2,1,9,11,18,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,
2023-04-03,2023-04-09,csv,,2023-14,163,160,17,1,16,1,0,33,23,18,15,7,102,26,7,7,3,76,88,71,1,0,0,0,0,0,1,3,5,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,5,,,,,,,,,,,,,,,
2023-04-10,2023-04-16,csv,,2023-15,211,210,27,0,26,0,1,31,21,21,6,1,60,22,11,11,5,71,92,69,2,0,1,0,1,1,1,5,5,11,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
2023-04-17,2023-04-23,csv,,2023-16,201,200,31,0,31,0,0,29,25,10,9,5,49,13,15,14,5,74,87,73,1,0,0,1,0,1,0,7,16,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,
2023-04-24,2023-04-30,csv,,2023-17,197,196,31,2,29,2,0,32,14,23,9,2,81,34,9,9,6,71,89,74,2,0,0,1,0,0,3,5,13,7,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,
2023-05-01,2023-05-07,csv,,2023-18,179,179,20,0,20,0,0,15,4,15,8,5,51,17,6,6,4,75,79,64,1,0,0,0,0,0,1,6,7,5,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,
2023-05-08,2023-05-14,csv,,2023-19,192,189,25,0,25,0,0,14,6,12,8,7,41,17,11,11,3,76,82,69,1,0,0,0,0,1,1,7,4,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,2,,,,,,,,,,,,,,,
2023-05-15,2023-05-21,csv,,2023-20,186,183,11,0,11,0,0,16,1,14,2,2,41,16,9,9,1,76,82,79,0,0,0,0,0,1,0,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,
2023-05-22,2023-05-28,csv,,2023-21,180,178,8,0,8,0,0,16,8,22,8,4,30,7,9,9,2,73,76,75,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,,,,,,,,,,,,,,,
2023-05-29,2023-06-04,csv,,2023-22,163,161,6,0,6,0,0,12,6,8,2,0,17,2,10,10,4,71,,77,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-06-05,2023-06-11,csv,,2023-23,170,170,5,0,5,0,0,12,3,12,4,2,28,2,9,9,0,87,85,,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,
2023-06-12,2023-06-18,csv,,2023-24,150,150,3,0,3,0,0,6,2,5,4,2,27,4,10,10,2,78,87,65,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,
2023-06-19,2023-06-25,csv,,2023-25,162,162,3,0,3,0,0,6,3,2,5,0,12,3,6,6,1,55,,82,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-06-26,2023-07-02,csv,,2023-26,116,115,1,0,1,0,0,5,0,0,2,0,12,4,4,4,0,86,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-07-03,2023-07-09,csv,,2023-27,135,134,3,0,3,0,0,5,1,9,1,0,8,2,8,8,2,79,,73,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-07-10,2023-07-16,csv,,2023-28,148,136,1,0,1,0,0,3,0,13,3,1,14,5,11,11,0,77,77,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
2023-07-17,2023-07-23,csv,,2023-29,132,124,1,0,1,0,0,3,0,6,2,1,9,0,10,9,1,86,84,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
2023-07-24,2023-07-30,csv,,2023-30,142,126,1,0,1,0,0,6,1,3,1,0,8,0,5,5,1,64,,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-07-31,2023-08-06,csv,,2023-31,135,116,3,0,3,0,0,3,0,4,1,0,10,3,7,7,1,48,,64,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-08-07,2023-08-13,csv,,2023-32,139,124,5,0,5,0,0,5,5,12,4,0,11,2,12,12,0,65,,,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-08-14,2023-08-20,csv,,2023-33,153,134,8,0,8,0,0,6,4,5,4,0,11,2,11,11,1,77,,79,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-08-21,2023-08-27,csv,,2023-34,141,131,9,0,9,0,0,12,2,35,5,3,32,3,10,9,0,65,82,,2,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,
2023-08-28,2023-09-03,csv,,2023-35,153,133,6,0,6,0,0,16,6,6,3,0,20,4,8,8,1,60,,79,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2023-09-04,2023-09-10,csv,,2023-36,192,174,20,0,20,0,0,20,5,7,1,1,26,10,10,10,1,77,83,88,1,0,0,0,0,0,1,5,3,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
2023-09-11,2023-09-17,csv,,2023-37,208,190,21,0,19,0,2,18,6,5,1,1,34,12,7,7,2,70,83,79,2,0,0,0,0,0,0,9,7,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
2023-09-18,2023-09-24,csv,,2023-38,225,180,25,0,24,0,1,29,14,10,6,4,37,18,12,9,2,77,76,79,1,1,0,0,0,0,0,2,12,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,,,
2023-09-25,2023-10-01,csv,,2023-39,220,192,24,0,24,0,0,22,11,17,4,2,38,10,13,11,3,74,89,76,0,1,0,1,0,1,2,3,8,8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023-10-02,2023-10-08,csv,,2023-40,187,178,20,0,20,0,0,23,22,33,5,5,47,11,10,10,3,67,72,68,1,0,0,1,1,1,2,6,5,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,,,,,,,,,,,,,,,
2023-10-09,2023-10-15,csv,,2023-41,230,221,34,0,34,0,0,33,10,53,16,5,83,20,15,15,3,75,87,74,2,0,0,0,0,1,0,5,16,10,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,
2023-10-16,2023-10-22,csv,,2023-42,243,228,49,0,47,0,2,29,10,23,9,6,76,22,12,12,2,74,82,74,4,0,0,0,0,0,2,6,21,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,,,,,,,,,,,,,,,
2023-10-23,2023-10-29,csv,,2023-43,228,220,41,0,41,0,0,48,33,19,13,6,86,24,11,11,3,73,85,59,2,0,0,0,2,3,1,6,19,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,
2023-10-30,2023-11-05,csv,,2023-44,216,203,32,1,31,1,0,46,21,17,16,7,74,28,10,10,4,68,85,75,4,1,1,0,0,0,0,4,8,14,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,5,,,,,,,,,,,,,,,
2023-11-06,2023-11-12,csv,,2023-45,220,216,31,0,30,0,1,49,30,25,9,3,96,23,10,10,3,74,61,83,2,0,0,0,0,0,1,10,9,9,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,,,,,,
2023-11-13,2023-11-19,csv,,2023-46,231,224,43,0,43,0,0,38,34,99,8,2,111,31,19,19,8,72,91,74,3,0,0,1,2,1,0,7,11,18,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
2023-11-20,2023-11-26,csv,,2023-47,263,253,57,1,56,1,0,62,52,77,15,4,123,39,13,13,6,58,79,69,10,3,1,1,0,0,5,7,21,9,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,,
