date,vaccination.used,vaccination.used.todate,vaccination.pfizer.used,vaccination.pfizer.used.todate,vaccination.moderna.used,vaccination.moderna.used.todate,vaccination.az.used,vaccination.az.used.todate,vaccination.janssen.used,vaccination.janssen.used.todate,vaccination.novavax.used,vaccination.novavax.used.todate
2022-01-26,3766,2903210,3445,2204456,320,235268,,327035,1,136451,,
2022-01-27,4521,2907731,4412,2208868,108,235376,1,327036,,136451,,
2022-01-28,4592,2912323,4269,2213137,323,235699,,327036,,136451,,
2022-01-29,648,2912971,602,2213739,46,235745,,327036,,136451,,
2022-01-30,128,2913099,128,2213867,,235745,,327036,,136451,,
2022-01-31,2600,2915699,2486,2216353,114,235859,,327036,,136451,,
2022-02-01,3467,2919166,3329,2219682,136,235995,2,327038,,136451,,
2022-02-02,4497,2923663,4172,2223854,322,236317,1,327039,2,136453,,
2022-02-03,5302,2928965,5135,2228989,166,236483,,327039,1,136454,,
2022-02-04,4491,2933456,4236,2233225,251,236734,,327039,4,136458,,
2022-02-05,890,2934346,834,2234059,56,236790,,327039,,136458,,
2022-02-06,63,2934409,63,2234122,,236790,,327039,,136458,,
2022-02-07,2025,2936434,1944,2236066,81,236871,,327039,,136458,,
2022-02-08,30,2936464,30,2236096,,236871,,327039,,136458,,
2022-02-09,3092,2939556,2902,2238998,190,237061,,327039,,136458,,
2022-02-10,4388,2943944,4249,2243247,139,237200,,327039,,136458,,
2022-02-11,3278,2947222,3090,2246337,188,237388,,327039,,136458,,
2022-02-12,486,2947708,441,2246778,45,237433,,327039,,136458,,
2022-02-13,50,2947758,50,2246828,,237433,,327039,,136458,,
2022-02-14,1580,2949338,1496,2248324,84,237517,,327039,,136458,,
2022-02-15,1888,2951226,1851,2250175,36,237553,,327039,1,136459,,
2022-02-16,1943,2953169,1862,2252037,81,237634,,327039,,136459,,
2022-02-17,2258,2955427,2154,2254191,104,237738,,327039,,136459,,
2022-02-18,2270,2957697,2135,2256326,135,237873,,327039,,136459,,
2022-02-19,301,2957998,283,2256609,18,237891,,327039,,136459,,
2022-02-20,19,2958017,19,2256628,,237891,,327039,,136459,,
2022-02-21,664,2958681,639,2257267,25,237916,,327039,,136459,,
2022-02-22,622,2959303,599,2257866,23,237939,,327039,,136459,,
2022-02-23,1105,2960408,1041,2258907,63,238002,1,327040,,136459,,
2022-02-24,1100,2961508,1060,2259967,40,238042,,327040,,136459,,
2022-02-25,1185,2962693,1129,2261096,55,238097,,327040,1,136460,,
2022-02-26,75,2962768,75,2261171,,238097,,327040,,136460,,
2022-02-27,19,2962787,19,2261190,,238097,,327040,,136460,,
2022-02-28,401,2963188,379,2261569,22,238119,,327040,,136460,,
2022-03-01,337,2963525,332,2261901,5,238124,,327040,,136460,,
2022-03-02,852,2964377,775,2262676,76,238200,1,327041,,136460,,
2022-03-03,765,2965142,749,2263425,15,238215,,327041,,136460,1,1
2022-03-04,833,2965975,768,2264193,64,238279,,327041,,136460,1,2
2022-03-05,69,2966044,69,2264262,,238279,,327041,,136460,,2
2022-03-06,11,2966055,11,2264273,,238279,,327041,,136460,,2
2022-03-07,336,2966391,328,2264601,8,238287,,327041,,136460,,2
2022-03-08,448,2966839,446,2265047,2,238289,,327041,,136460,,2
2022-03-09,829,2967668,767,2265814,51,238340,,327041,,136460,11,13
2022-03-10,617,2968285,608,2266422,9,238349,,327041,,136460,,13
2022-03-11,803,2969088,705,2267127,95,238444,,327041,,136460,3,16
2022-03-12,72,2969160,65,2267192,7,238451,,327041,,136460,,16
2022-03-13,11,2969171,11,2267203,,238451,,327041,,136460,,16
2022-03-14,310,2969481,300,2267503,10,238461,,327041,,136460,,16
2022-03-15,566,2970047,537,2268040,25,238486,2,327043,,136460,2,18
2022-03-16,833,2970880,781,2268821,49,238535,,327043,,136460,3,21
2022-03-17,854,2971734,801,2269622,43,238578,,327043,,136460,10,31
2022-03-18,911,2972645,839,2270461,70,238648,,327043,,136460,2,33
2022-03-19,53,2972698,53,2270514,,238648,,327043,,136460,,33
2022-03-20,21,2972719,21,2270535,,238648,,327043,,136460,,33
2022-03-21,392,2973111,336,2270871,55,238703,,327043,1,136461,,33
2022-03-22,525,2973636,509,2271380,14,238717,,327043,,136461,2,35
2022-03-23,999,2974635,958,2272338,41,238758,,327043,,136461,,35
2022-03-24,878,2975513,807,2273145,65,238823,1,327044,,136461,5,40
2022-03-25,863,2976376,776,2273921,83,238906,,327044,,136461,4,44
2022-03-26,35,2976411,35,2273956,,238906,,327044,,136461,,44
2022-03-27,16,2976427,16,2273972,,238906,,327044,,136461,,44
2022-03-28,338,2976765,331,2274303,7,238913,,327044,,136461,,44
2022-03-29,430,2977195,427,2274730,3,238916,,327044,,136461,,44
2022-03-30,803,2977998,759,2275489,40,238956,,327044,,136461,4,48
2022-03-31,760,2978758,750,2276239,1,238957,,327044,2,136463,7,55
2022-04-01,773,2979531,707,2276946,61,239018,,327044,,136463,5,60
2022-04-02,42,2979573,42,2276988,,239018,,327044,,136463,,60
2022-04-03,16,2979589,16,2277004,,239018,,327044,,136463,,60
2022-04-04,382,2979971,354,2277358,28,239046,,327044,,136463,,60
2022-04-05,444,2980415,424,2277782,20,239066,,327044,,136463,,60
2022-04-06,937,2981352,901,2278683,34,239100,,327044,,136463,2,62
2022-04-07,841,2982193,776,2279459,57,239157,,327044,,136463,8,70
2022-04-08,756,2982949,693,2280152,53,239210,,327044,1,136464,9,79
2022-04-09,42,2982991,42,2280194,,239210,,327044,,136464,,79
2022-04-10,20,2983011,20,2280214,,239210,,327044,,136464,,79
2022-04-11,347,2983358,311,2280525,31,239241,,327044,1,136465,4,83
2022-04-12,337,2983695,327,2280852,7,239248,1,327045,,136465,2,85
2022-04-13,657,2984352,633,2281485,21,239269,,327045,2,136467,1,86
2022-04-14,714,2985066,693,2282178,18,239287,,327045,1,136468,2,88
2022-04-15,604,2985670,567,2282745,32,239319,,327045,,136468,5,93
2022-04-16,26,2985696,26,2282771,,239319,,327045,,136468,,93
2022-04-17,6,2985702,6,2282777,,239319,,327045,,136468,,93
2022-04-18,9,2985711,9,2282786,,239319,,327045,,136468,,93
2022-04-19,311,2986022,302,2283088,8,239327,,327045,1,136469,,93
2022-04-20,546,2986568,525,2283613,19,239346,,327045,,136469,2,95
2022-04-21,515,2987083,475,2284088,37,239383,,327045,,136469,3,98
2022-04-22,485,2987568,456,2284544,27,239410,,327045,,136469,2,100
2022-04-23,41,2987609,38,2284582,,239410,,327045,3,136472,,100
2022-04-24,15,2987624,15,2284597,,239410,,327045,,136472,,100
2022-04-25,247,2987871,236,2284833,11,239421,,327045,,136472,,100
2022-04-26,380,2988251,373,2285206,6,239427,,327045,,136472,1,101
2022-04-27,20,2988271,19,2285225,,239427,,327045,1,136473,,101
2022-04-28,204,2988475,201,2285426,3,239430,,327045,,136473,,101
2022-04-29,277,2988752,244,2285670,29,239459,,327045,,136473,4,105
2022-04-30,14,2988766,14,2285684,,239459,,327045,,136473,,105
2022-05-01,6,2988772,6,2285690,,239459,,327045,,136473,,105
2022-05-02,11,2988783,11,2285701,,239459,,327045,,136473,,105
2022-05-03,302,2989085,290,2285991,11,239470,,327045,,136473,1,106
2022-05-04,398,2989483,386,2286377,9,239479,,327045,,136473,3,109
