date,deceased.age.female.0-3,deceased.age.female.4-18,deceased.age.female.19-31,deceased.age.female.32-41,deceased.age.female.42-51,deceased.age.female.52-61,deceased.age.female.62-71,deceased.age.female.72+,deceased.age.male.0-3,deceased.age.male.4-18,deceased.age.male.19-31,deceased.age.male.32-41,deceased.age.male.42-51,deceased.age.male.52-61,deceased.age.male.62-71,deceased.age.male.72+
2011-03-27,,,,,,1,3,28,,,1,,,1,,22
2011-03-28,,,,,,,,26,,,,1,1,2,,18
2011-03-29,,,,,1,,1,24,,,,,2,,1,19
2011-03-30,,1,,,2,1,,35,,,,,1,,5,29
2011-03-31,,,,,,1,1,22,,,,1,2,,2,24
2011-04-01,,,,,,1,1,26,,,1,,,1,3,22
2011-04-02,,,,,,,2,20,,,1,,,,5,20
2011-04-03,,,,,,1,1,22,,,,,,1,5,25
2011-04-04,,1,,1,1,,2,21,,,,,,,2,20
2011-04-05,,1,,,,,1,29,,1,,,1,3,3,21
2011-04-06,,,,,,1,1,22,,1,,,,,1,15
2011-04-07,,1,,,,1,1,19,,,,,1,2,3,20
2011-04-08,,,,,1,1,4,29,,1,,2,,,4,20
2011-04-09,,2,,,,1,2,23,,,,,2,2,,23
2011-04-10,,,,,,1,1,24,,,,,1,2,3,22
2011-04-11,,,,,2,3,,24,,,,1,,2,3,19
2011-04-12,,1,,,,,2,18,,,,,,2,3,28
2011-04-13,,,,,,,1,24,,1,,,,2,2,18
2011-04-14,,,,,,,,16,,2,,,1,1,6,24
2011-04-15,,,,,,,,27,,,,,,,3,26
2011-04-16,,,,,,1,2,21,,,,,,3,4,29
2011-04-17,,,,,,,2,17,,,,,1,1,2,21
2011-04-18,,,,,,1,,22,,,,,,,7,25
2011-04-19,,,,,,1,1,21,,,,,,2,6,23
2011-04-20,,,,,,,1,24,,,,1,2,2,6,30
2011-04-21,,1,,,,,3,29,,,,,2,2,1,18
2011-04-22,,,,,,,1,31,,,,,1,2,,24
2011-04-23,,1,,,,,,18,,1,,,,2,2,15
2011-04-24,,,,,,,3,34,,,,,2,2,6,23
2011-04-25,,,,,1,,,36,,,,,,,2,19
2011-04-26,,,,,,,,28,,,,,1,,,25
2011-04-27,,,,1,,,,31,,,,,,2,4,19
2011-04-28,,,,,,,1,20,,,,,2,3,2,21
2011-04-29,,1,,1,2,,,25,,3,2,,,,4,19
2011-04-30,,,,,,1,1,26,,,,,,,2,25
2011-05-01,,,,,2,,,19,,,,,1,1,1,26
2011-05-02,,,,,,1,,29,,,,,1,2,3,21
2011-05-03,,,,,,,1,28,,,,,,1,3,26
2011-05-04,,,,,,,2,22,,,,,,3,2,31
2011-05-05,,2,,,,1,,26,,,,,2,1,7,17
2011-05-06,,,,,,,,25,,,,,,,1,19
2011-05-07,,,,,1,1,1,21,,,,,,,2,23
2011-05-08,,,,,,,3,30,,,,,1,1,5,19
2011-05-09,,,,,,,1,19,,,,,,,4,25
2011-05-10,,,,,,2,2,21,,,,,,1,3,27
2011-05-11,,,,1,,2,1,25,,,,,1,1,1,19
2011-05-12,,,,,,,2,23,,1,,,,2,4,27
2011-05-13,,1,,,1,,1,22,,,,,2,1,5,13
2011-05-14,,,,,,,,21,,,,,,,5,26
2011-05-15,,,,,,2,1,21,,,,1,,,2,29
2011-05-16,,,,,,1,2,21,,,,1,,,4,13
2011-05-17,,,,,,2,3,15,,,,,1,1,1,21
2011-05-18,,1,,,,1,1,26,,1,,1,,1,4,18
2011-05-19,,,,,,,2,30,,,,,,1,3,13
2011-05-20,,,,,,2,3,17,,,,1,,,1,25
2011-05-21,,,1,,,,2,25,,,,,1,1,7,12
2011-05-22,,,,,,,2,19,,,,1,1,1,5,15
2011-05-23,,,,,1,2,1,16,,,,,,1,6,15
2011-05-24,,1,,1,,,,23,,,,,1,2,4,15
2011-05-25,,,,,,2,,29,,,,,1,4,2,17
2011-05-26,,,,,,1,4,28,,1,,,1,1,3,21
2011-05-27,,,1,,,,1,21,,,,,1,,3,21
2011-05-28,,,,,,,1,24,,,,,,,2,13
2011-05-29,,,,,,,1,20,,,,1,1,3,,21
2011-05-30,,,,,,1,1,17,,,,2,,1,5,16
2011-05-31,,,,,,1,1,18,,,,1,,,4,28
2011-06-01,,,,,1,1,2,28,,,1,,,,1,28
2011-06-02,,,,,1,4,1,27,,,,,,,3,14
2011-06-03,,,,,,,,26,,,,,,,3,24
2011-06-04,,,,,,2,3,27,,,,,,1,4,12
2011-06-05,,,,,,1,2,34,,1,,,,,2,22
2011-06-06,,,,,,,2,22,,1,,,,4,2,15
2011-06-07,,,,,,1,3,22,,,,,,,1,21
2011-06-08,,,,,,,1,22,,,,,1,1,,13
2011-06-09,,,,,,,1,23,,,,,1,,2,19
2011-06-10,,,,,,,3,24,,,1,,,1,5,13
2011-06-11,,,,,,1,1,30,,,,,,2,5,18
2011-06-12,,,,,,,2,18,,,,,,2,1,23
2011-06-13,,,,,,,1,21,,,,,,,5,20
2011-06-14,,,1,1,,1,1,20,,,,1,1,3,4,17
2011-06-15,,,,,,,,32,,,,,,1,2,21
2011-06-16,,,,,,,,19,,1,,,,1,4,29
2011-06-17,,,,,,,5,26,,,1,,1,1,2,11
2011-06-18,,,1,,,1,,19,,,,,,,1,22
2011-06-19,,,,,,,3,21,,,,1,,2,7,28
2011-06-20,,,,,,1,1,21,,,,,,1,2,18
2011-06-21,,,,,,1,2,25,,,,,,1,5,22
2011-06-22,,,,,1,,,18,,,,,,,2,24
2011-06-23,,,,,,,1,18,,,,1,1,2,2,22
2011-06-24,,,,,,,1,23,,,,2,,2,6,23
2011-06-25,,,,,,,4,14,,,,,1,3,3,19
2011-06-26,,,,,,1,1,23,,,,,,1,5,12
2011-06-27,,,,,,1,1,16,,,,1,,1,4,18
2011-06-28,,,,,,,1,27,,,,,,,4,19
2011-06-29,,,,,,,2,25,,,,,,2,4,17
2011-06-30,,,,,,1,,22,,,,,1,3,5,23
2011-07-01,,,,,,1,2,24,,,,,1,,3,13
2011-07-02,,,,,,,2,15,,,,2,,2,4,24
2011-07-03,,,,,1,1,1,40,,2,,,,,6,19
2011-07-04,,,,,,3,2,23,,,,,1,,6,25
2011-07-05,,,,,,1,1,19,,1,,,,1,4,14
2011-07-06,,,,,,,,18,,,,,,,6,26
2011-07-07,,,,,,2,,18,,,,,2,3,2,24
2011-07-08,,1,,,,,1,20,,,,1,1,2,2,15
2011-07-09,,,,,,,1,15,,1,,1,,,1,30
2011-07-10,,,,,,,2,13,,,,,1,4,6,22
2011-07-11,,,,,,2,1,29,,,,2,,2,1,24
2011-07-12,,,,,,,,28,,,,,,1,1,22
2011-07-13,,,,,,1,1,24,,,,,,,2,21
2011-07-14,,,,,,,2,19,,,,,1,2,,25
2011-07-15,,,,,,,,32,,,,,1,1,2,20
2011-07-16,,,,,1,,1,25,,,1,,2,1,4,15
2011-07-17,,,,,,1,2,24,,,,,,2,1,24
2011-07-18,,,,,,1,3,20,,1,,1,,,1,25
2011-07-19,,,,,,1,1,16,,,,1,1,3,,24
2011-07-20,,,,,1,1,,26,,,,1,,,6,21
2011-07-21,,,,,,2,2,19,,,,,1,1,3,23
2011-07-22,,,,,,1,1,31,,,1,1,,1,6,18
2011-07-23,,,,,,,,23,,,,,,1,2,23
2011-07-24,,,,,,,1,22,,,,,,1,2,19
2011-07-25,,,,,,,3,22,,,,1,,2,6,17
2011-07-26,,,,,,,2,18,,,,,1,2,1,21
2011-07-27,,1,,,,1,1,19,,,,,,,,20
2011-07-28,,,,,,1,2,31,,,,1,,,,17
2011-07-29,,,,,,3,1,17,,,,,,,4,22
2011-07-30,,,,,,,1,14,,,,,1,1,4,12
2011-07-31,,,,,,1,4,26,,,,1,,2,2,10
2011-08-01,,,,,,,2,26,,,,,,4,,17
2011-08-02,,,,,,,2,21,,1,,,,1,5,18
2011-08-03,,,,,,,2,22,,,,,,2,3,17
2011-08-04,,,,,1,,2,20,,,,,,1,2,23
2011-08-05,,,,,,1,,31,,,,,,2,1,34
2011-08-06,,,,,,,4,22,,,,,,1,4,18
2011-08-07,,,,,,,,26,,,,,,1,4,16
2011-08-08,,,,,,,2,28,,,,1,,1,2,18
2011-08-09,,,,,,1,,16,,1,,,3,1,4,28
2011-08-10,,,,,1,2,4,21,,,,,2,1,1,17
2011-08-11,,,,,,1,,14,,,,,2,2,2,15
2011-08-12,,1,,,,,2,27,,,,1,1,,2,16
2011-08-13,,,1,1,1,,1,14,,,1,,1,1,6,19
2011-08-14,,,,,,1,4,20,,,,1,,1,3,22
2011-08-15,,1,,,,2,3,27,,,,,1,,2,20
2011-08-16,,,,,,,2,25,,,,,1,,2,27
2011-08-17,,,,,1,,4,20,,1,,1,1,2,5,18
2011-08-18,,,,,,,2,26,,,,,,,6,27
2011-08-19,,,,,,,5,19,,,,,2,5,3,24
2011-08-20,,,,,,1,3,22,,,1,1,,3,3,25
2011-08-21,,,,,2,1,1,26,,1,1,,,1,6,17
2011-08-22,,,,1,,,,22,,,1,1,,3,3,29
2011-08-23,,,,,,,1,20,,,,,,6,6,15
2011-08-24,,,,,,,1,26,,,,,2,,5,24
2011-08-25,,,,,,3,1,31,,,,1,,,4,25
2011-08-26,,1,,,,,1,23,,,,,,1,4,18
2011-08-27,,,,,,,,26,,,,1,1,1,2,16
2011-08-28,,,,,,,,28,,,,,1,2,2,24
2011-08-29,,,,,,,4,25,,,,1,,2,4,16
2011-08-30,,,,,,,1,22,,,,1,,3,1,25
2011-08-31,,,,,,,1,22,,1,,,,,2,29
2011-09-01,,,,,,1,1,26,,,,,2,1,4,26
2011-09-02,,,,,,,,23,,,,2,,4,3,23
2011-09-03,,,,,,,,22,,,,,,3,1,14
2011-09-04,,,,,,,1,30,,,,,1,3,3,13
2011-09-05,,,,,,1,1,22,,,,,1,3,4,22
2011-09-06,,,,,,,1,20,,,,,1,,4,16
2011-09-07,,,,,,2,1,24,,,,2,,1,2,16
2011-09-08,,,,,,,3,24,,1,,,3,,1,17
2011-09-09,,,,,,,5,19,,,,,2,,5,16
2011-09-10,,,,,1,1,2,32,,,,,,1,3,17
2011-09-11,,,,,,,,22,,,,,,2,3,29
2011-09-12,,,,,1,1,2,19,,,,,,2,5,16
2011-09-13,,,,,,,2,24,,,,,,1,1,29
2011-09-14,,,,,,,2,26,,,,2,,,4,20
2011-09-15,,,,,,2,,29,,1,,,,2,5,12
2011-09-16,,,,,2,1,1,26,,,,1,2,,4,23
2011-09-17,,,,,,1,1,22,,,,1,,1,6,23
2011-09-18,,,,,,,3,21,,,,,1,2,2,26
2011-09-19,,,,1,,1,2,19,,,,,,1,2,18
2011-09-20,,,,,,,1,17,,,,,,2,5,22
2011-09-21,,,,,,,2,27,,,,,,1,6,16
2011-09-22,,,,,,,1,33,,,,,1,1,2,20
2011-09-23,,,,,1,1,,21,,,1,,,1,1,25
2011-09-24,,,,,,,1,31,,,,,,,4,19
2011-09-25,,,,,,,3,24,,,,,,1,,16
2011-09-26,,1,,,,,,22,,,,,1,1,4,21
2011-09-27,,,,,,2,1,18,,,,,,2,4,20
2011-09-28,,,,,1,,2,19,,,,,,,2,30
2011-09-29,,,,,,1,,27,,,,1,,1,1,16
2011-09-30,,,,,,,3,23,,,,,,1,2,18
2011-10-01,,,1,,,,2,17,,2,,2,1,1,3,19
2011-10-02,,,,,,,4,24,,,,,1,,4,10
2011-10-03,,,,,1,,1,22,,1,,,1,3,5,19
2011-10-04,,,,,,1,,27,,,,,,,1,21
2011-10-05,,1,,,,1,5,19,,1,1,,1,1,2,15
2011-10-06,,,,,,1,2,24,,,1,,1,,1,22
2011-10-07,,,,,,2,2,30,,1,,1,,1,4,25
2011-10-08,,,,,,,1,28,,,,,,2,3,19
2011-10-09,,,,,,,1,25,,,,,1,1,2,20
2011-10-10,,,,,,1,,31,,,,,,,2,20
2011-10-11,,,,1,,,,24,,,,,1,1,,25
2011-10-12,,1,,,,,4,30,,,,1,4,1,1,20
2011-10-13,,,,,,,1,23,,,,,,1,7,14
2011-10-14,,,,,,2,3,28,,,,1,,,5,26
2011-10-15,,,,,,,1,15,,,,1,,1,3,17
2011-10-16,,,,,,,1,23,,1,1,,,1,3,19
2011-10-17,,,,,1,1,1,27,,,,1,,,3,31
2011-10-18,,,,,,,1,21,,,,,,2,3,19
2011-10-19,,,,,,,1,26,,,,,1,1,4,23
2011-10-20,,,,,,1,3,28,,,,,1,1,2,27
2011-10-21,,,,,,,3,31,,,,,,1,1,24
2011-10-22,,,,,,,2,21,,,,,,2,2,22
2011-10-23,,,,,,,,29,,,,,1,1,3,23
2011-10-24,,,,,,,2,20,,,,,,,3,28
2011-10-25,,,,,,,,22,,,,1,,3,6,23
2011-10-26,,,,1,1,,2,25,,,,,,1,1,16
2011-10-27,,,,,,1,2,31,,,,,1,2,5,17
2011-10-28,,,,,,1,2,20,,,,,,1,4,25
2011-10-29,,,,,,,1,27,,,,,,1,3,24
2011-10-30,,,,,,1,1,21,,,,,,3,3,23
2011-10-31,,,,,,,5,26,,,,,,2,7,28
2011-11-01,,,,,,1,,25,,,,1,,,2,17
2011-11-02,,,,,,1,2,24,,,,,,2,4,21
2011-11-03,,,,,,,2,31,,,,1,1,,6,11
2011-11-04,,,,,,1,1,17,,,,1,2,,5,26
2011-11-05,,,,,1,,2,29,,,,,1,,3,21
2011-11-06,,,,,,,1,35,,,,1,,2,2,28
2011-11-07,,,,,1,,,25,,,,,,5,4,22
2011-11-08,,,,,1,,,35,,,1,1,,,1,25
2011-11-09,,,,,,,1,24,,,,1,,,,18
2011-11-10,,,,,1,,,19,,,,2,,2,4,21
2011-11-11,,,,,1,,1,21,,,,1,,1,4,11
2011-11-12,,,,,,,,34,,,,,,1,2,23
2011-11-13,,,,,,,1,24,,1,,,,2,3,28
2011-11-14,,,,1,1,1,2,28,,,,,,1,3,18
2011-11-15,,,,,,2,3,36,,,,,2,,3,21
2011-11-16,,,,,,,,18,,1,,,,3,6,16
2011-11-17,,,,,,,1,25,,,,,,,3,15
2011-11-18,,,,,,,2,21,,,1,1,,1,5,24
2011-11-19,,,1,,,,2,24,,1,,,,,3,21
2011-11-20,,,,,,,,31,,,,,1,,4,21
2011-11-21,,1,,,1,,3,15,,,,,,1,10,26
2011-11-22,,,,,1,3,1,24,,,,,,1,4,23
2011-11-23,,,,,,,1,27,,,,,1,3,5,29
2011-11-24,,,,,,1,,21,,,,,,1,2,27
2011-11-25,,,,,,,2,25,,,,,,,2,23
2011-11-26,,,,,,,1,29,,,,1,1,3,3,11
2011-11-27,,1,,,,1,2,31,,1,1,,,,2,24
2011-11-28,,,,,,,4,28,,,,,,1,4,22
2011-11-29,,,,,1,,,21,,,,,1,1,1,19
2011-11-30,,,,,,2,2,22,,,,,,1,2,16
2011-12-01,,,,1,,2,4,27,,,,,1,,2,30
2011-12-02,,,,,,,2,21,,,,,,1,1,29
2011-12-03,,,,,1,,3,24,,,,,1,,2,20
2011-12-04,,,,,,,2,29,,,,,,1,1,22
2011-12-05,,,,,,,1,30,,,,,2,1,3,27
2011-12-06,,,,,,,1,23,,2,,2,1,2,3,22
2011-12-07,,,,1,,2,2,31,,,,,,1,6,23
2011-12-08,,,,,1,,2,24,,,,1,,,4,27
2011-12-09,,,,,,,2,25,,,,,,1,2,20
2011-12-10,,,,,,,,25,,,,,2,1,8,27
2011-12-11,,,,,,,,30,,,,,1,3,1,10
2011-12-12,,,,,,,1,32,,,,,1,,1,20
2011-12-13,,,,,,,2,32,,,,,,1,3,21
2011-12-14,,,,,,,2,30,,,,,2,2,4,21
2011-12-15,,,,,,1,1,25,,,,,2,4,7,24
2011-12-16,,,,,,1,4,28,,,,,,1,8,19
2011-12-17,,,,,,,3,21,,,1,,,1,4,17
2011-12-18,,,,,,1,2,24,,1,,,,4,5,15
2011-12-19,,,1,,,1,,27,,,,,,4,2,27
2011-12-20,,,,,,,1,26,,1,,,2,1,1,16
2011-12-21,,,,,,1,,22,,,,,,1,4,22
2011-12-22,,,,,,,3,27,,,,,1,,6,33
2011-12-23,,,,,,,3,35,,,,,,1,5,20
2011-12-24,,,,,,,3,27,,,,,,1,1,21
2011-12-25,,,,1,,3,4,21,,,1,,1,,4,18
2011-12-26,,,,,,1,1,22,,,,,1,,3,16
2011-12-27,,,,,,,2,17,,,,1,2,,2,31
2011-12-28,,,,,,1,2,32,,,,,1,,3,23
2011-12-29,,,,,1,,3,29,,,,,1,2,6,23
2011-12-30,,1,,,,,,36,,1,,,,2,6,28
2011-12-31,,,,,,1,,32,,1,,,,4,3,27
2012-01-01,,,,1,1,1,1,36,,1,1,1,,2,6,26
2012-01-02,,,,,,,2,22,,,,,,1,4,30
2012-01-03,,,,1,,,1,30,,,,,,1,9,22
2012-01-04,,,,,,1,1,21,,,,,,1,1,28
2012-01-05,,,,,,1,,21,,,,,,,7,27
2012-01-06,,1,,,,1,1,19,,,,,2,1,3,28
2012-01-07,,,,,,2,,27,,,,,,1,,23
2012-01-08,,,,1,,,3,14,,,,,,1,4,21
2012-01-09,,,,,,1,2,30,,,,1,,,5,29
2012-01-10,,,,,,,2,22,,,,,,2,2,20
2012-01-11,,,1,,,,1,21,,,,1,,2,4,26
2012-01-12,,,,,,,1,33,,,,,,,6,25
2012-01-13,,,,,,,1,28,,,,,1,2,5,27
2012-01-14,,,,,,,5,23,,,1,,1,1,3,30
2012-01-15,,,,1,,,5,23,,,,2,1,,4,22
2012-01-16,,,,,,,1,21,,,,,,2,3,25
2012-01-17,,,,,,,2,28,,,,,,,3,18
2012-01-18,,,,,,2,2,39,,1,,,,,2,24
2012-01-19,,,,,,,2,31,,,,,1,3,1,23
2012-01-20,,,,,,,2,28,,,,1,,1,5,19
2012-01-21,,,,,,,,24,,,,,,1,6,12
2012-01-22,,,,,,,1,22,,,,,,2,,14
2012-01-23,,,,,,1,1,41,,,,1,1,1,4,23
2012-01-24,,,,1,,,3,38,,,,,,,4,29
2012-01-25,,1,,,2,2,1,20,,,,,3,2,6,28
2012-01-26,,,,,1,1,2,29,,,,,,1,2,20
2012-01-27,,,,,,2,1,31,,,,,,,7,25
2012-01-28,,,,,,1,,23,,,,,,,2,26
2012-01-29,,,,,,,,25,,,,,,7,1,17
2012-01-30,,,,,,,,33,,,,,,1,2,27
2012-01-31,,,,,1,4,3,33,,,,1,,2,2,24
2012-02-01,,,,,,,1,21,,,,2,,1,6,24
2012-02-02,,,,,,,2,32,,,,,,1,5,27
2012-02-03,,,,,,,,30,,,,,,,,23
2012-02-04,,,,,,,1,32,,,,1,,,2,22
2012-02-05,,,,,,,2,23,,,,,,2,3,21
2012-02-06,,,,,,2,2,32,,,,1,,1,3,27
2012-02-07,,,,,,,3,31,,,,,2,1,3,21
2012-02-08,,,,,,,2,32,,,,,,1,3,26
2012-02-09,,,,,,,,28,,,,,,,6,11
2012-02-10,,1,,,,,4,30,,,,,1,1,5,29
2012-02-11,,,,,,,4,37,,1,,,,,5,28
2012-02-12,,,,,,1,3,35,,,,2,,1,5,24
2012-02-13,,,,,,,,30,,,,,,1,5,26
2012-02-14,,,,,,,2,41,,,,,1,,3,29
2012-02-15,,,,,1,1,,40,,,,,2,,1,29
2012-02-16,,,,,,2,2,46,,,,,,1,1,33
2012-02-17,,,,,,1,4,28,,,,,,1,2,24
2012-02-18,,,,,,,1,21,,,,,,1,,35
2012-02-19,,,,,,,1,29,,,,,2,2,1,28
2012-02-20,,,,,1,1,6,26,,,,,3,3,7,25
2012-02-21,,,,,,1,2,32,,,1,,2,,6,27
2012-02-22,,,,,,,,29,,,,,,1,5,29
2012-02-23,,1,,,,1,2,33,,,,,,1,4,20
2012-02-24,,,,,,,1,39,,,,1,,,,28
2012-02-25,,,,,,1,2,41,,,,,,,1,26
2012-02-26,,,,,,,,37,,,,1,,2,2,28
2012-02-27,,,,,,1,3,42,,,,1,2,1,4,23
2012-02-28,,,,,,1,2,23,,1,,,,2,1,21
2012-02-29,,,,,,,,44,,,,1,1,1,2,29
2012-03-01,,,,,2,,5,38,,,,,1,,3,16
2012-03-02,,,,,,,1,36,,,,1,1,2,6,28
2012-03-03,,,,,,1,3,43,,1,,1,1,3,3,25
2012-03-04,,,,1,,,,30,,,1,1,,2,1,19
2012-03-05,,,,,1,1,,33,,,,,,1,5,18
2012-03-06,,,,,1,2,,36,,,,,,2,3,25
2012-03-07,,,,,,3,3,26,,,,,,1,6,28
2012-03-08,,,,,,2,1,42,,,,,,,3,35
2012-03-09,,,,,,,,33,,,,,1,,2,20
2012-03-10,,,,,,,4,39,,,,,,2,4,23
2012-03-11,,,,,,,,32,,,,1,,,4,24
2012-03-12,,,,,,,1,32,,,,,,1,4,25
2012-03-13,,,,,,,1,33,,,,,,3,4,26
2012-03-14,,,,,1,,3,33,,,,,,,5,19
2012-03-15,,,,,,,3,29,,,,,,2,4,35
2012-03-16,,,,,,,1,31,,,,,1,4,3,29
2012-03-17,,,,,,2,1,38,,1,,,1,2,8,30
2012-03-18,,,,,,,,38,,,,,1,,10,23
2012-03-19,,1,,,1,1,1,37,,,,,,1,2,31
2012-03-20,,,,,,1,2,33,,,,,,1,2,19
2012-03-21,,,1,,,,1,29,,1,,,,,6,24
2012-03-22,,2,,1,,,1,35,,,,,,1,5,37
2012-03-23,,,,,,,,32,,,,,2,1,3,26
2012-03-24,,,,,,2,1,32,,,,1,,,4,25
2012-03-25,,,,,,1,5,37,,,,2,1,1,1,31
2012-03-26,,,,,,,3,21,,,,,,2,2,26
2012-03-27,,,,,,1,1,35,,,,1,4,,5,33
2012-03-28,,,,,1,2,1,32,,,,,,,3,29
2012-03-29,,,,,1,,1,23,,,,,1,,5,19
2012-03-30,,,,,,,1,37,,,,,1,1,6,23
2012-03-31,,,,,1,,1,29,,,,,,5,7,31
2012-04-01,,,,,1,1,2,33,,,,1,,,4,18
2012-04-02,,,,,,,4,34,,,,,1,,3,29
2012-04-03,,,,,,1,1,29,,,,,,,2,25
2012-04-04,,,,,,,4,31,,,,,,1,3,21
2012-04-05,,,,,,1,3,24,,,,,,,3,20
2012-04-06,,,,,,1,2,24,,,,,,,2,17
2012-04-07,,,,,1,1,,22,,,,,1,2,5,24
2012-04-08,,,,,,4,2,22,,,,,1,,2,29
2012-04-09,,,,,1,,3,27,,,,,2,3,4,21
2012-04-10,,,,,,,,28,,,,1,,2,2,25
2012-04-11,,,,,,,2,30,,,,,,1,4,23
2012-04-12,,,,,,,2,22,,,,,1,2,2,24
2012-04-13,,,,1,,1,,27,,,,,,,2,22
2012-04-14,,,,,,1,1,20,,,,,,2,1,24
2012-04-15,,,,,,,,26,,,,,1,2,3,16
2012-04-16,,,,,,,2,26,,,,,,,3,20
2012-04-17,,,,,,1,1,20,,,,,1,1,4,26
2012-04-18,,,,,,,2,18,,,,1,,,4,22
2012-04-19,,,,,,,3,30,,,,1,1,1,5,23
2012-04-20,,,,,,,1,27,,,,1,,2,1,24
2012-04-21,,,,,,,3,21,,,,,,1,4,21
2012-04-22,,,,,,,5,27,,,,,1,2,8,21
2012-04-23,,,,,,,1,19,,,,,,,5,21
2012-04-24,,,,,,,1,17,,,,1,,3,3,22
2012-04-25,,1,,,,,3,29,,,,1,,,4,21
2012-04-26,,,,,,,1,23,,2,,,,3,7,15
2012-04-27,,,,,,,2,29,,,,1,,1,5,19
2012-04-28,,,,,,,3,33,,,,,1,1,4,19
2012-04-29,,,,,,,2,32,,,,1,1,2,3,16
2012-04-30,,,,,,1,5,18,,,,1,3,1,1,33
2012-05-01,,,,,,2,3,29,,1,,2,,2,5,14
2012-05-02,,,,,,,2,26,,,,,1,1,4,20
2012-05-03,,,,,,,,26,,,,,,3,3,17
2012-05-04,,,,,,1,3,23,,,,,,1,2,24
2012-05-05,,,,,,,5,27,,,,2,2,1,2,17
2012-05-06,,,,1,,,1,35,,,,,1,2,2,17
2012-05-07,,,,,1,,2,24,,,,1,,1,6,22
2012-05-08,,,,,,2,,15,,,,,,1,7,14
2012-05-09,,,,,,2,,26,,,,,,1,3,25
2012-05-10,,,,1,,1,5,22,,,,,1,1,4,19
2012-05-11,,,,,,2,2,35,,,,1,,,8,23
2012-05-12,,,,,,,1,30,,1,,1,2,2,3,17
2012-05-13,,1,,1,,,1,26,,,,,,,4,21
2012-05-14,,,,,,1,2,23,,,,,,3,8,17
2012-05-15,,,,,,,1,20,,,,,,2,8,12
2012-05-16,,,,,,2,1,25,,1,,,,1,2,23
2012-05-17,,,,,,,3,22,,,,,1,2,2,16
2012-05-18,,,,,,1,,21,,,,,,,7,23
2012-05-19,,1,,,,,2,19,,,,,1,,1,9
2012-05-20,,,,,,1,3,26,,,,,,,2,17
2012-05-21,,,,,,,3,17,,,,1,1,,2,20
2012-05-22,,,,,,,2,21,,,,,,1,7,19
2012-05-23,,,,,,,1,30,,,,1,,,3,23
2012-05-24,,,,,,,2,25,,,,1,1,1,5,16
2012-05-25,,,,,,,2,19,,,,,2,2,4,19
2012-05-26,,1,1,,,,2,22,,,,,,1,4,16
2012-05-27,,,,,2,,1,29,,,,,,1,3,20
2012-05-28,,,,,,2,,23,,,,,,1,2,24
2012-05-29,,,,,,,,22,,,,,,3,1,19
2012-05-30,,,,,,1,1,22,,,,,2,4,3,10
2012-05-31,,,,,,,4,19,,,,1,,,6,20
2012-06-01,,,,,,,1,17,,,,1,,,4,22
2012-06-02,,,,,,2,1,18,,,,,2,2,,26
2012-06-03,,,,,,,1,16,,,,,,,2,20
2012-06-04,,,,,1,,3,28,,,,,,2,7,27
2012-06-05,,,,,,,3,20,,,2,,,,4,21
2012-06-06,,,,,1,,2,18,,,,,,2,3,16
2012-06-07,,,,,,1,1,14,,1,,,,1,2,22
2012-06-08,,,,,,,1,15,,,,,,,4,16
2012-06-09,,,,,,,3,19,,,,,1,,8,14
2012-06-10,,,,,,2,1,18,,,1,1,1,,3,18
2012-06-11,,,,,,,2,31,,,,,,,2,19
2012-06-12,,,,,,,2,15,,,,,,2,3,23
2012-06-13,,,,,,,1,26,,,,1,,1,2,19
2012-06-14,,,,,,1,2,21,,,,,2,,6,17
2012-06-15,,,,,1,2,1,19,,,,,,2,8,31
2012-06-16,,,,,,,1,17,,,,,,1,3,19
2012-06-17,,,,,,1,1,26,,,,,,1,1,19
2012-06-18,,,,,1,,1,25,,,1,,1,,5,18
2012-06-19,,,,,,,1,25,,,,,2,2,4,24
2012-06-20,,,,,,2,2,34,,,,,,1,6,22
2012-06-21,,,,,,1,2,31,,,,,,1,2,18
2012-06-22,,,,,,,2,27,,1,,,,,1,29
2012-06-23,,,,,,,,31,,,,1,,3,6,15
2012-06-24,,,,,,2,1,25,,,,2,1,3,6,18
2012-06-25,,,,,,,1,23,,,,,1,3,6,19
2012-06-26,,,,,,1,2,19,,,,1,1,2,6,22
2012-06-27,,,,,,,1,23,,,,,,1,4,20
2012-06-28,,,,,1,,1,24,,,,1,,1,4,15
2012-06-29,,,,1,,,1,24,,,,,,1,7,22
2012-06-30,,,,,,,2,18,,,,1,,,,23
2012-07-01,,,,1,,1,,28,,,,,,,6,16
2012-07-02,,,1,,1,1,1,31,,,,,,,4,18
2012-07-03,,,,,,,,37,,1,,,1,1,5,14
2012-07-04,,,,,1,,2,32,,,,2,2,3,3,34
2012-07-05,,,,,,1,,27,,,,,,2,5,20
2012-07-06,,,,,,,1,29,,,,,3,,2,26
2012-07-07,,,,,,1,,28,,,1,1,,2,7,15
2012-07-08,,,,,,,1,22,,,,1,,,5,25
2012-07-09,,,,,1,,1,18,,,,1,,2,1,20
2012-07-10,,,,1,,,1,34,,,,,,1,2,17
2012-07-11,,,,,,1,1,18,,,,,1,,4,30
2012-07-12,,,,,,1,4,24,,,,,,4,2,27
2012-07-13,,,,,,,2,12,,,,1,,3,8,15
2012-07-14,,,,,,,3,25,,,,,,2,3,23
2012-07-15,,,,,,1,,14,,,,1,,2,4,23
