date,deceased.age.female.0-3,deceased.age.female.4-18,deceased.age.female.19-31,deceased.age.female.32-41,deceased.age.female.42-51,deceased.age.female.52-61,deceased.age.female.62-71,deceased.age.female.72+,deceased.age.male.0-3,deceased.age.male.4-18,deceased.age.male.19-31,deceased.age.male.32-41,deceased.age.male.42-51,deceased.age.male.52-61,deceased.age.male.62-71,deceased.age.male.72+
2010-04-15,,,,,,,,28,,1,,,,4,2,30
2010-04-16,,,,,,,1,26,,,1,,,1,2,24
2010-04-17,,,,,,1,1,25,,1,,,1,1,2,21
2010-04-18,,,,,,,,21,,,,,,,5,28
2010-04-19,,1,1,,,3,1,27,,,,,1,,6,30
2010-04-20,,,,,,,2,19,,,,1,,2,1,17
2010-04-21,,1,,,,,1,23,,,,,,1,4,25
2010-04-22,,,,,1,,1,31,,,,,1,,4,21
2010-04-23,,,,,,1,2,21,,,,,1,2,1,21
2010-04-24,,,,,1,,,21,,,,,,,3,28
2010-04-25,,,,,,,,28,,,,1,,1,,19
2010-04-26,,,,,,1,1,30,,,,,,,4,33
2010-04-27,,,,,1,,1,21,,,,,,2,5,21
2010-04-28,,,,,,,5,32,,,,,1,2,6,26
2010-04-29,,,,,,,2,23,,,,1,,3,6,17
2010-04-30,,,,,1,1,1,25,,,,,,1,4,27
2010-05-01,,,,,,,1,32,,1,,2,1,,5,33
2010-05-02,,,,,,1,,27,,1,,1,,,3,18
2010-05-03,,,,,,,2,20,,1,,,3,,3,11
2010-05-04,,,,,,,2,28,,,,,,,4,20
2010-05-05,,,,,,2,1,26,,,,1,,,1,23
2010-05-06,,,,,,1,1,28,,1,1,,,1,2,22
2010-05-07,,,,,1,,,36,,,,,,1,2,27
2010-05-08,,,,,1,,2,19,,,,,,,3,22
2010-05-09,,2,,,,,3,34,,1,,,,,2,19
2010-05-10,,,,,,1,2,24,,,,,1,1,4,26
2010-05-11,,,,,,1,1,21,,,,1,,,4,27
2010-05-12,,,,,,,,25,,,,1,,2,3,27
2010-05-13,,,,,,,2,28,,,,1,,,1,22
2010-05-14,,1,1,,,1,1,25,,,,,,1,4,20
2010-05-15,,1,,1,,,1,12,,,,2,,1,2,19
2010-05-16,,,,,,,1,30,,,,,4,,1,24
2010-05-17,,1,,,1,,1,32,,,,,4,,2,15
2010-05-18,,,,,1,,2,18,,,,1,,,4,22
2010-05-19,,,,,,,,26,,,,1,,3,2,18
2010-05-20,,1,,,1,1,2,21,,,,,,5,2,18
2010-05-21,,,,,,,,25,,,1,2,,,3,15
2010-05-22,,1,,,,2,1,29,,,,,1,3,8,19
2010-05-23,,,,,,,2,27,,,,,,2,1,24
2010-05-24,,1,1,,,,,18,,,,,1,1,3,33
2010-05-25,,,,,,1,2,22,,,,,1,2,4,22
2010-05-26,,,,,,,,26,,,,,,,3,15
2010-05-27,,,,,,,,20,,,2,1,1,1,2,20
2010-05-28,,1,,,,,1,23,,,,,,1,4,16
2010-05-29,,,,,,2,1,22,,,,,,2,3,23
2010-05-30,,,,,1,3,2,28,,,,,1,2,3,12
2010-05-31,,,,,,,3,19,,,,1,,3,4,17
2010-06-01,,,,,,,1,26,,,,,,,2,27
2010-06-02,,,,,,1,3,18,,,,,1,1,3,20
2010-06-03,,,,,,,1,12,,,,,,,6,23
2010-06-04,,,,,,,,26,,1,,,,,5,28
2010-06-05,,,,,,,,31,,,,,3,1,1,26
2010-06-06,,,,1,,,2,35,,,,,1,1,8,24
2010-06-07,,,,,,,4,29,,,,,,1,7,25
2010-06-08,,,,,,1,1,27,,,,,,1,5,23
2010-06-09,,,,,,2,2,32,,,,,1,3,2,17
2010-06-10,,,,,2,1,,23,,,,1,1,,3,14
2010-06-11,,,,,,,4,30,,,,2,,1,2,30
2010-06-12,,,,,,,,30,,,2,2,1,3,3,21
2010-06-13,,,,,,,2,31,,,,1,2,,3,26
2010-06-14,,,,,,1,2,25,,,,,,,3,30
2010-06-15,,1,,,,1,1,33,,,,,1,2,5,22
2010-06-16,,,,,,1,2,32,,,,,2,,6,14
2010-06-17,,,,,,,1,24,,,,,,1,2,19
2010-06-18,,,,,,1,1,19,,,,1,,3,5,17
2010-06-19,,,,,,1,,23,,,,,2,,1,9
2010-06-20,,,,,,,1,16,,,,,,1,2,23
2010-06-21,,,,,,1,1,21,,,,,,,4,17
2010-06-22,,,,,,1,,19,,,,,1,,2,19
2010-06-23,,,,1,,,5,14,,2,,,1,1,2,19
2010-06-24,,,,,,,,25,,,,,,1,8,31
2010-06-25,,,,,,,5,16,,,,,,1,5,18
2010-06-26,,,,,,,1,13,,,,1,,2,3,25
2010-06-27,,,,,,2,,14,,,,,,3,2,20
2010-06-28,,,,,,,1,26,,,,2,2,,9,20
2010-06-29,,,,,,2,,25,,,,,,2,6,20
2010-06-30,,,,,,,2,30,,,,,,1,1,17
2010-07-01,,1,,,,,2,24,,,,,1,2,1,18
2010-07-02,,,,,,1,1,37,,,,,2,1,4,17
2010-07-03,,,,,,1,1,20,,,,,1,1,8,23
2010-07-04,,,,,,,7,23,,,,1,3,3,7,17
2010-07-05,,,,1,,,1,18,,,,,1,2,3,29
2010-07-06,,1,,,,,1,20,,,,1,1,,3,27
2010-07-07,,,,,,,,29,,,,,,,2,26
2010-07-08,,1,,,1,3,,13,,,,,2,2,2,19
2010-07-09,,,,,,,3,19,,,,,1,,4,23
2010-07-10,,,,,1,1,2,22,,,,1,,,4,33
2010-07-11,,,,1,,,2,23,,,,,,2,5,19
2010-07-12,,,,,,3,,29,,,,,,2,2,21
2010-07-13,,,,,,,4,30,,,,,,2,4,17
2010-07-14,,,1,,,1,2,20,,,,1,1,4,5,22
2010-07-15,,,,,,,2,25,,,1,,,3,2,22
2010-07-16,,1,1,1,,,1,28,,,,,,1,4,16
2010-07-17,,,,,,2,,36,,,,2,4,1,8,18
2010-07-18,,,,1,,1,,24,,,,1,1,,5,24
2010-07-19,,1,,,1,1,1,19,,,,,,2,4,35
2010-07-20,,,,,,1,,23,,,,,,2,3,26
2010-07-21,,,,,,2,,22,,,,,1,2,2,21
2010-07-22,,,,,,,1,16,,,,,,,4,14
2010-07-23,,3,,,,,,25,,,,,1,3,4,16
2010-07-24,,,,,1,,,25,,1,,,,4,5,19
2010-07-25,,,,,,,1,24,,,,,,2,1,22
2010-07-26,,,,,1,,,21,,,,,1,3,6,18
2010-07-27,,,,,,,1,24,,,,,,1,3,18
2010-07-28,,,,,,,1,19,,,,,1,1,3,23
2010-07-29,,,,,,1,5,22,,,,,,1,3,18
2010-07-30,,,,,,2,2,18,,,,2,1,1,2,18
2010-07-31,,,,,,,1,15,,,,,,2,6,17
2010-08-01,,,,,,,3,28,,,,,,1,7,17
2010-08-02,,,,,,1,,26,,1,,,,,4,22
2010-08-03,,,,,,,1,26,,,,,1,1,5,17
2010-08-04,,,,,,1,,19,,,,,,1,2,17
2010-08-05,,,,,,,1,18,,,,,,,6,23
2010-08-06,,,,,,,2,24,,,1,,2,,2,14
2010-08-07,,,,1,,2,1,17,,1,1,,,2,2,15
2010-08-08,,,,,,,3,30,,,,,2,2,3,29
2010-08-09,,,1,,,2,1,25,,,,,1,2,4,21
2010-08-10,,,,,,,1,25,,1,,,,1,7,18
2010-08-11,,,,,,,1,25,,,,1,,,4,16
2010-08-12,,,,,,,1,21,,1,1,,,2,1,16
2010-08-13,,,,,,,2,20,,1,,,,2,7,15
2010-08-14,,,,,,2,4,19,,,,,,2,3,32
2010-08-15,,,,,2,,1,26,,,,,,1,3,17
2010-08-16,,,,,,,,26,,,1,1,,2,2,12
2010-08-17,,,,,1,,5,21,,,,,,1,5,18
2010-08-18,,,,,1,2,2,17,,,,1,1,2,5,20
2010-08-19,,,,,,,1,14,,,,,,4,1,20
2010-08-20,,,,,,,1,13,,1,,,1,,4,21
2010-08-21,,,,,,,3,22,,,,1,,1,5,13
2010-08-22,,,,,,1,,24,,,,,,,2,15
2010-08-23,,,,,,,,34,,1,,,,,3,29
2010-08-24,,,,,,1,,16,,,,,,,2,25
2010-08-25,,,,,,,1,27,,,,,,,2,13
2010-08-26,,,,,,1,,14,,,,,,2,5,21
2010-08-27,,,,1,,1,,28,,,,,1,,4,20
2010-08-28,,,,,,1,,24,,1,,1,1,1,4,17
2010-08-29,,,1,,,,,18,,,,1,,,2,14
2010-08-30,,,,,,,4,23,,1,,,,,3,13
2010-08-31,,,,,,,1,23,,,,,,2,2,21
2010-09-01,,,,,1,,3,21,,,,,,2,5,17
2010-09-02,,,,,1,,3,28,,,,,2,1,1,19
2010-09-03,,,,,,1,1,16,,,,2,1,,6,22
2010-09-04,,,,,1,,,29,,,,,,,3,19
2010-09-05,,,,,,,,21,,,,,,1,4,21
2010-09-06,,,,,1,1,1,19,,,,2,1,4,10,14
2010-09-07,,,,,,1,1,30,,,,,,2,2,19
2010-09-08,,,,2,,1,2,21,,,1,,1,1,3,23
