,datum,WWTP,Statistična_regija,Različica.virusa,Delež.različice
56,2022-10-18,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9586908099881164
57,2022-10-18,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.975919499807432
58,2022-10-18,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.9889148272625268
59,2022-10-17,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.9673554993080056
60,2022-10-18,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9739485299543478
61,2022-10-18,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9758055189700758
62,2022-10-17,ČN_Domžale_Kamnik,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9713948899824127
63,2022-11-21,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.5711362399977052
64,2022-11-22,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.6168335799921413
65,2022-11-22,ČN_Celje,Savinjska,BA.5* [Omicron (BA.5.X)],0.8967982700172035
66,2022-11-21,ČN_Koper,Obalno-kraška,BQ.1* [Omicron (BQ.1.X)],0.6707118069932267
67,2022-11-22,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.7187499977370805
68,2022-11-22,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.7221046199943657
69,2022-11-21,CČN_Postojna,Primorsko-notranjska,BA.5* [Omicron (BA.5.X)],0.7142859999983936
70,2022-11-22,ČN_Novo_mesto,Jugovzhodna Slovenija,BQ.1* [Omicron (BQ.1.X)],0.6521739999131778
71,2022-11-22,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.9931034499570516
72,2022-11-21,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.6790732999969439
73,2022-11-22,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BQ.1* [Omicron (BQ.1.X)],0.5307259999935381
74,2022-11-21,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.510726899973022
75,2022-11-22,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.7047709998921321
76,2022-11-21,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.7010869944452331
77,2022-11-22,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9354838576739156
78,2022-12-20,ČN_Celje,Savinjska,BQ.1* [Omicron (BQ.1.X)],0.530384319984949
79,2022-12-20,CČN_Trbovlje,Zasavska,Omicron,0.3185136494379781
80,2022-12-20,ČN_Nova_Gorica,Goriška,BQ.1* [Omicron (BQ.1.X)],0.5426139999891991
81,2022-12-19,CČN_Ljubljana,Osrednjeslovenska,BQ.1* [Omicron (BQ.1.X)],0.6441329998910247
82,2022-12-20,ČN_Novo_mesto,Jugovzhodna Slovenija,BQ.1* [Omicron (BQ.1.X)],0.565765999987373
83,2022-12-20,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.542747032986974
84,2022-12-19,CČN_Murska_Sobota,Pomurska,BQ.1* [Omicron (BQ.1.X)],0.428570999987456
85,2022-12-19,ČN_Kranj,Gorenjska,BQ.1* [Omicron (BQ.1.X)],0.515789099988057
86,2022-12-20,CČN_Zagorje,Zasavska,BA.2.75* [Omicron (BA.2.75.X)],0.4772436950092976
87,2022-12-20,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.5042739935685685
88,2022-12-20,CČN_Postojna,Primorsko-notranjska,Omicron,0.5850160999892471
89,2022-12-20,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.7439019999592907
90,2022-09-20,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9558785198404498
91,2022-09-20,ČN_Novo_mesto,Jugovzhodna Slovenija,BA.5* [Omicron (BA.5.X)],0.994601889411293
92,2022-09-20,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9970759999007538
93,2022-09-20,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.9886702996776784
94,2022-09-20,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9868369196248056
95,2022-09-19,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.954457249455918
96,2022-09-19,ČN_Domžale_Kamnik,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9917355387798332
97,2022-09-20,ČN_Koper,Obalno-kraška,BA.5* [Omicron (BA.5.X)],0.999999992060694
98,2022-09-19,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.9574467970953122
99,2022-10-24,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.9358159999214986
100,2022-10-25,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.9926076970060596
101,2022-10-25,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9948336899850174
102,2022-10-25,ČN_Celje,Savinjska,BA.5* [Omicron (BA.5.X)],0.9179114069573564
